create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.URL,parameters.URL_method,parameters.chromInfo,parameters.d,parameters.data_type,parameters.dbkey,parameters.gbgff,parameters.id,parameters.l,parameters.m,parameters.q,parameters.s,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-06-08 19:53:09.003588,slurm_normal,1433793225.0,0.0,1.0,main_w1_handler2,2334253,9615068,False,,3926677.roundup,slurm,,132112168.0,corral-repl,,"""http://gbrowse.modencode.org/fgb2/gbrowse/worm?q=I:8765729..8773691&s=0&d=edit&dbkey=worm&t=""","""post""","""/galaxy-repl/localdata/chrom/ce10.len""","""edit""","""auto""","""ce10""","""save gff3""","""d3c788ea4da7c3e5fc166dbd209c8912""","""Genes\u001eYA_Young_Adult_25dC_46hrs_post-L1.alignments.ws220.bam.sorted""","""application/x-gff3""","""I:8765729..8773691""","""0""",32.0,,23533755,1433793220.0,ok,1023996.0,modENCODEworm,1.0.1,,2015-06-08 19:53:49.158835,26722.0,5.0
2015-06-05 15:39:10.614840,slurm_normal,1433518812.0,0.0,1.0,main_w1_handler1,2331814,9604811,False,,3916314.roundup,slurm,,132112168.0,corral-repl,,"""http://gbrowse.modencode.org/fgb2/gbrowse/worm?q=I:1..15072423&s=0&d=edit&dbkey=worm&t=""","""post""","""/galaxy-repl/localdata/chrom/ce10.len""","""edit""","""auto""","""ce10""","""save gff3""","""76ec76b926aece6296efc310ba15fd5d""","""Genes\u001eYA_Young_Adult_25dC_46hrs_post-L1.alignments.ws220.bam.sorted""","""application/x-gff3""","""I:1..15072423""","""0""",32.0,,23478253,1433518774.0,ok,1023996.0,modENCODEworm,1.0.1,,2015-06-05 15:40:14.907323,,38.0
2015-06-05 15:36:00.425006,slurm_normal,1433518610.0,0.0,1.0,main_w2_handler1,2331814,9604791,False,,3916287.roundup,slurm,,132112168.0,corral-repl,,"""http://gbrowse.modencode.org/fgb2/gbrowse/worm?q=I:106000..217000&s=0&d=edit&dbkey=worm&t=""","""post""","""/galaxy-repl/localdata/chrom/ce10.len""","""edit""","""auto""","""ce10""","""save gff3""","""76ec76b926aece6296efc310ba15fd5d""","""Genes\u001eYA_Young_Adult_25dC_46hrs_post-L1.alignments.ws220.bam.sorted""","""application/x-gff3""","""I:106000..217000""","""0""",32.0,,23478253,1433518604.0,ok,1023996.0,modENCODEworm,1.0.1,,2015-06-05 15:36:55.182015,,6.0
2015-06-05 15:37:52.726332,slurm_normal,1433518752.0,0.0,1.0,main_w1_handler1,2331814,9604809,False,,3916305.roundup,slurm,,132112168.0,corral-repl,,"""http://gbrowse.modencode.org/fgb2/gbrowse/worm?q=I:1..15072423&s=0&d=edit&dbkey=worm&t=""","""post""","""/galaxy-repl/localdata/chrom/ce10.len""","""edit""","""auto""","""ce10""","""save gff3""","""76ec76b926aece6296efc310ba15fd5d""","""Genes\u001eYA_Young_Adult_25dC_46hrs_post-L1.alignments.ws220.bam.sorted""","""application/x-gff3""","""I:1..15072423""","""0""",32.0,,23478253,1433518711.0,ok,1023996.0,modENCODEworm,1.0.1,,2015-06-05 15:39:16.518611,,41.0
2015-06-12 17:16:10.396461,slurm_normal,1434129408.0,0.0,1.0,main_w2_handler1,2339740,9644299,False,,3956020.roundup,slurm,,132112168.0,corral-repl,,"""http://gbrowse.modencode.org/fgb2/gbrowse/worm?q=I:106000..217000&s=0&d=edit&dbkey=worm&t=""","""post""","""/galaxy-repl/localdata/chrom/ce10.len""","""edit""","""auto""","""ce10""","""save gff3""","""26ddbed698d4fd15c122c57b090f848f""","""Genes\u001eYA_Young_Adult_25dC_46hrs_post-L1.alignments.ws220.bam.sorted""","""application/x-gff3""","""I:106000..217000""","""0""",32.0,,23612853,1434129398.0,ok,1023996.0,modENCODEworm,1.0.1,,2015-06-12 17:16:54.384778,,10.0
2015-06-12 17:26:15.180994,slurm_normal,1434130013.0,0.0,1.0,main_w1_handler1,2339740,9644431,False,,3956167.roundup,slurm,,132112168.0,corral-repl,,"""http://gbrowse.modencode.org/fgb2/gbrowse/worm?q=I:1..2999998&s=0&d=edit&dbkey=worm&t=""","""post""","""/galaxy-repl/localdata/chrom/ce10.len""","""edit""","""auto""","""ce10""","""save gff3""","""26ddbed698d4fd15c122c57b090f848f""","""Genes\u001eYA_Young_Adult_25dC_46hrs_post-L1.alignments.ws220.bam.sorted""","""application/x-gff3""","""I:1..2999998""","""0""",32.0,,23612853,1434130003.0,ok,1023996.0,modENCODEworm,1.0.1,,2015-06-12 17:26:56.047815,,10.0
2015-06-12 17:01:05.372838,slurm_normal,1434128570.0,0.0,1.0,main_w1_handler2,2339740,9644131,False,,3955841.roundup,slurm,,132112168.0,corral-repl,,"""http://gbrowse.modencode.org/fgb2/gbrowse/worm?q=I:106000..217000&s=0&d=edit&dbkey=worm&t=""","""post""","""/galaxy-repl/localdata/chrom/ce10.len""","""edit""","""auto""","""ce10""","""save gff3""","""26ddbed698d4fd15c122c57b090f848f""","""Genes\u001eYA_Young_Adult_25dC_46hrs_post-L1.alignments.ws220.bam.sorted""","""application/x-gff3""","""I:106000..217000""","""0""",32.0,,23612853,1434128563.0,ok,1023996.0,modENCODEworm,1.0.1,,2015-06-12 17:02:54.392508,,7.0
2015-08-06 14:09:49.071836,slurm_normal,1438870218.0,0.0,1.0,main_w1_handler2,2344680,10072701,False,,4350700.roundup,slurm,,132112168.0,corral-repl,,"""http://gbrowse.modencode.org/fgb2/gbrowse/worm?q=IV:106000..217000&s=0&d=edit&dbkey=worm&t=""","""post""","""/galaxy-repl/localdata/chrom/ce10.len""","""edit""","""auto""","""ce10""","""save gff3""","""2d87fda0fef48fba32f7d4109436e128""","""Genes""","""application/x-gff3""","""IV:106000..217000""","""0""",32.0,,24244518,1438870209.0,ok,1023996.0,modENCODEworm,1.0.1,,2015-08-06 14:10:25.560968,64941.0,9.0
2015-10-22 19:15:53.375943,slurm_normal,1445541503.0,0.0,1.0,main_w2_handler0,2481495,10691346,False,,4954079.roundup,slurm,,132112168.0,corral-repl,,"""http://gbrowse.modencode.org/fgb2/gbrowse/worm?q=I:106000..217000&s=0&d=edit&dbkey=worm&t=""","""post""","""/galaxy-repl/localdata/chrom/ce10.len""","""edit""","""auto""","""ce10""","""save gff3""","""ce03898ca9adb78cc2a9c09dc7f41dc4""","""Genes\u001eYA_Young_Adult_25dC_46hrs_post-L1.alignments.ws220.bam.sorted""","""application/x-gff3""","""I:106000..217000""","""0""",32.0,,25842220,1445541485.0,ok,1023996.0,modENCODEworm,1.0.1,,2015-10-22 19:18:30.308123,,18.0
2015-11-06 01:25:34.151999,slurm_normal,1446773375.0,0.0,1.0,main_w1_handler2,2497494,10831562,False,,5086783.roundup,slurm,,132112168.0,corral-repl,,"""http://gbrowse.modencode.org/fgb2/gbrowse/worm?q=I:143000..180000&s=0&d=edit&dbkey=worm&t=""","""post""","""/galaxy-repl/localdata/chrom/ce10.len""","""edit""","""auto""","""ce10""","""save gff3""","""""","""Genes\u001eYA_Young_Adult_25dC_46hrs_post-L1.alignments.ws220.bam.sorted""","""application/x-gff3""","""I:143000..180000""","""0""",32.0,,26132272,1446773367.0,ok,1023996.0,modENCODEworm,1.0.1,,2015-11-06 01:29:36.911754,72831.0,8.0
