chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.minweight,parameters.out_format1,parameters.prokaryote,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-02 12:50:41.166236,slurm_normal,1430571079.0,0.0,,1.0,main_w2_handler0,2287291,9379514,False,,38474558,fasta,3714732.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19535450,,"""3.5""","""motif""","""no""",32.0,,22403907,1430571057.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sigcleave88/5.0.0,5.0.0,,2015-05-02 12:51:21.166921,57539.0,22.0
,,2015-08-05 15:36:29.711748,slurm_normal,1438789015.0,0.0,,1.0,main_w1_handler1,2288868,10068026,False,,42,txt,4346418.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20694776,,"""3.5""","""motif""","""no""",32.0,,24182885,1438789011.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sigcleave88/5.0.0,5.0.0,,2015-08-05 15:37:18.457032,62515.0,4.0
,,2015-08-31 01:48:54.595482,slurm_normal,1440985763.0,0.0,,1.0,main_w2_handler0,2420914,10227814,False,,8250296,fasta,4501806.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20924246,,"""3.5""","""motif""","""yes""",32.0,,23540761,1440985756.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sigcleave88/5.0.0,5.0.0,,2015-08-31 01:49:27.251116,64361.0,7.0
,,2015-10-06 12:00:01.374280,slurm_normal,1444132838.0,0.0,,1.0,main_w1_handler1,2461771,10509259,False,,1046,fasta,4784871.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21414777,,"""3.5""","""motif""","""no""",32.0,,25527158,1444132826.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sigcleave88/5.0.0,5.0.0,,2015-10-06 12:00:42.341553,36889.0,12.0
,,2015-10-16 00:52:40.302166,slurm_normal,1444956794.0,0.0,,1.0,main_w1_handler2,2473499,10590119,False,,1070,fasta,4860189.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21547776,,"""3.5""","""motif""","""no""",32.0,,25716214,1444956780.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sigcleave88/5.0.0,5.0.0,,2015-10-16 00:53:17.586618,,14.0
,,2015-10-17 15:01:16.614643,slurm_normal,1445094095.0,0.0,,1.0,main_w2_handler1,2474595,10614330,False,,349,txt,4883037.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21581368,,"""3.5""","""motif""","""no""",32.0,,25730795,1445094089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sigcleave88/5.0.0,5.0.0,,2015-10-17 15:01:37.601740,,6.0
,,2016-02-26 18:01:21.825415,slurm_normal,1456509771.0,0.0,,1.0,main_w1_handler2,2288868,11952839,False,,3863013,fasta,6186219.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23473626,,"""3.5""","""motif""","""no""",32.0,,28104400,1456509761.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sigcleave88/5.0.0,5.0.0,,2016-02-26 18:02:56.972391,62515.0,10.0
,,2016-02-26 18:05:20.086125,slurm_normal,1456509965.0,0.0,,1.0,main_w1_handler1,2288868,11952905,False,,3863013,fasta,6186262.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23473626,,"""8""","""excel""","""no""",32.0,,28104400,1456509956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sigcleave88/5.0.0,5.0.0,,2016-02-26 18:06:07.834311,62515.0,9.0
,,2016-10-13 12:07:25.699971,slurm_normal,1476360466.0,0.0,,1.0,main_w4_handler0,2853320,14072553,False,,440,txt,8289472.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53e24fb617c03a2a2'}]","""3.5""","""motif""","""no""",32.0,,33651637,1476360461.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sigcleave88/5.0.0,5.0.0,,2016-10-13 12:07:47.630770,92141.0,5.0
12.0,len,2016-09-15 13:39:48.952761,slurm_normal,1473946844.0,0.0,,1.0,main_w4_handler0,2819978,13856588,False,,505,fasta,8079727.roundup,slurm,,132112168.0,corral-repl,,"""dd02c4907b4911e68ce3005056a52a46""","""/galaxy-repl/main/files/017/180/dataset_17180684.dat""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e3a1c13c3f6db0ff'}]","""3.5""","""motif""","""no""",32.0,,32971925,1473946840.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sigcleave88/5.0.0,5.0.0,,2016-09-15 13:40:47.095539,90179.0,4.0
