chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,file,file_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.file|__identifier__,parameters.input.__current_case__,parameters.input.accession,parameters.input.file,parameters.input.file.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-26 11:34:07.142515,slurm_normal,1461670465.0,3,,,1.0,main_w2_handler0,2336506,12622309,False,,6825456.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,SRR1095407,,,accession_number,"""fastqsanger""",32.0,,29830301,1461670459.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.2.5,1.2.5,,2016-04-26 11:34:28.307520,64485.0,6.0
,,2016-04-26 10:38:41.027255,slurm_normal,1461667417.0,0,,,1.0,main_w2_handler1,2665041,12622003,False,,6824735.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,SRR1795453,,,accession_number,"""fastqsanger""",32.0,,29661133,1461667135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.2.5,1.2.5,,2016-04-26 10:43:41.264564,82288.0,282.0
,,2016-04-26 10:28:01.744725,slurm_normal,1461666811.0,0,,,1.0,main_w1_handler2,2665041,12621922,False,,6824569.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,SRR1592814,,,accession_number,"""fastqsanger""",32.0,,29661133,1461666493.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.2.5,1.2.5,,2016-04-26 10:33:33.131780,82288.0,318.0
,,2016-04-26 11:35:35.092382,slurm_normal,1461670548.0,3,,,1.0,main_w1_handler1,2336506,12622319,False,,6825467.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,SRR816609,,,accession_number,"""fastqsanger""",32.0,,29830301,1461670545.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.2.5,1.2.5,,2016-04-26 11:35:49.744221,64485.0,3.0
,,2016-04-26 10:23:21.604131,slurm_normal,1461666529.0,0,,,1.0,main_w1_handler1,2665041,12621858,False,,6824501.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,SRR1592814,,,accession_number,"""fastqsanger""",32.0,,29661133,1461666210.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.2.5,1.2.5,,2016-04-26 10:28:52.704172,82288.0,319.0
,,2016-06-17 06:21:04.336684,slurm_normal,1466144751.0,0,,,1.0,main_w2_handler0,2737822,13190488,False,,7375299.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,SRR816994,,,accession_number,"""fastqsanger""",32.0,,30875603,1466144477.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.2.5,1.2.5,,2016-06-17 06:25:53.564894,86068.0,274.0
,,2016-10-12 01:28:43.242818,slurm_normal,1476238997.0,0,,,1.0,main_w4_handler0,2783377,14059340,False,,8276506.roundup,slurm,,132112168.0,corral-repl,,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,SRR2147075,,,accession_number,"""fastqsanger""",32.0,,31928114,1476235726.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.2.5,1.2.5,,2016-10-12 02:23:19.165385,88074.0,3271.0
,,2016-04-26 16:57:39.662770,slurm_normal,1461690567.0,0,,,1.0,main_w1_handler0,2632353,12625446,False,,6828792.roundup,slurm,,132112168.0,corral-repl,,,aligned,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,SRR2086418,,,accession_number,"""fastqsanger""",32.0,,29591805,1461689869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.2.5,1.2.5,,2016-04-26 17:09:29.355682,43569.0,698.0
,,2016-04-26 16:58:13.633302,slurm_normal,1461690950.0,0,,,1.0,main_w1_handler0,2632353,12625448,False,,6828795.roundup,slurm,,132112168.0,corral-repl,,,aligned,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,SRR2086407,,,accession_number,"""fastqsanger""",32.0,,29591805,1461689903.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.2.5,1.2.5,,2016-04-26 17:15:51.931460,43569.0,1047.0
,,2016-04-26 17:01:21.064270,slurm_normal,1461691620.0,0,,,1.0,main_w1_handler0,2632353,12625466,False,,6828880.roundup,slurm,,132112168.0,corral-repl,,,aligned,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,SRR2086424,,,accession_number,"""fastqsanger""",32.0,,29591805,1461690941.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/1.2.5,1.2.5,,2016-04-26 17:27:01.937979,43569.0,679.0
