annot,annot_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input1,input10,input10_filetype,input11,input11_filetype,input12,input12_filetype,input13,input13_filetype,input14,input14_filetype,input15,input15_filetype,input16,input16_filetype,input17,input17_filetype,input18,input18_filetype,input19,input19_filetype,input1_filetype,input2,input20,input20_filetype,input2_filetype,input3,input3_filetype,input4,input4_filetype,input5,input5_filetype,input6,input6_filetype,input7,input7_filetype,input8,input8_filetype,input9,input9_filetype,input_filetype,input_ref,input_ref_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.annot.values,parameters.chromInfo,parameters.dbkey,parameters.gene_selection,parameters.input.values,parameters.input_ref.values,parameters.input_size,parameters.min_contig,parameters.threshold_contig,parameters.type_file,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-09 00:39:56.855188,slurm_normal,1520556034.0,1,7680.0,1.0,main_w3_handler1,3434083,18665970,False,,5082576,5082576,5216233.0,fasta,4682227.0,fasta,,,,,,,,,,,,,,,,,fasta,4900554.0,,,fasta,5089822.0,fasta,5422723.0,fasta,4692406.0,fasta,5118942.0,fasta,5579144.0,fasta,4812252.0,fasta,5267253.0,fasta,fasta,,,12761983,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34003483}, {'src': 'hda', 'id': 34003485}, {'src': 'hda', 'id': 34003488}, {'src': 'hda', 'id': 34003491}, {'src': 'hda', 'id': 34003493}, {'src': 'hda', 'id': 34003495}, {'src': 'hda', 'id': 34003498}, {'src': 'hda', 'id': 34003500}, {'src': 'hda', 'id': 34003502}, {'src': 'hda', 'id': 34003510}, {'src': 'hda', 'id': 34003519}]",,"""""","""500""","""0,1000""","""contig""",32.0,,44080272,1520556009.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-09 00:40:38.052288,122542.0,25.0
,,2018-03-09 00:45:31.551458,slurm_normal,1520556390.0,1,7680.0,1.0,main_w3_handler1,3434083,18666015,False,,5488928,5488928,5579144.0,fasta,4812252.0,fasta,5267253.0,fasta,5216233.0,fasta,4682227.0,fasta,4874689.0,fasta,6734383.0,fasta,4213109.0,fasta,5740733.0,fasta,4778091.0,fasta,fasta,5541066.0,3797770.0,fasta,fasta,5514636.0,fasta,5082576.0,fasta,4900554.0,fasta,5089822.0,fasta,5422723.0,fasta,4692406.0,fasta,5118942.0,fasta,fasta,,,12762051,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34003471}, {'src': 'hda', 'id': 34003475}, {'src': 'hda', 'id': 34003478}, {'src': 'hda', 'id': 34003483}, {'src': 'hda', 'id': 34003485}, {'src': 'hda', 'id': 34003488}, {'src': 'hda', 'id': 34003491}, {'src': 'hda', 'id': 34003493}, {'src': 'hda', 'id': 34003495}, {'src': 'hda', 'id': 34003498}, {'src': 'hda', 'id': 34003500}, {'src': 'hda', 'id': 34003502}, {'src': 'hda', 'id': 34003510}, {'src': 'hda', 'id': 34003519}, {'src': 'hda', 'id': 34087417}, {'src': 'hda', 'id': 34133634}, {'src': 'hda', 'id': 34133635}, {'src': 'hda', 'id': 34133636}, {'src': 'hda', 'id': 34133637}, {'src': 'hda', 'id': 34133638}]",,"""""","""500""","""0,1000""","""contig""",32.0,,44080272,1520556341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-09 00:46:34.016628,122542.0,49.0
,,2018-03-09 08:32:12.112519,slurm_normal,1520584400.0,4,7680.0,1.0,main_w3_handler1,3449094,18669258,False,,318455842,318455842,,,,,,,,,,,,,,,,,,,,,fasta,319251118.0,,,fasta,322954620.0,fasta,,,,,,,,,,,,,fasta,10867953.0,fasta,12765453,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34165368}, {'src': 'hda', 'id': 34165369}, {'src': 'hda', 'id': 34165370}]","[{'src': 'hda', 'id': 34165353}]","""""","""500""","""0,1000""","""scaffold""",32.0,,43622766,1520584343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-09 08:33:24.294350,119480.0,57.0
,,2018-03-09 10:07:31.027478,slurm_normal,1520590099.0,1,7680.0,1.0,main_w3_handler0,3265363,18670065,False,,190849615,190849615,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12766578,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""eukaryote""","[{'src': 'hda', 'id': 34195766}]",,"""""","""500""","""0,1000""","""contig""",32.0,,44305242,1520590063.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-09 10:08:22.105332,112218.0,36.0
17844544.0,gff3,2018-03-09 18:30:05.146529,slurm_normal,1520620232.0,4,7680.0,1.0,main_w3_handler1,3446448,18675375,False,,48090410,48090410,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,46921056.0,fasta,12771494,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34131728}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 34275571}]","[{'src': 'hda', 'id': 34132704}]","""""","""500""","""0,1000""","""contig""",32.0,,44519830,1520620222.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-09 18:30:39.659655,123026.0,10.0
,,2018-03-09 20:49:41.239050,slurm_normal,1520628614.0,1,7680.0,1.0,main_w3_handler0,3430467,18676728,False,,65660529,65660529,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12772982,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""eukaryote""","[{'src': 'hda', 'id': 33982414}]",,"""""","""0""","""0,1000""","""scaffold""",32.0,,43940133,1520628590.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-09 20:50:19.985854,,24.0
,,2018-03-09 20:59:47.765309,slurm_normal,1520629228.0,1,7680.0,1.0,main_w3_handler0,3430467,18676843,False,,66678875,66678875,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12773125,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""eukaryote""","[{'src': 'hda', 'id': 33982329}]",,"""""","""0""","""0,1000""","""scaffold""",32.0,,43940133,1520629206.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-03-09 21:00:31.896126,,22.0
,,2018-02-13 22:08:53.131296,slurm_normal,1518559805.0,1,7680.0,1.0,main_w4_handler1,3425020,18374529,False,,2273771,2273771,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12459171,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""prokaryotes""","[{'src': 'hda', 'id': 33841054}]",,"""""","""250""","""0,1000""","""scaffold""",32.0,,43834762,1518559741.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-13 22:10:08.349081,100013.0,64.0
,,2018-02-14 13:00:52.775906,slurm_normal,1518613365.0,1,7680.0,1.0,main_w3_handler0,3427888,18382115,False,,133170819,133170819,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12467065,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""eukaryote""","[{'src': 'hda', 'id': 33851760}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43855446,1518613263.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-14 13:02:48.964396,121532.0,102.0
,,2018-02-14 19:49:29.854270,slurm_normal,1518637882.0,1,7680.0,1.0,main_w3_handler0,3429353,18386732,False,,133170819,133170819,,,,,,,,,,,,,,,,,,,,,fasta,,,,,,,,,,,,,,,,,,,fasta,,,12471659,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""eukaryote""","[{'src': 'hda', 'id': 33859743}]",,"""""","""500""","""0,1000""","""contig""",32.0,,43855446,1518637779.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/4.6.3,4.6.3,,2018-02-14 19:51:26.918212,121532.0,103.0
