bams,bams1,bams10,bams10_filetype,bams11,bams11_filetype,bams12,bams12_filetype,bams1_filetype,bams2,bams2_filetype,bams3,bams3_filetype,bams4,bams4_filetype,bams5,bams5_filetype,bams6,bams6_filetype,bams7,bams7_filetype,bams8,bams8_filetype,bams9,bams9_filetype,bams_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bams,parameters.bams.values,parameters.chromInfo,parameters.dbkey,parameters.duplicate,parameters.failed,parameters.input,parameters.input.values,parameters.overlap,parameters.proper,parameters.q,parameters.reciprocal,parameters.split,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2273413200,2273413200,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-01-28 05:51:22.165149,slurm_normal,1453960331.0,0,1.0,main_w1_handler0,2572523,11620545,False,,17889,bed,5884974.roundup,slurm,,132112168.0,corral-repl,,"""22991915""",,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""","""False""",23065109,,"""1e-09""","""False""","""0""","""False""","""False""","""""",32.0,,27046303,1453960290.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.22.0,2.22.0,,2016-01-28 05:52:13.700891,58746,41.0
2072793008,2072793008,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-01-28 05:51:54.570968,slurm_normal,1453960364.0,0,1.0,main_w1_handler0,2572523,11620546,False,,17889,bed,5884975.roundup,slurm,,132112168.0,corral-repl,,"""22991917""",,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""","""False""",23065109,,"""1e-09""","""False""","""0""","""False""","""False""","""""",32.0,,27046303,1453960326.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.22.0,2.22.0,,2016-01-28 05:52:47.399650,58746,38.0
1871664872,1871664872,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-01-28 05:52:12.659238,slurm_normal,1453960383.0,0,1.0,main_w2_handler1,2572523,11620547,False,,17889,bed,5884976.roundup,slurm,,132112168.0,corral-repl,,"""22991918""",,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""","""False""",23065109,,"""1e-09""","""False""","""0""","""False""","""False""","""""",32.0,,27046303,1453960345.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.22.0,2.22.0,,2016-01-28 05:53:08.789053,58746,38.0
2143311142,2143311142,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-01-28 05:52:23.933442,slurm_normal,1453960400.0,0,1.0,main_w1_handler2,2572523,11620548,False,,17889,bed,5884977.roundup,slurm,,132112168.0,corral-repl,,"""22991919""",,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""","""False""",23065109,,"""1e-09""","""False""","""0""","""False""","""False""","""""",32.0,,27046303,1453960355.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.22.0,2.22.0,,2016-01-28 05:53:23.211384,58746,45.0
2273413200,2273413200,,,,,,,bam,2072793008.0,bam,1871664872.0,bam,2143311142.0,bam,,,,,,,,,,,bam,2016-01-28 05:46:08.275239,slurm_normal,1453960072.0,0,1.0,main_w1_handler1,2572523,11620537,False,,17889,bed,5884966.roundup,slurm,,132112168.0,corral-repl,,"""22991915,22991917,22991918,22991919""",,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""","""False""",23065109,,"""1e-09""","""False""","""0""","""False""","""False""","""""",32.0,,27046303,1453959977.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.22.0,2.22.0,,2016-01-28 05:47:54.253712,58746,95.0
1457615884,1457615884,,,,,,,bam,1347359421.0,bam,1440534302.0,bam,1340102041.0,bam,,,,,,,,,,,bam,2016-01-29 04:08:41.715617,slurm_normal,1454040542.0,0,1.0,main_w1_handler2,2538207,11628094,False,,75885,bed,5892115.roundup,slurm,,132112168.0,corral-repl,,"""22966090,22966092,22966098,22991321""",,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""True""","""False""",23075889,,"""1e-09""","""False""","""0""","""False""","""True""","""""",32.0,,27090520,1454040531.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.22.0,2.22.0,,2016-01-29 04:09:04.599971,6515,11.0
543280679,543280679,1035542961.0,bam,986624315.0,bam,630310684.0,bam,bam,343145717.0,bam,606447606.0,bam,734187492.0,bam,735440494.0,bam,769562211.0,bam,797587809.0,bam,894537610.0,bam,953441476.0,bam,bam,2016-03-10 16:55:26.874899,slurm_normal,1457629281.0,0,1.0,main_w2_handler1,1240673,12097555,False,,5670,bed,6321853.roundup,slurm,,132112168.0,corral-repl,,"""23645805,23645806,23645808,23645809,23645810,23645811,23645812,23645813,23645814,23645815,23645816,23645817""",,"""/galaxy-repl/localdata/chrom/baciSubt.len""","""baciSubt""","""False""","""False""",23782119,,"""1e-09""","""False""","""0""","""False""","""False""","""-S""",32.0,,28760051,1457628954.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.22.0,2.22.0,,2016-03-10 17:01:27.298784,29328,327.0
543280679,543280679,1035542961.0,bam,986624315.0,bam,630310684.0,bam,bam,343145717.0,bam,606447606.0,bam,734187492.0,bam,735440494.0,bam,769562211.0,bam,797587809.0,bam,894537610.0,bam,953441476.0,bam,bam,2016-03-10 16:59:38.671799,slurm_normal,1457629548.0,0,1.0,main_w2_handler1,1240673,12097655,False,,5670,bed,6321924.roundup,slurm,,132112168.0,corral-repl,,"""23645805,23645806,23645808,23645809,23645810,23645811,23645812,23645813,23645814,23645815,23645816,23645817""",,"""/galaxy-repl/localdata/chrom/baciSubt.len""","""baciSubt""","""False""","""False""",23782368,,"""1e-09""","""False""","""0""","""False""","""False""","""-s""",32.0,,28760051,1457629338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.22.0,2.22.0,,2016-03-10 17:05:54.127073,29328,210.0
543280679,543280679,1035542961.0,bam,986624315.0,bam,630310684.0,bam,bam,343145717.0,bam,606447606.0,bam,734187492.0,bam,735440494.0,bam,769562211.0,bam,797587809.0,bam,894537610.0,bam,953441476.0,bam,bam,2016-03-10 16:48:25.062713,slurm_normal,1457628753.0,0,1.0,main_w2_handler0,1240673,12097472,False,,5670,bed,6321798.roundup,slurm,,132112168.0,corral-repl,,"""23645805,23645806,23645808,23645809,23645810,23645811,23645812,23645813,23645814,23645815,23645816,23645817""",,"""/galaxy-repl/localdata/chrom/baciSubt.len""","""baciSubt""","""False""","""False""",23782119,,"""1e-09""","""False""","""0""","""False""","""False""","""-s""",32.0,,28760051,1457628555.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.22.0,2.22.0,,2016-03-10 16:52:38.459474,29328,198.0
543280679,543280679,1035542961.0,bam,986624315.0,bam,630310684.0,bam,bam,343145717.0,bam,606447606.0,bam,734187492.0,bam,735440494.0,bam,769562211.0,bam,797587809.0,bam,894537610.0,bam,953441476.0,bam,bam,2016-03-10 16:59:55.683640,slurm_normal,1457629985.0,0,1.0,main_w2_handler0,1240673,12097657,False,,5670,bed,6321914.roundup,slurm,,132112168.0,corral-repl,,"""23645805,23645806,23645808,23645809,23645810,23645811,23645812,23645813,23645814,23645815,23645816,23645817""",,"""/galaxy-repl/localdata/chrom/baciSubt.len""","""baciSubt""","""False""","""False""",23782368,,"""1e-09""","""False""","""0""","""False""","""False""","""-S""",32.0,,28760051,1457629325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.22.0,2.22.0,,2016-03-10 17:13:10.303823,29328,660.0
