chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__current_case__,parameters.__index__,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.input|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-02 00:47:07.182717,slurm_normal,1519951650.0,0,7680.0,1.0,main_w3_handler0,3197267,18574218,False,,107565598,sam,12668507,slurm,,132112168.0,corral-repl,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Araly1.len""","""Araly1""","[{'src': 'hda', 'id': 34159379}]",,32.0,,44262017.0,1519951636.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 00:47:33.569614,109179.0,14.0
,,2018-03-02 01:48:13.324016,slurm_normal,1519957565.0,0,7680.0,1.0,main_w4_handler1,3424020,18574622,False,,15840780365,sam,12668904,slurm,,132112168.0,corral-repl,,0,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34159387}]",,32.0,,44272904.0,1519955305.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 02:26:10.562557,121220.0,2260.0
,,2018-03-02 01:47:49.862351,slurm_normal,1519957912.0,0,7680.0,1.0,main_w4_handler1,3424020,18574620,False,,17973478547,sam,12668901,slurm,,132112168.0,corral-repl,,0,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34159383}]",,32.0,,44272904.0,1519955279.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 02:31:56.147130,121220.0,2633.0
177.0,len,2018-03-02 03:04:29.361049,slurm_normal,1519959883.0,0,7680.0,1.0,main_w4_handler0,3446210,18575666,False,,0,sam,12669809,slurm,,132112168.0,corral-repl,,,,,,,"""/galaxy-repl/main/files/023/837/dataset_23837706.dat""","""?""","[{'src': 'hda', 'id': 34161405}]",,32.0,,44224173.0,1519959879.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 03:04:46.234102,123019.0,4.0
177.0,len,2018-03-02 03:21:19.245546,slurm_normal,1519961575.0,0,7680.0,1.0,main_w3_handler0,3446210,18575750,False,,8371092377,sam,12669975,slurm,,132112168.0,corral-repl,,,,,,,"""/galaxy-repl/main/files/023/837/dataset_23837706.dat""","""?""","[{'src': 'hda', 'id': 34161851}]",,32.0,,44224173.0,1519960886.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 03:32:57.799122,123019.0,689.0
,,2018-03-02 08:27:03.630896,slurm_normal,1519979254.0,0,7680.0,1.0,main_w4_handler1,3447961,18577462,False,,7409909,sam,12671873,slurm,,132112168.0,corral-repl,,1,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 34164267}]",,32.0,,44284362.0,1519979249.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 08:27:53.590600,64295.0,5.0
,,2018-03-02 08:36:44.758274,slurm_normal,1519979817.0,0,7680.0,1.0,main_w3_handler0,3447639,18577560,False,,6582088,bam_native,12671946,slurm,,132112168.0,corral-repl,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 34148980}]",,32.0,,44256527.0,1519979811.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 08:37:00.684812,108170.0,6.0
,,2018-03-02 08:59:08.022056,slurm_normal,1519981269.0,0,7680.0,1.0,main_w4_handler0,3447425,18577805,False,,720457978,sam,12672196,slurm,,132112168.0,corral-repl,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34164621}]",,32.0,,44258824.0,1519981156.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 09:01:10.206802,109561.0,113.0
,,2018-03-02 08:59:08.964170,slurm_normal,1519981795.0,0,7680.0,1.0,main_w3_handler1,3447425,18577807,False,,2535035387,sam,12672255,slurm,,132112168.0,corral-repl,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34164623}]",,32.0,,44258824.0,1519981458.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 09:09:57.920967,109561.0,337.0
,,2018-03-02 08:59:10.186211,slurm_normal,1519981950.0,0,7680.0,1.0,main_w4_handler0,3447425,18577809,False,,2206951664,sam,12672289,slurm,,132112168.0,corral-repl,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34164629}]",,32.0,,44258824.0,1519981674.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 09:12:32.022042,109561.0,276.0
,,2018-03-02 08:34:01.188005,slurm_normal,1519979970.0,0,7680.0,1.0,main_w3_handler0,3447434,18577547,False,,428614193,sam,12671963,slurm,,132112168.0,corral-repl,,,,,,"""6f94628e1df411e8bb52005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34164586}]",,32.0,,,1519979926.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 08:39:32.122604,123062.0,44.0
,,2018-03-02 08:31:31.450641,slurm_normal,1519979949.0,0,7680.0,1.0,main_w4_handler1,3448502,18577521,False,,4551885458,sam,12671913,slurm,,132112168.0,corral-repl,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/sacCer3.len""","""sacCer3""","[{'src': 'hda', 'id': 34156874}]",,32.0,,44026651.0,1519979500.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 08:39:11.101094,114962.0,449.0
,,2018-03-02 08:27:02.797622,slurm_normal,1519979251.0,0,7680.0,1.0,main_w4_handler1,3447961,18577461,False,,7660837,sam,12671871,slurm,,132112168.0,corral-repl,,1,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 34164266}]",,32.0,,44284362.0,1519979246.0,ok,1023996.0,CONVERTER_bam_to_coodinate_sorted_bam,1.0.0,,2018-03-02 08:27:53.399966,64295.0,5.0
