create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.l,parameters.addition.r,parameters.addition.w,parameters.bed,parameters.chromInfo,parameters.dbkey,parameters.header,parameters.inputA.values,parameters.inputB.values,parameters.nooverlaps,parameters.number,parameters.original,parameters.strandB,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-27 17:20:37.206542,slurm_normal,1493313644.0,0,,1.0,main_w4_handler1,2408954,15693239,False,,20378,bed,25819,bed,9806587.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,29899,"""false""","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""false""","[{'src': 'hda', 'id': 29385744}]","[{'src': 'hda', 'id': 29387046}]","""false""","""false""","""true""","""""",32.0,,36732463.0,1493313638.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.26.0.0,2.26.0.0,,2017-04-27 17:20:47.521730,65481.0,6.0
2017-06-19 10:11:51.351170,slurm_normal,1497867137.0,0,,1.0,main_w4_handler1,3156187,16130688,False,,187768,bed,3450364,bed,10210887.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,1000,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 30077508}]","[{'src': 'hda', 'id': 30077511}]","""false""","""false""","""false""","""""",32.0,,38682586.0,1497867130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.26.0.0,2.26.0.0,,2017-06-19 10:12:21.721799,,7.0
2017-06-20 15:48:58.585481,slurm_normal,1497973768.0,0,,1.0,main_w4_handler1,3131709,16144779,False,,5709591,bed,37378930,bed,10223765.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,0,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30096725}]","[{'src': 'hda', 'id': 30097132}]","""false""","""false""","""false""","""""",32.0,,38805347.0,1497973758.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.26.0.0,2.26.0.0,,2017-06-20 15:49:32.209068,25199.0,10.0
2017-06-19 14:43:12.676582,slurm_normal,1497883415.0,0,,1.0,main_w4_handler1,3156187,16132763,False,,187768,bed,3450364,bed,10212585.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,100,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 30077508}]","[{'src': 'hda', 'id': 30077511}]","""false""","""false""","""false""","""""",32.0,,38682586.0,1497883406.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.26.0.0,2.26.0.0,,2017-06-19 14:43:39.952492,,9.0
2017-06-19 14:53:21.660019,slurm_normal,1497884027.0,0,,1.0,main_w4_handler1,3156187,16132832,False,,192256,bed,3450364,bed,10212647.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,600,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30080948}]","[{'src': 'hda', 'id': 30077511}]","""false""","""false""","""false""","""""",32.0,,38682586.0,1497884021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.26.0.0,2.26.0.0,,2017-06-19 14:53:51.193758,,6.0
2017-06-19 14:54:31.521691,slurm_normal,1497884089.0,0,,1.0,main_w4_handler1,3156187,16132840,False,,192256,bed,3450364,bed,10212656.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,600,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30080948}]","[{'src': 'hda', 'id': 30077511}]","""false""","""true""","""false""","""""",32.0,,38682586.0,1497884084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.26.0.0,2.26.0.0,,2017-06-19 14:54:51.221654,,5.0
2017-06-19 14:39:00.965122,slurm_normal,1497883163.0,0,,1.0,main_w3_handler0,3156187,16132710,False,,187768,bed,3450364,bed,10212552.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,1000,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 30077508}]","[{'src': 'hda', 'id': 30077511}]","""false""","""true""","""false""","""""",32.0,,38682586.0,1497883157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.26.0.0,2.26.0.0,,2017-06-19 14:39:24.690124,,6.0
2017-06-20 16:04:29.837302,slurm_normal,1497974750.0,0,,1.0,main_w4_handler0,3131709,16144945,False,,36396274,bed,7391330,bed,10223977.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,0,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30098632}]","[{'src': 'hda', 'id': 30098633}]","""false""","""false""","""false""","""""",32.0,,38805347.0,1497974742.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.26.0.0,2.26.0.0,,2017-06-20 16:05:54.904161,25199.0,8.0
2017-06-22 10:46:52.659425,slurm_normal,1498128437.0,0,,1.0,main_w4_handler1,2960044,16162941,False,,1255,bed,4777,bed,10240616.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,100,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 30125063}]","[{'src': 'hda', 'id': 30125104}]","""false""","""false""","""false""","""""",32.0,,38804882.0,1498128433.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.26.0.0,2.26.0.0,,2017-06-22 10:47:22.550393,49881.0,4.0
2017-07-17 14:43:47.739850,slurm_normal,1500302636.0,0,,1.0,main_w4_handler0,2996992,16360759,False,,502794,bed,4386,bed,10423781.roundup,slurm,,132112168.0,corral-repl,,,0,window,,,1000,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""","[{'src': 'hda', 'id': 30301815}]","[{'src': 'hda', 'id': 30518464}]","""false""","""false""","""false""","""""",32.0,,38688859.0,1500302632.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.26.0.0,2.26.0.0,,2017-07-17 14:44:06.779023,75600.0,4.0
