chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-08-14 18:13:53.023266,slurm_normal,1471198631.0,0.0,,1.0,main_w1_handler0,2771498,13660118,False,,311303586,wig,7876208.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a57099d82ebc10e8'}]",32.0,,31506408.0,1471198441.0,ok,1023996.0,CONVERTER_wiggle_to_interval_0,1.0.0,,2016-08-14 18:17:13.083353,52608.0,190.0
,,2016-10-21 19:13:09.605876,slurm_normal,1477077207.0,0.0,,1.0,main_w3_handler0,2797237,14143511,False,,9399781,bedgraph,8356712.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f3cc5fc9826a6971'}]",32.0,,33846249.0,1477077199.0,ok,1023996.0,CONVERTER_wiggle_to_interval_0,1.0.0,,2016-10-21 19:13:28.594856,43287.0,8.0
,,2016-08-22 13:32:01.959410,slurm_normal,1471872773.0,0.0,,1.0,main_w4_handler0,2513635,13697703,False,,60467766,wig,7913283.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54c80b62818d505b6'}]",32.0,,32387401.0,1471872732.0,ok,1023996.0,CONVERTER_wiggle_to_interval_0,1.0.0,,2016-08-22 13:32:55.337448,55887.0,41.0
,,2016-09-29 00:25:03.487758,slurm_normal,1475108919.0,0.0,,1.0,main_w3_handler0,2836702,13970052,False,,131366605,wig,8189363.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ea00a0d1bbad9d6d'}]",32.0,,33309082.0,1475108810.0,ok,1023996.0,CONVERTER_wiggle_to_interval_0,1.0.0,,2016-09-29 00:28:47.758611,52862.0,109.0
,,2016-09-29 00:25:08.099436,slurm_normal,1475108870.0,0.0,,1.0,main_w4_handler0,2836702,13970057,False,,131307844,wig,8189358.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5863bd3387483ad3b'}]",32.0,,33309082.0,1475108767.0,ok,1023996.0,CONVERTER_wiggle_to_interval_0,1.0.0,,2016-09-29 00:27:52.216105,52862.0,103.0
,,2016-10-23 10:53:31.054513,slurm_normal,1477220064.0,0.0,,1.0,main_w3_handler1,2032409,14150311,False,,54369110,wig,8362383.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b568f3e8c2941852b9'}]",32.0,,32062251.0,1477220047.0,ok,1023996.0,CONVERTER_wiggle_to_interval_0,1.0.0,,2016-10-23 10:54:26.947858,52488.0,17.0
,,2016-08-25 09:24:41.792066,slurm_normal,1472117159.0,0.0,,1.0,main_w3_handler0,2801745,13716432,False,,201636540,wig,7933422.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5891c3fbdbe280f9a'}]",32.0,,32528351.0,1472117105.0,ok,1023996.0,CONVERTER_wiggle_to_interval_0,1.0.0,,2016-08-25 09:26:00.977233,31848.0,54.0
,,2016-08-27 20:18:00.631921,slurm_normal,1472329101.0,0.0,,1.0,main_w3_handler1,2803961,13732312,False,,2484151,wig,7950887.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5122beb573abfc1e0'}]",32.0,,32304941.0,1472329093.0,ok,1023996.0,CONVERTER_wiggle_to_interval_0,1.0.0,,2016-08-27 20:18:24.161320,88591.0,8.0
,,2016-08-29 21:50:00.700177,slurm_normal,1472507441.0,0.0,,1.0,main_w3_handler1,2801402,13744187,False,,25043558,wig,7964174.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a9248d0b7f4b8185'}]",32.0,,32510596.0,1472507422.0,ok,1023996.0,CONVERTER_wiggle_to_interval_0,1.0.0,,2016-08-29 21:50:43.576118,89008.0,19.0
,,2016-08-29 21:56:09.560265,slurm_normal,1472507880.0,0.0,,1.0,main_w4_handler0,2801402,13744226,False,,284602497,wig,7964217.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer2.len""","""sacCer2""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b189041306311220'}]",32.0,,32510596.0,1472507788.0,ok,1023996.0,CONVERTER_wiggle_to_interval_0,1.0.0,,2016-08-29 21:58:02.614556,89008.0,92.0
