create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.filter_score.__current_case__,parameters.filter_score.bitscore,parameters.filter_score.evalue,parameters.filter_score.filter_score_select,parameters.hit_filter.__current_case__,parameters.hit_filter.hit_filter_select,parameters.hit_filter.max,parameters.hit_filter.percentage,parameters.identity,parameters.matrix,parameters.method.__current_case__,parameters.method.gapextend,parameters.method.gapopen,parameters.method.method_select,parameters.query,parameters.query.values,parameters.query|__identifier__,parameters.ref_db_source.__current_case__,parameters.ref_db_source.db_source,parameters.ref_db_source.reference_database,parameters.ref_db_source.reference_database.values,parameters.salltitles,parameters.seg,parameters.sensitive,processor_count,query,query_filetype,reference_database,reference_database_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-14 18:39:28.313440,slurm_normal,1510684777.0,0,1.0,main_w4_handler1,2979995,17457229,False,,11515061,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,0.001,evalue,1,percentage,,10,"""40""","""BLOSUM62""",1,-1,-1,blastx,,"[{'src': 'hda', 'id': 28708746}]",,1,history,,"[{'src': 'hda', 'id': 29586214}]","""false""","""true""","""false""",32.0,240647304,fasta,2059193558,diamond_database,,41990484,1510684773.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.1.6.0,0.1.6.0,,2017-11-14 18:39:38.686008,54814.0,4.0
2017-04-11 09:51:04.194763,slurm_normal,1491904369.0,0,1.0,main_w3_handler1,3068587,15551398,False,,9675832.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,0.01,evalue,0,max,20,,"""0""","""BLOSUM62""",1,-1,-1,blastx,,"[{'src': 'hda', 'id': 29165544}]",,1,history,,"[{'src': 'hda', 'id': 29165503}]","""false""","""false""","""false""",32.0,4274893,fasta,67123501,diamond_database,,37102438,1491904341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.1.6.0,0.1.6.0,,2017-04-11 09:53:43.771767,102541.0,28.0
2017-04-11 11:57:47.537365,slurm_normal,1491911888.0,0,1.0,main_w3_handler1,3068587,15552411,False,,9676687.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,0.001,evalue,0,max,25,,"""0""","""BLOSUM62""",1,-1,-1,blastx,,"[{'src': 'hda', 'id': 29167199}]",,1,history,,"[{'src': 'hda', 'id': 29165503}]","""false""","""false""","""false""",32.0,14304901,fasta,67123501,diamond_database,,37102438,1491911882.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.1.6.0,0.1.6.0,,2017-04-11 11:58:10.417702,102541.0,6.0
2017-02-23 00:08:48.779511,slurm_normal,1487808537.0,0,1.0,main_w4_handler0,2998796,15113572,False,,9268216.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,10.0,evalue,0,max,100,,"""50""","""BLOSUM62""",1,1,11,blastx,,"[{'src': 'hda', 'id': 28446388}]",,1,history,,"[{'src': 'hda', 'id': 28404724}]","""false""","""false""","""false""",32.0,3495220299,fasta,67150416,diamond_database,,36011642,1487808532.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.1.6.0,0.1.6.0,,2017-02-23 00:09:00.364557,99394.0,5.0
2016-10-12 15:28:42.164434,slurm_normal,1476286133.0,0,1.0,main_w4_handler1,2851898,14064662,False,,8281575.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,0.001,evalue,0,max,25,,"""0""","""BLOSUM62""",0,1,11,blastp,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53ae862644529cd84'}]",,1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e2ccf02d1c3842ae'}]","""false""","""true""","""false""",32.0,724641,fasta,67603680,diamond_database,,33624921,1476286128.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.1.6.0,0.1.6.0,,2016-10-12 15:29:03.926323,53160.0,5.0
2016-10-12 15:31:45.149212,slurm_normal,1476286346.0,0,1.0,main_w4_handler0,2851898,14064697,False,,8281614.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,0.001,evalue,0,max,25,,"""0""","""BLOSUM62""",1,-1,-1,blastx,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53ae862644529cd84'}]",,1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e2ccf02d1c3842ae'}]","""false""","""true""","""true""",32.0,724641,fasta,67603680,diamond_database,,33624921,1476286317.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.1.6.0,0.1.6.0,,2016-10-12 15:32:57.944495,53160.0,29.0
2016-06-23 09:40:06.623740,slurm_normal,1466674847.0,0,1.0,main_w1_handler0,2307589,13245010,False,,7430945.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,0.001,evalue,0,max,25,,"""0""","""BLOSUM62""",0,1,11,blastp,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51e225c9c5e5a4c37'}]",,1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53135e5182906988d'}]","""false""","""true""","""false""",32.0,56808036,fasta,123942149,diamond_database,,30031397,1466674844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.1.6.0,0.1.6.0,,2016-06-23 09:40:49.606272,63563.0,3.0
2017-04-11 10:15:21.722606,slurm_normal,1491905744.0,0,1.0,main_w3_handler1,3068587,15551624,False,,9676048.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,0.001,evalue,0,max,25,,"""0""","""BLOSUM62""",1,2,7,blastx,,"[{'src': 'hda', 'id': 29165544}]",,1,history,,"[{'src': 'hda', 'id': 29165503}]","""false""","""true""","""false""",32.0,4274893,fasta,67123501,diamond_database,,37102438,1491905740.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.1.6.0,0.1.6.0,,2017-04-11 10:15:45.990772,102541.0,4.0
2016-06-24 20:21:35.978482,slurm_normal,1466799745.0,0,1.0,main_w2_handler0,2717090,13256841,False,,7443803.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,0.001,evalue,0,max,25,,"""0""","""BLOSUM62""",1,-1,-1,blastx,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5caccf9acca9153a6'}]",,1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bad104fde2c0c582'}]","""false""","""true""","""false""",32.0,368674029,fasta,1571796429,diamond_database,,31012430,1466799740.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.1.6.0,0.1.6.0,,2016-06-24 20:22:26.955572,51794.0,5.0
2016-06-24 20:21:35.237147,slurm_normal,1466799731.0,0,1.0,main_w1_handler1,2717090,13256839,False,,7443801.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,0.001,evalue,0,max,25,,"""0""","""BLOSUM62""",1,-1,-1,blastx,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5477a5ac2c941567d'}]",,1,history,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bad104fde2c0c582'}]","""false""","""true""","""false""",32.0,512755965,fasta,1571796429,diamond_database,,31012430,1466799728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.1.6.0,0.1.6.0,,2016-06-24 20:22:12.630687,51794.0,3.0
