create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.annotations,parameters.chr,parameters.chromInfo,parameters.dbkey,parameters.filter.__current_case__,parameters.filter.specificEffects,parameters.filterOut,parameters.generate_stats,parameters.input.values,parameters.inputFormat,parameters.input|__identifier__,parameters.noLog,parameters.offset,parameters.outputConditional.__current_case__,parameters.outputConditional.gatk_v1,parameters.outputConditional.outputFormat,parameters.snpDb.__current_case__,parameters.snpDb.extra_annotations,parameters.snpDb.genomeSrc,parameters.snpDb.genome_version,parameters.snpDb.regulation,parameters.snpDb.snpeff_db.values,parameters.spliceRegion.__current_case__,parameters.spliceRegion.setSpliceRegions,parameters.spliceSiteSize,parameters.transcripts.values,parameters.udLength,processor_count,runner_name,session_id,snpeff_db,snpeff_db_filetype,start_epoch,state,swaptotal,tool_id,tool_version,traceback,transcripts,transcripts_filetype,update_time,user_id,runtime
2017-05-25 09:15:30.088838,slurm_normal,1495704153.0,0,,1.0,main_w3_handler1,3126504,15935173,False,,2214361,vcf,10033638.roundup,slurm,,132112168.0,corral-repl,,"""abeffaa6412a11e78da4005056a52a46""",,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,no,,"""true""","[{'src': 'hda', 'id': 29766028}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,,15.0,snpeffdb,1495704096.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-25 09:22:37.278107,106434.0,57.0
2017-05-25 15:12:34.077314,slurm_normal,1495725178.0,0,,1.0,main_w3_handler0,3108846,15937706,False,,84261,vcf,10036249.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29768796}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,38077089.0,29.0,snpeffdb,1495725171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-25 15:13:00.116084,99021.0,7.0
2017-05-26 04:09:38.359583,slurm_normal,1495771832.0,0,,1.0,main_w4_handler0,3114542,15942563,False,,10363280,tabular,10041410.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29778620}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""200""",32.0,,37537171.0,15.0,snpeffdb,1495771787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-26 04:10:35.528552,104632.0,45.0
2017-05-26 14:34:34.537263,slurm_normal,1495809296.0,0,,1.0,main_w3_handler0,3128589,15946469,False,,9393452,vcf,10045072.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29783809}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""2000""",32.0,,38230003.0,29.0,snpeffdb,1495809286.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-26 14:35:01.501222,103738.0,10.0
2017-05-26 14:46:55.767545,slurm_normal,1495810130.0,0,,1.0,main_w4_handler1,3128589,15946569,False,,889795,vcf,10045175.roundup,slurm,,132112168.0,corral-repl,,"""25971496422211e7aff8005056a51846""",,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29784342}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,,22.0,snpeffdb,1495810107.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-26 14:48:54.200002,103738.0,23.0
2017-05-26 14:39:36.101645,slurm_normal,1495809742.0,0,,1.0,main_w3_handler0,3128589,15946502,False,,889795,vcf,10045121.roundup,slurm,,132112168.0,corral-repl,,"""20ae34b0422111e7af9f005056a51846""",,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29784193}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,,29.0,snpeffdb,1495809733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-26 14:42:26.779338,103738.0,9.0
2017-05-26 14:39:35.795198,slurm_normal,1495809710.0,0,,1.0,main_w3_handler0,3128589,15946501,False,,889795,vcf,10045117.roundup,slurm,,132112168.0,corral-repl,,"""20ae34b0422111e7af9f005056a51846""",,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29784191}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,,29.0,snpeffdb,1495809691.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-26 14:41:52.112989,103738.0,19.0
2017-05-26 14:46:56.482062,slurm_normal,1495810213.0,0,,1.0,main_w4_handler1,3128589,15946570,False,,889795,vcf,10045180.roundup,slurm,,132112168.0,corral-repl,,"""25971496422211e7aff8005056a51846""",,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29784345}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,,22.0,snpeffdb,1495810159.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-26 14:50:15.428336,103738.0,54.0
2017-05-26 15:14:32.479339,slurm_normal,1495812032.0,0,,1.0,main_w4_handler0,3128589,15946704,False,,65637628,vcf,10045317.roundup,slurm,,132112168.0,corral-repl,,"""02b94d5a422611e783f5005056a51846""",,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 29784504}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""5000""",32.0,,,22.0,snpeffdb,1495811840.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-05-26 15:20:35.809052,103738.0,192.0
2017-06-19 10:44:59.942295,slurm_normal,1497869161.0,0,,1.0,main_w4_handler1,3078807,16130892,False,,4246632,tabular,10211125.roundup,slurm,,132112168.0,corral-repl,,,,"""""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,no,,"""true""","[{'src': 'hda', 'id': 30077761}]","""vcf""",,"""true""","""default""",0,,vcf,,,,,,,0,no,"""2""",,"""0""",32.0,,37425655.0,18.0,snpeffdb,1497869118.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/4.1.0,4.1.0,,,,2017-06-19 10:46:04.755272,,43.0
