chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
19.0,len,2017-04-07 18:05:20.136978,slurm_normal,1491588332.0,0,,1.0,main_w4_handler1,3022600,15524620,False,,2310245,fasta,9650742.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/019/509/dataset_19509800.dat""","""neisMeni_MC58_1""","[{'src': 'hda', 'id': 29124476}]",32.0,,36370451,1491588328.0,ok,1023996.0,CONVERTER_fasta_to_fai,1.0.0,,2017-04-07 18:05:34.242049,101147.0,4.0
,,2017-02-25 22:56:17.847141,slurm_normal,1488063385.0,0,,1.0,main_w3_handler1,3006528,15144441,False,,7104758,fasta,9297180.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28469750}]",32.0,,36228971,1488063381.0,ok,1023996.0,CONVERTER_fasta_to_fai,1.0.0,,2017-02-25 22:56:27.320772,58248.0,4.0
,,2017-02-26 21:41:56.247860,slurm_normal,1488145324.0,0,,1.0,main_w4_handler0,3011154,15148894,False,,11688,fasta,9301181.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28525341}]",32.0,,36294240,1488145320.0,ok,1023996.0,CONVERTER_fasta_to_fai,1.0.0,,2017-02-26 21:42:05.817847,,4.0
,,2017-02-27 07:13:17.812874,slurm_normal,1488179611.0,0,,1.0,main_w3_handler1,3010089,15151204,False,,337773359,fasta,9303298.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28516337}]",32.0,,36299277,1488179601.0,ok,1023996.0,CONVERTER_fasta_to_fai,1.0.0,,2017-02-27 07:13:35.040508,100194.0,10.0
,,2017-02-27 00:26:38.474285,slurm_normal,1488155206.0,0,,1.0,main_w4_handler0,2968393,15149438,False,,1570598,fasta,9301681.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28525600}]",32.0,,35592140,1488155201.0,ok,1023996.0,CONVERTER_fasta_to_fai,1.0.0,,2017-02-27 00:26:48.014363,,5.0
,,2017-02-27 03:33:42.432574,slurm_normal,1488166427.0,0,,1.0,main_w4_handler0,3006566,15150454,False,,2166,fasta,9302503.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28470433}]",32.0,,36231419,1488166424.0,ok,1023996.0,CONVERTER_fasta_to_fai,1.0.0,,2017-02-27 03:33:50.988242,100723.0,3.0
,,2017-02-27 05:58:37.257565,slurm_normal,1488175126.0,0,,1.0,main_w3_handler1,3011528,15150975,False,,197485712,fasta,9303056.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28528215}]",32.0,,36299129,1488175119.0,ok,1023996.0,CONVERTER_fasta_to_fai,1.0.0,,2017-02-27 05:58:46.876235,,7.0
,,2017-04-04 18:51:07.420904,slurm_normal,1491331889.0,0,,1.0,main_w3_handler0,3059371,15487176,False,,33786,fasta,9614360.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29069063}]",32.0,,35751850,1491331885.0,ok,1023996.0,CONVERTER_fasta_to_fai,1.0.0,,2017-04-04 18:51:30.507089,64695.0,4.0
632.0,len,2017-02-27 18:45:09.635149,slurm_normal,1488221138.0,0,,1.0,main_w4_handler1,2991641,15157506,False,,2268224831,fasta,9309166.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/018/989/dataset_18989254.dat""","""Salmo salar ICSASG v2""","[{'src': 'hda', 'id': 28510927}]",32.0,,36310918,1488221112.0,ok,1023996.0,CONVERTER_fasta_to_fai,1.0.0,,2017-02-27 18:45:40.139800,99913.0,26.0
,,2017-02-27 20:42:33.844747,slurm_normal,1488228160.0,0,,1.0,main_w3_handler1,3012551,15159063,False,,9298,fasta,9310759.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28539937}]",32.0,,36314070,1488228157.0,ok,1023996.0,CONVERTER_fasta_to_fai,1.0.0,,2017-02-27 20:42:44.077574,,3.0
