create_time,destination_id,end_epoch,exit_code,fastq_input1,fastq_input1_filetype,fastq_input2,fastq_input2_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,long_reads,long_reads_filetype,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.chromInfo,parameters.dbkey,parameters.graph_clean.min_component_size,parameters.graph_clean.min_dead_end_size,parameters.long_reads.values,parameters.paired_unpaired.__current_case__,parameters.paired_unpaired.fastq_input1.values,parameters.paired_unpaired.fastq_input2.values,parameters.paired_unpaired.fastq_input_selector,parameters.pilon.min_polish_size,parameters.spades.kmer_count,parameters.spades.max_kmer_frac,parameters.spades.min_kmer_frac,parameters.uc_opt.lin_seq,parameters.uc_opt.min_fasta_length,parameters.uc_opt.mode,parameters.uc_opt.no_correct,parameters.uc_opt.no_pilon,parameters.uc_opt.no_rotate,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-09-29 08:28:08.991612,bridges_normal,1506674810.0,0,841417756,fastqsanger,773377342,fastqsanger,11.0,main_w3_handler2,3246683,16970953,False,,16970953,pulsar_bridges,,,,3170320964.0,corral-repl,,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,0,"[{'src': 'hda', 'id': 31180207}]","[{'src': 'hda', 'id': 31180208}]",paired,,,,,,30,conservative,true,false,false,80.0,,40328440,1506673766.0,ok,17591292.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.2.0,0.2.0,,2017-09-29 08:47:05.048308,86871,1044.0
2017-09-29 08:27:27.371293,bridges_normal,1506674771.0,0,841417756,fastqsanger,773377342,fastqsanger,11.0,main_w4_handler2,3246683,16970951,False,,16970951,pulsar_bridges,,,,3170320964.0,corral-repl,,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,0,"[{'src': 'hda', 'id': 31180207}]","[{'src': 'hda', 'id': 31180208}]",paired,,,,,,30,normal,true,false,false,80.0,,40328440,1506673766.0,ok,17591292.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.2.0,0.2.0,,2017-09-29 08:46:34.654311,86871,1005.0
2017-09-29 08:28:29.611329,bridges_normal,1506674873.0,0,841417756,fastqsanger,773377342,fastqsanger,11.0,main_w3_handler2,3246683,16970955,False,,16970955,pulsar_bridges,,,,3170320964.0,corral-repl,,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,0,"[{'src': 'hda', 'id': 31180207}]","[{'src': 'hda', 'id': 31180208}]",paired,,,,,,30,bold,true,false,false,80.0,,40328440,1506673766.0,ok,17591292.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.2.0,0.2.0,,2017-09-29 08:48:04.104353,86871,1107.0
2017-09-29 09:30:45.051089,bridges_normal,1506681739.0,0,1156549808,fastqsanger,1157333636,fastqsanger,11.0,main_w4_handler2,3246683,16971257,False,,16971257,pulsar_bridges,,,,3170323076.0,corral-repl,,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,0,"[{'src': 'hda', 'id': 31159314}]","[{'src': 'hda', 'id': 31159317}]",paired,,,,,,30,normal,true,false,false,64.0,,40328440,1506677891.0,ok,17591292.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.2.0,0.2.0,,2017-09-29 10:42:45.828225,86871,3848.0
2017-09-29 13:35:57.117181,bridges_normal,1506707043.0,0,817814998,fastqsanger,817814998,fastqsanger,11.0,main_w4_handler2,3091808,16972492,False,,16972492,pulsar_bridges,,,,3170323076.0,corral-repl,,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,0,"[{'src': 'hda', 'id': 29488402}]","[{'src': 'hda', 'id': 29488720}]",paired,,,,,,,normal,false,false,false,64.0,,39752128,1506692248.0,ok,17591292.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.2.0,0.2.0,,2017-09-29 17:44:17.046846,104897,14795.0
2018-03-02 00:19:48.513302,bridges_normal,1519953095.0,0,27851268,fastqsanger,27853192,fastqsanger,11.0,main_w3_handler2,3268707,18574027,False,,18574027,pulsar_bridges,,163371846.0,fastqsanger,3170322324.0,corral-repl,,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,"[{'src': 'hda', 'id': 31450297}]",0,"[{'src': 'hda', 'id': 31450299}]","[{'src': 'hda', 'id': 31450298}]",paired,,,,,,,normal,false,false,false,64.0,,42485220,1519950128.0,ok,17591292.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.2.0,0.2.0,,2018-03-02 01:12:00.482912,28,2967.0
2017-09-29 18:29:00.755749,bridges_normal,1506719275.0,0,2115686408,fastqsanger,2115686408,fastqsanger,11.0,main_w3_handler2,3232911,16974736,False,,16974736,pulsar_bridges,,64689909.0,fastqsanger,3170323076.0,corral-repl,,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,"[{'src': 'hda', 'id': 31311504}]",0,"[{'src': 'hda', 'id': 31322973}]","[{'src': 'hda', 'id': 31323025}]",paired,,,,,,,normal,false,false,false,64.0,,40678829,1506709889.0,ok,17591292.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.2.0,0.2.0,,2017-09-29 21:08:14.899091,110556,9386.0
2017-09-29 21:08:19.331249,bridges_normal,1506719733.0,0,0,fastqsanger,0,fastqsanger,11.0,main_w3_handler2,3271101,16975596,False,,16975596,pulsar_bridges,,,,3170323076.0,corral-repl,,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,0,"[{'src': 'hda', 'id': 31485056}]","[{'src': 'hda', 'id': 31485057}]",paired,,,,,,,normal,true,false,false,64.0,,40434144,1506719322.0,ok,17591292.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.2.0,0.2.0,,2017-09-29 21:15:42.672409,92488,411.0
2017-09-29 20:52:26.518341,bridges_normal,1506748967.0,0,2234632424,fastqsanger,2234632424,fastqsanger,11.0,main_w4_handler2,3267350,16975555,False,,16975555,pulsar_bridges,,,,3170323076.0,corral-repl,,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,0,"[{'src': 'hda', 'id': 31484349}]","[{'src': 'hda', 'id': 31484351}]",paired,,,,,,,normal,false,false,false,64.0,,40893290,1506718479.0,ok,17591292.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.2.0,0.2.0,,2017-09-30 05:23:02.192886,110149,30488.0
2017-09-30 20:48:17.234418,bridges_normal,1506807062.0,0,1213284649,fastqsanger,1213622013,fastqsanger,11.0,main_w3_handler2,3266342,16978341,False,,16978341,pulsar_bridges,,,,3170323076.0,corral-repl,,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,0,"[{'src': 'hda', 'id': 31489072}]","[{'src': 'hda', 'id': 31489299}]",paired,,,,,,,normal,false,false,false,64.0,,40886207,1506804579.0,ok,17591292.0,toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.2.0,0.2.0,,2017-09-30 21:31:24.589560,112267,2483.0
