bigwigFile1,bigwigFile1_filetype,bigwigFile2,bigwigFile2_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.binSize,parameters.advancedOpt.plotTitle,parameters.advancedOpt.scaleFactor1,parameters.advancedOpt.scaleFactor2,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.bigwigFile1.values,parameters.bigwigFile2.values,parameters.chromInfo,parameters.comparison.__current_case__,parameters.comparison.comparison_select,parameters.comparison.pseudocount,parameters.dbkey,parameters.outFileFormat,parameters.region,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
221966296,bigwig,219672718,bigwig,,,2016-06-18 20:18:16.599614,slurm_multi,1466282126.0,0,6.0,main_w1_handler2,1104862,13200370,False,,7384923,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55546c86aa034975b'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b50f02611f14e5af13'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bigwig""","""""",32.0,,30757500,1466281110.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-18 20:35:28.440692,25699,1016.0
253906460,bigwig,278520989,bigwig,,,2016-06-19 04:02:03.424362,slurm_multi,1466310489.0,0,6.0,main_w2_handler2,2742555,13202237,False,,7386756,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5103689750452c59f'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b579d34011365f75bf'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bigwig""","""""",32.0,,30935867,1466309686.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-19 04:28:10.930287,86275,803.0
356774928,bigwig,264207254,bigwig,,,2016-06-19 04:00:39.590964,slurm_multi,1466309680.0,0,6.0,main_w2_handler2,2742555,13202233,False,,7386743,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56bb56c37154682e0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5643b4c33571cae25'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bigwig""","""""",32.0,,30935867,1466308853.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-19 04:14:41.631210,86275,827.0
212390509,bigwig,225734698,bigwig,,,2016-06-21 08:35:02.038514,slurm_multi,1466499813.0,0,6.0,main_w1_handler2,2726385,13221572,False,,7406093,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58f85500629f69977'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b59040c91f5f06f3e4'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bigwig""","""""",32.0,,30598208,1466498901.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-21 09:06:13.814959,38685,912.0
419834065,bigwig,396047980,bigwig,,,2016-06-20 00:30:23.302414,slurm_multi,1466383603.0,0,6.0,main_w1_handler2,2557147,13206233,False,,7390687,slurm,,132112168.0,corral-repl,,0,no,,1,50,,1.0,1.0,yes,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56ec3aaaedf35d9f9'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ed91481a7ec544bf'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bedgraph""","""""",32.0,,29248534,1466382988.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-20 00:46:49.521921,76207,615.0
397760469,bigwig,359051678,bigwig,,,2016-06-20 01:19:47.189302,slurm_multi,1466386224.0,0,6.0,main_w2_handler2,2557147,13206357,False,,7390808,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b553bdc87afa8c0114'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b58884e8a827cc8d24'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bedgraph""","""""",32.0,,29248534,1466385596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-20 01:30:27.439390,76207,628.0
412374356,bigwig,356126841,bigwig,,,2016-06-20 01:48:16.232820,slurm_multi,1466387911.0,0,6.0,main_w2_handler2,2557147,13206426,False,,7390896,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581a04fe83830a8af'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f2cce5f3af5ff65b'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bedgraph""","""""",32.0,,29248534,1466387307.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-20 01:58:33.469733,76207,604.0
410261494,bigwig,396047980,bigwig,,,2016-06-20 01:49:09.971779,slurm_multi,1466389108.0,0,6.0,main_w1_handler2,2557147,13206430,False,,7390985,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5de9e340edb9afa17'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ed91481a7ec544bf'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bedgraph""","""""",32.0,,29248534,1466388512.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-20 02:18:29.878794,76207,596.0
414868895,bigwig,367785700,bigwig,,,2016-06-20 01:50:31.459996,slurm_multi,1466389122.0,0,6.0,main_w2_handler2,2557147,13206443,False,,7390986,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b553c8283d8160aca4'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b58ad0028cac399bd6'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bedgraph""","""""",32.0,,29248534,1466388516.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-20 02:18:44.531913,76207,606.0
427838595,bigwig,367785700,bigwig,,,2016-06-20 01:48:42.108841,slurm_multi,1466388507.0,0,6.0,main_w1_handler2,2557147,13206428,False,,7390952,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be54b69831976361'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b58ad0028cac399bd6'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bedgraph""","""""",32.0,,29248534,1466387915.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-20 02:08:28.633293,76207,592.0
417438853,bigwig,359051678,bigwig,,,2016-06-20 01:49:43.209805,slurm_multi,1466389717.0,0,6.0,main_w1_handler2,2557147,13206436,False,,7391013,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5acefcfd04f8ee1e6'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b58884e8a827cc8d24'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bedgraph""","""""",32.0,,29248534,1466389127.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-20 02:28:38.254973,76207,590.0
435691515,bigwig,356126841,bigwig,,,2016-06-20 01:50:06.349662,slurm_multi,1466390317.0,0,6.0,main_w1_handler2,2557147,13206439,False,,7391054,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ac5821c9c2630849'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f2cce5f3af5ff65b'}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bedgraph""","""""",32.0,,29248534,1466389726.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-06-20 02:38:38.151418,76207,591.0
18520135,bigwig,18627981,bigwig,,,2016-09-09 02:22:18.343629,slurm_multi,1473387766.0,0,6.0,main_w3_handler2,2421705,13812679,False,,8033913,slurm,,132112168.0,corral-repl,,0,no,,0,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5285d33fa6b96e624'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5482955fd2c66ff2b'}]","""/galaxy-repl/localdata/chrom/?.len""",0,log2,1.0,"""?""","""bedgraph""","""chr2L""",32.0,,32857497,1473387755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-09-09 02:22:48.636942,36845,11.0
18520135,bigwig,18627981,bigwig,,,2016-09-09 02:43:35.059103,slurm_multi,1473389054.0,0,6.0,main_w3_handler2,2421705,13812726,False,,8033971,slurm,,132112168.0,corral-repl,,0,no,,1,20,,0.66,0.54,yes,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5285d33fa6b96e624'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5482955fd2c66ff2b'}]","""/galaxy-repl/localdata/chrom/?.len""",0,log2,1.0,"""?""","""bedgraph""","""chr2L""",32.0,,32857497,1473389029.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-09-09 02:44:16.613177,36845,25.0
18520135,bigwig,18627981,bigwig,,,2016-09-09 02:33:51.169974,slurm_multi,1473388466.0,0,6.0,main_w3_handler2,2421705,13812708,False,,8033953,slurm,,132112168.0,corral-repl,,0,no,,1,20,,0.66,0.54,yes,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5285d33fa6b96e624'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5482955fd2c66ff2b'}]","""/galaxy-repl/localdata/chrom/?.len""",0,log2,1.0,"""?""","""bigwig""","""chr2L""",32.0,,32857497,1473388442.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-09-09 02:34:30.067420,36845,24.0
18520135,bigwig,18627981,bigwig,,,2016-09-09 03:04:07.530372,slurm_multi,1473390294.0,0,6.0,main_w3_handler2,2421705,13812789,False,,8034031,slurm,,132112168.0,corral-repl,,0,no,,1,10,,0.66,0.54,yes,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5285d33fa6b96e624'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5482955fd2c66ff2b'}]","""/galaxy-repl/localdata/chrom/?.len""",0,log2,1.0,"""?""","""bedgraph""","""chr2R""",32.0,,32857497,1473390263.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-09-09 03:04:55.680295,36845,31.0
18520135,bigwig,18627981,bigwig,,,2016-09-09 03:12:16.895566,slurm_multi,1473390896.0,0,6.0,main_w3_handler2,2421705,13812802,False,,8034053,slurm,,132112168.0,corral-repl,,0,no,,1,20,,0.66,0.54,yes,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5285d33fa6b96e624'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5482955fd2c66ff2b'}]","""/galaxy-repl/localdata/chrom/?.len""",0,log2,1.0,"""?""","""bedgraph""","""""",32.0,,32857497,1473390752.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.2.3.0,2.2.3.0,,2016-09-09 03:15:06.820227,36845,144.0
