create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.cfile,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.out_format1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-05-05 16:27:58.870105,slurm_normal,1430843340.0,0.0,,1.0,main_w2_handler1,2180330,9401196,False,,2366448009,fasta,3732034.roundup,slurm,,132112168.0,corral-repl,,"""Ehuman.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19409879,,"""fasta""",32.0,,22618366,1430843329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-05-05 16:29:18.231655,58303.0,11.0
2015-05-05 16:28:04.066308,slurm_normal,1430843365.0,0.0,,1.0,main_w2_handler1,2180330,9401202,False,,1080036680,fasta,3732044.roundup,slurm,,132112168.0,corral-repl,,"""Ehuman.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19409885,,"""fasta""",32.0,,22618366,1430843360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-05-05 16:29:32.339184,58303.0,5.0
2015-05-05 16:27:56.046159,slurm_normal,1430843338.0,0.0,,1.0,main_w1_handler1,2180330,9401193,False,,2196385386,fasta,3732026.roundup,slurm,,132112168.0,corral-repl,,"""Ehuman.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19409877,,"""fasta""",32.0,,22618366,1430843303.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-05-05 16:29:05.905660,58303.0,35.0
2015-05-05 16:27:54.905009,slurm_normal,1430843294.0,0.0,,1.0,main_w1_handler1,2180330,9401192,False,,2279643962,fasta,3732022.roundup,slurm,,132112168.0,corral-repl,,"""Ehuman.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19409876,,"""fasta""",32.0,,22618366,1430843290.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-05-05 16:28:23.208872,58303.0,4.0
2015-05-05 16:28:02.431982,slurm_normal,1430843390.0,0.0,,1.0,main_w1_handler1,2180330,9401200,False,,1117844700,fasta,3732038.roundup,slurm,,132112168.0,corral-repl,,"""Ehuman.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19409883,,"""fasta""",32.0,,22618366,1430843343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-05-05 16:29:58.158512,58303.0,47.0
2015-05-05 16:28:03.140781,slurm_normal,1430843303.0,0.0,,1.0,main_w1_handler0,2180330,9401201,False,,3657554726,fasta,3732025.roundup,slurm,,132112168.0,corral-repl,,"""Ehuman.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19409884,,"""fasta""",32.0,,22618366,1430843300.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-05-05 16:28:28.644928,58303.0,3.0
2015-05-05 16:28:01.261691,slurm_normal,1430843362.0,0.0,,1.0,main_w2_handler1,2180330,9401199,False,,1077051870,fasta,3732043.roundup,slurm,,132112168.0,corral-repl,,"""Ehuman.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19409882,,"""fasta""",32.0,,22618366,1430843357.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-05-05 16:29:30.246302,58303.0,5.0
2015-05-05 16:28:00.427500,slurm_normal,1430843323.0,0.0,,1.0,main_w2_handler0,2180330,9401198,False,,1995507919,fasta,3732030.roundup,slurm,,132112168.0,corral-repl,,"""Ehuman.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19409881,,"""fasta""",32.0,,22618366,1430843320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-05-05 16:28:50.530243,58303.0,3.0
2016-06-17 01:08:08.785365,slurm_normal,1466125710.0,0.0,,1.0,main_w1_handler1,2735566,13189198,False,,50,fasta,7374024.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5183d4d065736874a'}]","""fasta""",32.0,,30792535,1466125706.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2016-06-17 01:08:33.780369,,4.0
2015-06-01 18:45:01.893853,slurm_normal,1433184344.0,0.0,,1.0,main_w2_handler1,2254323,9575589,False,,140040722,fasta,3888435.roundup,slurm,,132112168.0,corral-repl,,"""Ehum.cut""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19880065,,"""fasta""",32.0,,23342606,1433184337.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: backtranseq2/5.0.0,5.0.0,,2015-06-01 18:45:50.623560,60145.0,7.0
