chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.inputFile.values,parameters.is_bisulfite_sequenced,parameters.minimum_genome_fraction,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,parameters.window_size,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-21 13:34:09.931177,slurm_normal,1498052330.0,0,,1.0,main_w4_handler0,2879702,16153594,False,,1351403394,bam,10232164.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/bosTau6.len""","""bosTau6""","[{'src': 'hda', 'id': 30105415}]","""true""","""5e-05""",0,bosTau6,,cached,"""LENIENT""","""100""",32.0,,,,37716563,1498052071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-06-21 13:38:55.436756,2621,259.0
,,2017-06-21 13:34:08.950120,slurm_normal,1498052359.0,0,,1.0,main_w4_handler1,2879702,16153593,False,,1401075928,bam,10232163.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/bosTau6.len""","""bosTau6""","[{'src': 'hda', 'id': 30105305}]","""true""","""5e-05""",0,bosTau6,,cached,"""LENIENT""","""100""",32.0,,,,37716563,1498052064.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-06-21 13:39:23.350722,2621,295.0
,,2017-07-03 20:56:34.591716,slurm_normal,1499115812.0,0,,1.0,main_w3_handler0,3180561,16252582,False,,635805590,bam,10326201.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30286524}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,39078684,1499115507.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-07-03 21:03:35.774944,108487,305.0
,,2017-07-07 16:46:47.056728,slurm_normal,1499448353.0,0,,1.0,main_w3_handler1,3180561,16285385,False,,1960945407,bam,10355899.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30351688}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,39078684,1499448016.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-07-07 18:01:05.429312,108487,337.0
,,2017-07-11 20:08:39.198296,slurm_normal,1499804044.0,0,,1.0,main_w3_handler0,3180561,16314048,False,,329708779,bam,10381219.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30394233}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,39078684,1499803741.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-07-11 20:14:14.540202,108487,303.0
,,2017-07-20 13:22:10.153035,slurm_normal,1500564842.0,0,,1.0,main_w3_handler1,3195849,16375076,False,,2097644746,bam,10441261.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30539080}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,39078684,1500564482.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-07-20 15:34:05.974378,108487,360.0
,,2017-07-20 13:22:32.588360,slurm_normal,1500565199.0,0,,1.0,main_w4_handler1,3195849,16375079,False,,2097644746,bam,10441328.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30539080}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,39078684,1500564847.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-07-20 15:40:01.163872,108487,352.0
,,2017-07-20 17:04:04.604321,slurm_normal,1500571577.0,0,,1.0,main_w4_handler1,3188155,16377335,False,,150598480,bam,10442034.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30539325}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,39221785,1500571322.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-07-20 17:26:25.591170,108793,255.0
,,2017-07-20 17:04:32.081315,slurm_normal,1500571574.0,0,,1.0,main_w3_handler0,3188155,16377337,False,,151149563,bam,10442037.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30539332}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,39221785,1500571332.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-07-20 17:26:25.651690,108793,242.0
,,2017-07-24 15:27:49.712000,slurm_normal,1500910400.0,0,,1.0,main_w4_handler0,3201155,16405860,False,,595588657,bam,10470618.roundup,slurm,,132112168.0,corral-repl,,"""true""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30592472}]","""true""","""5e-05""",0,hg19,,cached,"""LENIENT""","""100""",32.0,,,,39221785,1500910079.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectGcBiasMetrics/2.7.1.0,2.7.1.0,,2017-07-24 15:33:23.126203,108793,321.0
