create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chrom,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.level,parameters.mode,parameters.plot_value.__current_case__,parameters.plot_value.choice,parameters.plot_value.score_col,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-06-29 09:10:32.833127,slurm_normal,1435569173.0,0,1.0,main_w1_handler2,2358760,9756608,False,,426653720,interval,4059949.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173249,,"""9""","""absmax""",0,score,5,32.0,,23884369,1435569132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:12:55.540031,,41.0
2015-06-29 09:53:08.271046,slurm_normal,1435571783.0,0,1.0,main_w2_handler1,2358760,9756810,False,,428347842,interval,4060160.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173597,,"""7""","""mean""",0,score,5,32.0,,23884369,1435571710.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:56:32.091710,,73.0
2015-06-29 09:01:26.231301,slurm_normal,1435568551.0,0,1.0,main_w1_handler1,2358760,9756576,False,,426182746,interval,4059913.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173050,,"""7""","""mean""",0,score,5,32.0,,23884369,1435568509.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:02:34.473907,,42.0
2015-06-29 09:12:09.448445,slurm_normal,1435569306.0,0,1.0,main_w1_handler2,2358760,9756617,False,,426182746,interval,4059953.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173050,,"""9""","""max""",0,score,5,32.0,,23884369,1435569279.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:15:08.094983,,27.0
2015-06-29 09:12:39.995182,slurm_normal,1435569336.0,0,1.0,main_w1_handler2,2358760,9756618,False,,427116374,interval,4059954.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173251,,"""7""","""mean""",0,score,5,32.0,,23884369,1435569312.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:15:37.358876,,24.0
2015-06-29 09:38:40.419765,slurm_normal,1435570767.0,0,1.0,main_w1_handler2,2358760,9756725,False,,426182746,interval,4060063.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173050,,"""7""","""mean""",0,score,5,32.0,,23884369,1435570732.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:39:30.876623,,35.0
2015-06-29 09:38:58.713855,slurm_normal,1435570870.0,0,1.0,main_w2_handler0,2358760,9756730,False,,426182746,interval,4060069.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173050,,"""7""","""max""",0,score,5,32.0,,23884369,1435570825.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:41:14.984683,,45.0
2015-06-29 09:31:24.294556,slurm_normal,1435570362.0,0,1.0,main_w2_handler0,2358760,9756701,False,,426653720,interval,4060032.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173249,,"""7""","""mean""",0,score,5,32.0,,23884369,1435570304.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:32:45.492136,,58.0
2015-06-29 09:38:40.869609,slurm_normal,1435570815.0,0,1.0,main_w1_handler2,2358760,9756726,False,,426653720,interval,4060066.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173249,,"""7""","""mean""",0,score,5,32.0,,23884369,1435570774.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:40:17.587649,,41.0
2015-06-29 09:39:00.296946,slurm_normal,1435571098.0,0,1.0,main_w1_handler2,2358760,9756733,False,,427389950,interval,4060099.roundup,slurm,,132112168.0,corral-repl,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20173260,,"""7""","""max""",0,score,5,32.0,,23884369,1435571073.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_hilbertvis/hgv_hilbertvis/1.0.0,1.0.0,,2015-06-29 09:45:02.307339,,25.0
