accnos,accnos_filetype,count_in,count_in_filetype,create_time,destination_id,end_epoch,exit_code,fasta_in,fasta_in_filetype,fastq_in,fastq_in_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.accnos.values,parameters.chromInfo,parameters.count_in.values,parameters.dbkey,parameters.dups,parameters.fasta_in.values,parameters.fastq_in.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
0,mothur.accnos,51878.0,mothur.count_table,2018-03-04 23:27:14.500480,slurm_normal,1520206044.0,0,406067.0,fasta,,,7680.0,1.0,main_w3_handler0,3437115,18603888,False,,12699177,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34206517}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 34206518}]","""?""","""true""","[{'src': 'hda', 'id': 34206479}]",,32.0,,44053269.0,1520206041.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs/1.36.1.0,1.36.1.0,,2018-03-04 23:27:27.233459,122464.0,3.0
42,mothur.accnos,,,2018-01-05 21:53:01.445911,slurm_normal,1515189206.0,0,,,440747038.0,fastqsanger,,1.0,main_w3_handler0,3382880,17959817,False,,12036495,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 33195397}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,"""?""","""true""",,"[{'src': 'hda', 'id': 33194150}]",32.0,,42987451.0,1515189189.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs/1.36.1.0,1.36.1.0,,2018-01-05 21:53:27.931883,,17.0
43170,mothur.accnos,49645.0,mothur.count_table,2017-10-30 15:42:39.755802,slurm_normal,1509378179.0,0,729846.0,fasta,,,,1.0,main_w3_handler1,3304442,17265903,False,,11325040,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 31966948}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31966949}]","""?""","""true""","[{'src': 'hda', 'id': 31966919}]",,32.0,,39677360.0,1509378174.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs/1.36.1.0,1.36.1.0,,2017-10-30 15:43:01.068927,654.0,5.0
0,mothur.accnos,,,2017-11-01 10:08:03.326938,slurm_normal,1509531286.0,0,26815.0,fasta,,,,1.0,main_w3_handler0,3306806,17283902,False,,11345262,slurm,,132112168.0,corral-repl,,"""865c2ca2beec11e7863c005056ba55fb""","[{'src': 'hda', 'id': 31999403}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,"""?""","""true""","[{'src': 'hda', 'id': 31999397}]",,32.0,,,1509531279.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs/1.36.1.0,1.36.1.0,,2017-11-01 10:14:54.718826,72172.0,7.0
0,mothur.accnos,,,2017-11-01 11:45:39.016000,slurm_normal,1509539244.0,0,2647369.0,fasta,,,,1.0,main_w4_handler0,3306883,17284616,False,,11346373,slurm,,132112168.0,corral-repl,,"""f2893b9cbef911e79af7005056ba55fb""","[{'src': 'hda', 'id': 32000816}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,"""?""","""true""","[{'src': 'hda', 'id': 32000809}]",,32.0,,,1509539240.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs/1.36.1.0,1.36.1.0,,2017-11-01 12:27:27.218249,72172.0,4.0
0,mothur.accnos,,,2017-11-01 11:45:42.091799,slurm_normal,1509537758.0,0,1194705.0,fasta,,,,1.0,main_w3_handler0,3306882,17284618,False,,11346151,slurm,,132112168.0,corral-repl,,"""25df1bc4befa11e7b484005056ba55fb""","[{'src': 'hda', 'id': 32000847}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,"""?""","""true""","[{'src': 'hda', 'id': 32000841}]",,32.0,,,1509537754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs/1.36.1.0,1.36.1.0,,2017-11-01 12:02:40.299217,72172.0,4.0
0,mothur.accnos,,,2017-11-01 11:42:52.830474,slurm_normal,1509540485.0,0,3220127.0,fasta,,,,1.0,main_w4_handler1,3306884,17284584,False,,11346520,slurm,,132112168.0,corral-repl,,"""c31b028cbef911e78f43005056ba55fb""","[{'src': 'hda', 'id': 32000768}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,"""?""","""true""","[{'src': 'hda', 'id': 32000762}]",,32.0,,,1509540479.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs/1.36.1.0,1.36.1.0,,2017-11-01 12:48:17.048813,72172.0,6.0
172491,mothur.accnos,2247855.0,mothur.count_table,2017-11-02 05:26:29.561953,slurm_normal,1509600414.0,0,19948205.0,fasta,,,,1.0,main_w4_handler1,3307676,17294775,False,,11357037,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 32017065}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32017066}]","""?""","""true""","[{'src': 'hda', 'id': 32016990}]",,32.0,,41627267.0,1509600408.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs/1.36.1.0,1.36.1.0,,2017-11-02 05:26:59.269638,36706.0,6.0
172491,mothur.accnos,2247855.0,mothur.count_table,2017-11-02 07:26:28.566066,slurm_normal,1509607608.0,0,19948205.0,fasta,,,,1.0,main_w3_handler0,3307905,17295182,False,,11357541,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 32017979}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32017980}]","""?""","""true""","[{'src': 'hda', 'id': 32017968}]",,32.0,,41627267.0,1509607601.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs/1.36.1.0,1.36.1.0,,2017-11-02 07:26:50.623015,36706.0,7.0
132696,mothur.accnos,220696.0,mothur.count_table,2017-11-04 10:09:44.359908,slurm_normal,1509790200.0,0,2274701.0,fasta,,,,1.0,main_w3_handler1,3310785,17325948,False,,11386860,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 32062289}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32062290}]","""?""","""true""","[{'src': 'hda', 'id': 32062265}]",,32.0,,40381825.0,1509790196.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_seqs/mothur_remove_seqs/1.36.1.0,1.36.1.0,,2017-11-04 10:10:03.615171,94887.0,4.0
