create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.block_size,parameters.chromInfo,parameters.dbkey,parameters.filter_score.__current_case__,parameters.filter_score.evalue,parameters.filter_score.filter_score_select,parameters.gapextend,parameters.gapopen,parameters.hit_filter.__current_case__,parameters.hit_filter.hit_filter_select,parameters.hit_filter.max_target_seqs,parameters.hit_filter.top,parameters.id,parameters.matrix,parameters.method_select,parameters.more_sensitive,parameters.output.__current_case__,parameters.output.fields,parameters.output.outfmt,parameters.output.salltitles,parameters.query.values,parameters.query_cover,parameters.query_gencode,parameters.query|__identifier__,parameters.ref_db_source.__current_case__,parameters.ref_db_source.db_source,parameters.ref_db_source.reference_database.values,parameters.seg,parameters.sensitive,processor_count,query,query_filetype,reference_database,reference_database_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-08 03:08:31.317492,slurm_normal,1515381850.0,0,,1.0,main_w3_handler0,3369564,17969102,False,,12045757,slurm,,132112168.0,corral-repl,,"""2.0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,25,,"""0""","""BLOSUM62""","""blastx""","""false""",0,,5,true,"[{'src': 'hda', 'id': 33210338}]","""0""","""1""","""ERR1277946""",1,history,"[{'src': 'hda', 'id': 33175730}]","""true""","""false""",32.0,6283042,fastqsanger,619538,dmnd,,42739538,1515381827.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2018-01-08 03:24:11.837116,118849.0,23.0
2017-10-28 00:00:57.537522,slurm_normal,1509162933.0,0,,1.0,main_w3_handler0,2910256,17247522,False,,11306768,slurm,,132112168.0,corral-repl,,"""2.0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,250,,"""0""","""BLOSUM62""","""blastp""","""true""",1,"['qseqid', 'sseqid', 'pident', 'length', 'mismatch', 'gapopen', 'qstart', 'qend', 'sstart', 'send', 'evalue', 'bitscore']",6,,"[{'src': 'hda', 'id': 31935404}]","""0""","""1""",,1,history,"[{'src': 'hda', 'id': 31935414}]","""true""","""true""",32.0,69753249,fasta,73902969,dmnd,,41586413,1509148872.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2017-10-28 03:55:43.794960,29285.0,14061.0
2017-10-28 00:01:25.287448,slurm_normal,1509163919.0,0,,1.0,main_w4_handler1,2910256,17247526,False,,11306774,slurm,,132112168.0,corral-repl,,"""2.0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,250,,"""0""","""BLOSUM62""","""blastp""","""true""",0,,5,true,"[{'src': 'hda', 'id': 31935404}]","""0""","""1""",,1,history,"[{'src': 'hda', 'id': 31935414}]","""true""","""true""",32.0,69753249,fasta,73902969,dmnd,,41586413,1509148897.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2017-10-28 04:12:00.841765,29285.0,15022.0
2017-10-28 15:18:38.867913,slurm_normal,1509203987.0,0,,1.0,main_w3_handler1,3201171,17250201,False,,11309986,slurm,,132112168.0,corral-repl,,"""2.0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,25,,"""0""","""BLOSUM62""","""blastp""","""false""",0,,5,true,"[{'src': 'hda', 'id': 31939224}]","""0""","""4""",,1,history,"[{'src': 'hda', 'id': 31939234}]","""true""","""false""",32.0,47436311,fasta,5909912,dmnd,,41594926,1509203945.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2017-10-28 15:19:57.613817,79128.0,42.0
2017-10-28 15:22:04.438064,slurm_normal,1509204174.0,0,,1.0,main_w4_handler1,3201171,17250206,False,,11310002,slurm,,132112168.0,corral-repl,,"""2.0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,25,,"""0""","""BLOSUM62""","""blastp""","""false""",1,"['qseqid', 'sseqid', 'pident', 'length', 'mismatch', 'gapopen', 'qstart', 'qend', 'sstart', 'send', 'evalue', 'bitscore']",6,,"[{'src': 'hda', 'id': 31939224}]","""0""","""4""",,1,history,"[{'src': 'hda', 'id': 31939234}]","""true""","""false""",32.0,47436311,fasta,5909912,dmnd,,41594926,1509204133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2017-10-28 15:22:54.863544,79128.0,41.0
2017-10-29 19:15:04.861172,slurm_normal,1509304546.0,0,,1.0,main_w4_handler1,3201171,17258218,False,,11316685,slurm,,132112168.0,corral-repl,,"""2.0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,25,,"""0""","""BLOSUM62""","""blastp""","""false""",1,"['qseqid', 'sseqid', 'sallseqid', 'qlen', 'slen', 'pident', 'length', 'nident', 'mismatch', 'positive', 'gapopen', 'gaps', 'ppos', 'qstart', 'qend', 'sstart', 'send', 'qseq', 'sseq', 'evalue', 'bitscore', 'score', 'qframe', 'stitle', 'salltitles', 'qcovhsp']",6,,"[{'src': 'hda', 'id': 31954380}]","""0""","""4""",,1,history,"[{'src': 'hda', 'id': 31954348}]","""true""","""false""",32.0,778725,fasta,580205,dmnd,,41594926,1509304518.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2017-10-29 19:15:50.296700,79128.0,28.0
2017-10-29 19:02:20.984521,slurm_normal,1509303862.0,0,,1.0,main_w4_handler0,3201171,17258075,False,,11316611,slurm,,132112168.0,corral-repl,,"""2.0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,25,,"""0""","""BLOSUM62""","""blastx""","""false""",1,"['qseqid', 'sseqid', 'pident', 'length', 'mismatch', 'gapopen', 'qstart', 'qend', 'sstart', 'send', 'evalue', 'bitscore']",6,,"[{'src': 'hda', 'id': 30591917}]","""0""","""4""",,1,history,"[{'src': 'hda', 'id': 31954170}]","""true""","""false""",32.0,27701819,fasta,14526,dmnd,,41594926,1509303768.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2017-10-29 19:04:25.658504,79128.0,94.0
2017-10-29 19:15:14.218895,slurm_normal,1509304579.0,0,,1.0,main_w3_handler1,3201171,17258219,False,,11316687,slurm,,132112168.0,corral-repl,,"""2.0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,25,,"""0""","""BLOSUM62""","""blastp""","""false""",2,,101,true,"[{'src': 'hda', 'id': 31954380}]","""0""","""4""",,1,history,"[{'src': 'hda', 'id': 31954348}]","""true""","""false""",32.0,778725,fasta,580205,dmnd,,41594926,1509304550.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2017-10-29 19:16:31.498015,79128.0,29.0
2017-10-29 18:58:57.541336,slurm_normal,1509303656.0,0,,1.0,main_w3_handler1,3201171,17258022,False,,11316598,slurm,,132112168.0,corral-repl,,"""2.0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,25,,"""0""","""BLOSUM62""","""blastx""","""false""",0,,5,true,"[{'src': 'hda', 'id': 30591917}]","""0""","""4""",,1,history,"[{'src': 'hda', 'id': 31954170}]","""true""","""false""",32.0,27701819,fasta,14526,dmnd,,41594926,1509303562.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2017-10-29 19:01:03.284853,79128.0,94.0
2017-10-29 19:13:08.466168,slurm_normal,1509304428.0,0,,1.0,main_w4_handler1,3201171,17258212,False,,11316667,slurm,,132112168.0,corral-repl,,"""2.0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,25,,"""0""","""BLOSUM62""","""blastp""","""false""",0,,5,true,"[{'src': 'hda', 'id': 31954380}]","""0""","""4""",,1,history,"[{'src': 'hda', 'id': 31954348}]","""true""","""false""",32.0,778725,fasta,580205,dmnd,,41594926,1509304401.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2017-10-29 19:13:51.002734,79128.0,27.0
