create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputA.values,parameters.inputB.values,parameters.overlap,parameters.removeIfOverlap,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-07 22:40:46.697888,slurm_normal,1520462490.0,0,7680.0,1.0,main_w4_handler1,3455959,18648879,False,,4686866,gff,4850226,gff,12742874,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34280006}]","[{'src': 'hda', 'id': 34280008}]","""1e-09""","""-A""","""""",32.0,,43612412,1520462464.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-03-07 22:41:31.795332,111552,26.0
2018-03-08 14:29:39.379528,slurm_normal,1520519397.0,0,7680.0,1.0,main_w3_handler0,3404417,18657915,False,,4809907,gtf,9536948,gtf,12753879,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34294803}]","[{'src': 'hda', 'id': 33602047}]","""1e-07""","""-A""","""-s""",32.0,,44457090,1520519389.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-03-08 14:30:00.490322,111552,8.0
2018-03-08 14:35:38.793457,slurm_normal,1520519756.0,0,7680.0,1.0,main_w4_handler0,3404417,18658185,False,,4809907,gtf,1250477,gff3,12754050,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34294803}]","[{'src': 'hda', 'id': 34254476}]","""1e-07""","""-A""","""-s""",32.0,,44457090,1520519750.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-03-08 14:35:59.185097,111552,6.0
2018-03-08 15:29:53.837206,slurm_normal,1520523010.0,0,7680.0,1.0,main_w4_handler1,3457022,18658828,False,,1433106,bed,333197,bed,12754830,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34296673}]","[{'src': 'hda', 'id': 34296671}]","""1e-09""","""""","""""",32.0,,44184266,1520523004.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-03-08 15:30:11.752435,122872,6.0
2018-03-08 15:30:03.352298,slurm_normal,1520523015.0,0,7680.0,1.0,main_w3_handler0,3457022,18658831,False,,333197,bed,1433106,bed,12754832,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34296671}]","[{'src': 'hda', 'id': 34296673}]","""1e-09""","""""","""""",32.0,,44184266,1520523011.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-03-08 15:30:17.377521,122872,4.0
2018-03-08 16:49:27.140877,slurm_normal,1520527783.0,0,7680.0,1.0,main_w3_handler1,3404417,18660142,False,,1737977,gtf,1250477,gff3,12756226,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34300119}]","[{'src': 'hda', 'id': 34254476}]","""1e-07""","""-A""","""-s""",32.0,,43612412,1520527779.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-03-08 16:49:45.452424,111552,4.0
2018-03-08 17:53:33.709055,slurm_normal,1520531636.0,0,7680.0,1.0,main_w4_handler1,3404417,18661120,False,Job output deleted by user before job completed.,1737977,gtf,1250477,gff3,12757072,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34300119}]","[{'src': 'hda', 'id': 34254476}]","""1e-09""","""-A""","""-S""",32.0,,43612412,1520531630.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-03-08 17:53:56.515871,111552,6.0
2018-03-08 23:35:22.481798,slurm_normal,1520552135.0,0,7680.0,1.0,main_w4_handler0,3404417,18665412,False,,15341,gtf,1250477,gff3,12761409,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34309696}]","[{'src': 'hda', 'id': 34254476}]","""1e-09""","""-A""","""-S""",32.0,,43612412,1520552132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-03-08 23:35:41.510900,111552,3.0
2018-03-08 23:35:46.852215,slurm_normal,1520552166.0,0,7680.0,1.0,main_w4_handler0,3404417,18665414,False,,15341,gtf,0,gtf,12761412,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34309696}]","[{'src': 'hda', 'id': 34309706}]","""1e-09""","""-A""","""-s""",32.0,,43612412,1520552162.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-03-08 23:36:09.463632,111552,4.0
2018-02-23 08:14:07.625862,slurm_normal,1519373662.0,0,7680.0,1.0,main_w4_handler1,3423314,18494124,False,,282845,bed,87679,bed,12589355,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 33953996}]","[{'src': 'hda', 'id': 33954022}]","""1e-09""","""""","""""",32.0,,44003256,1519373658.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-23 08:14:24.217978,6342,4.0
2018-02-23 11:26:10.173140,slurm_normal,1519385183.0,0,7680.0,1.0,main_w3_handler0,3430280,18495382,False,,556000,bed,998226,bed,12590970,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33929571}]","[{'src': 'hda', 'id': 34030528}]","""1e-09""","""""","""""",32.0,,43937359,1519385178.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-23 11:26:24.867334,122044,5.0
2018-02-23 11:35:25.870198,slurm_normal,1519385739.0,0,7680.0,1.0,main_w4_handler1,3430280,18495432,False,,556000,bed,998226,bed,12591009,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33929571}]","[{'src': 'hda', 'id': 34030528}]","""1e-09""","""-N""","""""",32.0,,43937359,1519385734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-23 11:35:41.067801,122044,5.0
2018-02-23 11:35:18.811031,slurm_normal,1519385732.0,0,7680.0,1.0,main_w4_handler0,3430280,18495431,False,,556000,bed,998226,bed,12591008,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33929571}]","[{'src': 'hda', 'id': 34030528}]","""1e-09""","""-A""","""""",32.0,,43937359,1519385728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-23 11:35:33.878700,122044,4.0
2018-02-23 12:42:05.128570,slurm_normal,1519389736.0,0,7680.0,1.0,main_w4_handler0,3430280,18495836,False,,192642,bed,998226,bed,12591425,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34031589}]","[{'src': 'hda', 'id': 34030528}]","""1e-09""","""""","""""",32.0,,43937359,1519389731.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-23 12:42:18.070109,122044,5.0
2018-02-25 02:54:31.973637,slurm_normal,1519527282.0,0,7680.0,1.0,main_w4_handler0,3439787,18509758,False,,0,bed,0,bed,12605985,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/eschColi_K12.len""","""eschColi_K12""","[{'src': 'hda', 'id': 34052360}]","[{'src': 'hda', 'id': 34052360}]","""1e-09""","""""","""""",32.0,,44086010,1519527279.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-25 02:54:43.989939,122563,3.0
2018-02-25 21:42:30.820331,slurm_normal,1519594965.0,0,7680.0,1.0,main_w3_handler1,3435386,18515407,False,,298,bed,298,bed,12611507,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 34036266}]","[{'src': 'hda', 'id': 34036266}]","""1e-09""","""""","""""",32.0,,43875754,1519594961.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-25 21:42:45.968529,121850,4.0
2018-02-25 21:44:26.231673,slurm_normal,1519595078.0,0,7680.0,1.0,main_w3_handler1,3435386,18515413,False,,268118,bed,8694,bed,12611517,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 34004431}]","[{'src': 'hda', 'id': 33950212}]","""1e-09""","""""","""""",32.0,,43875754,1519595075.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-25 21:44:39.475163,121850,3.0
2018-02-26 17:27:14.523658,slurm_normal,1519666049.0,0,7680.0,1.0,main_w3_handler0,3181974,18524729,False,,583032,bed,94103,bed,12620700,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/rn5.len""","""rn5""","[{'src': 'hda', 'id': 34075864}]","[{'src': 'hda', 'id': 34075792}]","""1e-09""","""-N""","""""",32.0,,43878176,1519666044.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-26 17:27:30.246484,106420,5.0
2018-02-26 17:25:03.596941,slurm_normal,1519665916.0,0,7680.0,1.0,main_w3_handler1,3181974,18524714,False,,723367,bed,352630,bed,12620685,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/rn5.len""","""rn5""","[{'src': 'hda', 'id': 30295745}]","[{'src': 'hda', 'id': 33820643}]","""1e-09""","""-N""","""""",32.0,,43878176,1519665911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-26 17:25:17.422372,106420,5.0
2018-02-27 02:33:18.089574,slurm_normal,1519698922.0,0,7680.0,1.0,main_w3_handler0,3443717,18530600,False,,6574025,bed,3007557,bed,12626945,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34085659}]","[{'src': 'hda', 'id': 34085645}]","""1e-09""","""""","""""",32.0,,44184266,1519698913.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-27 02:35:24.263588,122872,9.0
2018-02-27 02:33:17.425684,slurm_normal,1519698929.0,0,7680.0,1.0,main_w4_handler1,3443717,18530599,False,,5285129,bed,5073262,bed,12626946,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34085652}]","[{'src': 'hda', 'id': 34085637}]","""1e-09""","""""","""""",32.0,,44184266,1519698919.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-27 02:35:30.688960,122872,10.0
2018-02-27 17:01:16.715162,slurm_normal,1519750909.0,0,7680.0,1.0,main_w3_handler0,3443951,18537876,False,,10378932,bed,23051323,bed,12634353,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34099828}]","[{'src': 'hda', 'id': 34099827}]","""1e-09""","""""","""-s""",32.0,,44184266,1519750890.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-27 17:01:51.410203,122872,19.0
2018-02-27 16:59:34.574202,slurm_normal,1519750843.0,0,7680.0,1.0,main_w4_handler1,3443951,18537849,False,,23051323,bed,10378932,bed,12634325,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34099827}]","[{'src': 'hda', 'id': 34099828}]","""1e-09""","""""","""-s""",32.0,,44184266,1519750824.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-27 17:00:44.828430,122872,19.0
2018-02-27 22:00:12.718746,slurm_normal,1519768859.0,0,7680.0,1.0,main_w4_handler1,3382556,18541099,False,,116969778,bed,10568835,bed,12637386,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34104877}]","[{'src': 'hda', 'id': 34104840}]","""1e-09""","""-A""","""""",32.0,,43231806,1519768844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-27 22:01:02.078332,62828,15.0
2018-02-28 05:39:11.507645,slurm_normal,1519796492.0,0,7680.0,1.0,main_w3_handler1,3445458,18544147,False,,4343354,bed,41158739,bed,12640687,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34105947}]","[{'src': 'hda', 'id': 34105948}]","""1e-09""","""""","""""",32.0,,44184266,1519796357.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-28 05:41:35.201801,122872,135.0
2018-02-28 05:38:57.515377,slurm_normal,1519796462.0,0,7680.0,1.0,main_w4_handler1,3445458,18544145,False,,41158739,bed,4343354,bed,12640686,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34105948}]","[{'src': 'hda', 'id': 34105947}]","""1e-09""","""""","""""",32.0,,44184266,1519796344.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_subtractbed/2.27.0.0,2.27.0.0,,2018-02-28 05:41:04.955810,122872,118.0
