chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_file,parameters.input_file.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-22 22:17:42.820873,rodeo_normal,1427062700.0,0,1.0,main_w2_handler1,2245435,9009298,False,,9287,bam,3280165.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18953534,,32.0,,21956113.0,1427062696.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-22 22:18:25.139014,,4.0
,,2015-07-27 10:35:58.438641,slurm_normal,1437993378.0,0,1.0,main_w1_handler0,2370391,10005032,False,,30982444,bam,4287410.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20398281,,32.0,,23562464.0,1437993373.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-07-27 10:36:20.780514,,5.0
,,2015-07-27 10:35:59.262710,slurm_normal,1437993391.0,0,1.0,main_w1_handler0,2370391,10005033,False,,28786268,bam,4287411.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20398289,,32.0,,23562464.0,1437993385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-07-27 10:36:33.445068,,6.0
,,2015-03-23 13:28:28.297524,rodeo_normal,1427117328.0,0,1.0,main_w1_handler1,2121927,9013435,False,,7454891,bam,3289095.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",18933926,,32.0,,21967390.0,1427117324.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-23 13:28:51.292641,14331.0,4.0
,,2015-07-27 10:36:17.363370,slurm_normal,1437993425.0,0,1.0,main_w2_handler1,2370391,10005051,False,,32787057,bam,4287415.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20398439,,32.0,,23562464.0,1437993421.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-07-27 10:37:07.136565,,4.0
,,2015-03-23 22:39:46.887732,rodeo_normal,1427150402.0,0,1.0,main_w2_handler0,2237018,9019188,False,,358090720,bam,3300272.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18967540,,32.0,,21790506.0,1427150397.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-23 22:40:07.764290,,5.0
,,2015-03-23 23:16:25.084314,rodeo_normal,1427152652.0,0,1.0,main_w2_handler1,2237018,9019312,False,,212053739,bam,3300517.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18967825,,32.0,,21790506.0,1427152597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-23 23:17:34.546956,,55.0
,,2015-03-24 03:15:02.213739,rodeo_normal,1427166918.0,0,1.0,main_w2_handler0,2246483,9020492,False,,1865283,bam,3302687.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18967898,,32.0,,21182977.0,1427166913.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-24 03:15:20.721166,38914.0,5.0
,,2015-07-27 10:35:57.854615,slurm_normal,1437993550.0,0,1.0,main_w1_handler1,2370391,10005031,False,,30547288,bam,4287435.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20398277,,32.0,,23562464.0,1437993546.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-07-27 10:39:14.631151,,4.0
,,2015-03-19 10:44:57.100949,rodeo_normal,1426761917.0,0,1.0,main_w2_handler0,2240930,8986778,False,,192848197,bam,3238440.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18912398,,32.0,,21897324.0,1426761914.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-19 10:45:19.332725,61078.0,3.0
,,2015-03-27 14:57:28.378741,rodeo_normal,1427483159.0,0,1.0,main_w1_handler0,2251365,9061490,False,,14527,bam,3351643.roundup,slurm,,132112168.0,corral-repl,,"""922d2f92d49111e4b3e0005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19028752,,32.0,,21438488.0,1427483155.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 19:06:03.236512,53939.0,4.0
,,2015-03-24 20:22:05.322379,rodeo_normal,1427228828.0,0,1.0,main_w2_handler0,2227574,9027830,False,,95921132,bam,3312738.roundup,slurm,,132112168.0,corral-repl,,"""6d8e3788d26311e481de005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18980087,,32.0,,21438488.0,1427228800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-24 20:27:13.490835,53939.0,28.0
,,2015-03-27 15:03:24.495485,rodeo_normal,1427495965.0,0,1.0,main_w2_handler0,2251650,9062688,False,,12715,bam,3356196.roundup,slurm,,132112168.0,corral-repl,,"""67f4afa6d49211e4af6f005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19030530,,32.0,,21438488.0,1427495962.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0,1.56.0,,2015-03-27 22:39:28.772833,53939.0,3.0
