chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.ignore,parameters.ignore_warnings,parameters.inputFile,parameters.inputFile.values,parameters.is_bisulfite_sequenced,parameters.max_output,parameters.mode,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.validate_index,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-06 16:51:44.101181,slurm_normal_16gb,1430931283.0,1,1.0,main_w2_handler1,2294333,9413032,False,,209834989,bam,3743195.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"""False""",19604950,,"""False""","""100""","""VERBOSE""",0,hg_g1k_v37,cached,"""True""",32.0,,,,14311861,1430931135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-06 16:54:46.546871,26416.0,148.0
,,2015-04-07 18:35:55.534210,slurm_normal_64gb,1428442162.0,1,1.0,main_w1_handler1,2254489,9161994,False,,40552,sam,3443897,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""False""",19178737,,"""False""","""1000""","""VERBOSE""",1,19178739,history,"""True""",32.0,5661920.0,fasta,,22125222,1428442158.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-04-07 21:29:25.167064,,4.0
,,2015-04-13 08:54:23.379695,slurm_normal_16gb,1428915334.0,1,1.0,main_w1_handler1,2248308,9214141,False,,716989929,bam,3496098.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""False""",19262291,,"""False""","""100""","""VERBOSE""",1,18988135,history,"""True""",32.0,230256682.0,fasta,,22291469,1428915282.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-04-13 08:55:39.673305,46444.0,52.0
,,2015-04-16 00:11:33.771181,slurm_normal_16gb,1429143195.0,0,1.0,main_w2_handler1,2264596,9241873,False,,1452057,bam,3523377.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"""False""",19304128,,"""False""","""100""","""VERBOSE""",1,19304126,history,"""True""",32.0,822.0,fasta,,22348088,1429143122.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-04-16 00:13:22.191606,62134.0,73.0
,,2015-04-22 13:40:38.899437,slurm_normal_16gb,1429710075.0,1,1.0,main_w2_handler0,2217144,9299766,False,,13031118764,sam,3616601.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",,"""False""",19397469,,"""False""","""100""","""VERBOSE""",0,galGal4,cached,"""True""",32.0,,,,22590828,1429710068.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-04-22 13:41:18.274042,59767.0,7.0
,,2015-05-12 09:55:58.909280,slurm_normal_16gb,1431424601.0,1,1.0,main_w1_handler0,2269385,9452031,False,,3223330790,bam,3777360.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"""False""",19674321,,"""False""","""1000""","""VERBOSE""",0,mm9,cached,"""False""",32.0,,,,22111516,1431424597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-12 09:56:45.483098,56144.0,4.0
,,2015-05-12 09:55:59.648740,slurm_normal_16gb,1431424603.0,1,1.0,main_w2_handler1,2269385,9452032,False,,3473240163,bam,3777362.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"""False""",19674348,,"""False""","""1000""","""VERBOSE""",0,mm9,cached,"""False""",32.0,,,,22111516,1431424597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-12 09:56:46.435029,56144.0,6.0
,,2015-05-12 09:56:00.285463,slurm_normal_16gb,1431424622.0,1,1.0,main_w1_handler0,2269385,9452033,False,,2783302836,bam,3777370.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"""False""",19674380,,"""False""","""1000""","""VERBOSE""",0,mm9,cached,"""False""",32.0,,,,22111516,1431424618.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-12 09:57:03.847150,56144.0,4.0
,,2015-05-12 10:02:29.237229,slurm_normal_16gb,1431425068.0,1,1.0,main_w2_handler0,2269385,9452060,False,,3473240163,bam,3777402.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[""INVALID_TAG_NM"", ""RECORD_MISSING_READ_GROUP""]","""False""",19674348,,"""False""","""1000""","""VERBOSE""",0,mm9,cached,"""False""",32.0,,,,22111516,1431425048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-12 10:04:31.046215,56144.0,20.0
,,2015-05-12 10:02:29.955983,slurm_normal_16gb,1431425031.0,1,1.0,main_w1_handler0,2269385,9452061,False,,2783302836,bam,3777399.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[""INVALID_TAG_NM"", ""RECORD_MISSING_READ_GROUP""]","""False""",19674380,,"""False""","""1000""","""VERBOSE""",0,mm9,cached,"""False""",32.0,,,,22111516,1431425006.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ValidateSamFile/1.126.0,1.126.0,,2015-05-12 10:03:53.689465,56144.0,25.0
