create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-07 18:44:00.979754,slurm_normal_16gb,1473273869.0,0,1.0,main_w3_handler1,2813328,13800542,False,,217,bed,8020953.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bacacc5478493842'}]",0,ce10,cached,32.0,,,,32719668,1473273862.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BedToIntervalList/1.136.0,1.136.0,,2016-09-07 18:44:33.263112,67913.0,7.0
2016-03-11 05:49:04.906962,slurm_normal_16gb,1457675374.0,0,1.0,main_w2_handler0,2628456,12103009,False,,9032441,bed,6327133.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23777876,,0,hg38,cached,32.0,,,,28915497,1457675368.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BedToIntervalList/1.136.0,1.136.0,,2016-03-11 05:49:38.401195,80038.0,6.0
2016-09-08 20:54:44.289338,slurm_normal_16gb,1473368130.0,0,1.0,main_w4_handler0,2812304,13811138,False,,1355810,bed,8032113.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b539ce1a4116304a4c'}]",0,hg19,cached,32.0,,,,32719265,1473368100.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BedToIntervalList/1.136.0,1.136.0,,2016-09-08 20:55:33.277306,56032.0,30.0
2016-09-08 20:15:30.131394,slurm_normal_16gb,1473365746.0,0,1.0,main_w3_handler0,2812304,13810755,False,,67078,bed,8031760.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51c534e6db6e17498'}]",0,hg38,cached,32.0,,,,32719265,1473365741.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BedToIntervalList/1.136.0,1.136.0,,2016-09-08 20:15:49.774304,56032.0,5.0
2016-02-24 13:18:59.879988,slurm_normal_16gb,1456320116.0,0,1.0,main_w2_handler0,2593537,11928783,False,,135231857,bed,6157324.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23461358,,1,23290461,history,32.0,835714844.0,fasta,,26689588,1456319991.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BedToIntervalList/1.136.0,1.136.0,,2016-02-24 13:22:01.798986,60032.0,125.0
2016-02-25 22:56:55.123149,slurm_normal_16gb,1456441098.0,0,1.0,main_w1_handler1,2610496,11946057,False,,39,bed,6176481.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23500944,,1,23482561,history,32.0,233307737.0,fasta,,28577282,1456441071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BedToIntervalList/1.136.0,1.136.0,,2016-02-25 22:58:21.983160,79119.0,27.0
2016-06-21 11:16:03.748615,slurm_normal_16gb,1466507776.0,0,1.0,main_w1_handler1,2745612,13223429,False,,1670,bed,7407837.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b526c3837a572c3281'}]",0,hg19,cached,32.0,,,,30987540,1466507771.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BedToIntervalList/1.136.0,1.136.0,,2016-06-21 11:16:18.235714,,5.0
2016-06-21 11:16:04.102952,slurm_normal_16gb,1466507832.0,0,1.0,main_w1_handler1,2745612,13223430,False,,1654,bed,7407848.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b520d9ddfd9e4638f7'}]",0,hg19,cached,32.0,,,,30987540,1466507803.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BedToIntervalList/1.136.0,1.136.0,,2016-06-21 11:17:13.896830,,29.0
2016-06-21 11:16:05.841695,slurm_normal_16gb,1466507911.0,0,1.0,main_w1_handler1,2745612,13223435,False,,310,bed,7407865.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b528934336214d36d6'}]",0,hg19,cached,32.0,,,,30987540,1466507905.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BedToIntervalList/1.136.0,1.136.0,,2016-06-21 11:18:35.001144,,6.0
2016-06-21 11:16:00.173389,slurm_normal_16gb,1466507785.0,0,1.0,main_w2_handler1,2745612,13223419,False,,1318,bed,7407839.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c249bc6d690f50a'}]",0,hg19,cached,32.0,,,,30987540,1466507774.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BedToIntervalList/1.136.0,1.136.0,,2016-06-21 11:16:26.961311,,11.0
