chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,ffastq,ffastq_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,oligos,oligos_filetype,param_filename,parameters.align,parameters.chromInfo,parameters.dbkey,parameters.ffastq.values,parameters.ffastq|__identifier__,parameters.gapextend,parameters.gapopen,parameters.match,parameters.mismatch,parameters.oligo.__current_case__,parameters.oligo.add,parameters.rfastq.values,parameters.rfastq|__identifier__,processor_count,rfastq,rfastq_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-04-26 19:59:54.756756,slurm_normal,1493236811.0,0,67960779,fastq,1.0,main_w3_handler1,2996819,15684504,False,,9798515.roundup,slurm,,132112168.0,corral-repl,,,,"""gotoh""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29369397}]",,"""-1""","""-2""","""1""","""-1""",0.0,no,"[{'src': 'hda', 'id': 29369398}]",,32.0,67928249,fastq,,36061236,1493236804.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_make_contigs/1.27.0,1.27.0,,2017-04-26 20:00:14.454872,,7.0
,,2017-06-08 07:59:11.405022,slurm_normal,1496908770.0,0,1790285658,fastq,1.0,main_w4_handler0,3140316,16049762,False,,10139730.roundup,slurm,,132112168.0,corral-repl,,,,"""needleman""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29890367}]",,"""-1""","""-2""","""1""","""-1""",0.0,no,"[{'src': 'hda', 'id': 29891098}]",,32.0,1796352528,fastq,,38442664,1496908764.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_make_contigs/1.27.0,1.27.0,,2017-06-08 07:59:31.783794,107127.0,6.0
,,2017-06-08 07:54:01.568296,slurm_normal,1496908465.0,0,1790285658,fastq,1.0,main_w3_handler0,3140316,16049720,False,,10139690.roundup,slurm,,132112168.0,corral-repl,,,,"""gotoh""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29890367}]",,"""-1""","""-2""","""1""","""-1""",0.0,no,"[{'src': 'hda', 'id': 29891098}]",,32.0,1796352528,fastq,,38442664,1496908460.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_make_contigs/1.27.0,1.27.0,,2017-06-08 07:54:27.758369,107127.0,5.0
,,2017-04-28 23:29:54.077637,slurm_normal,1493422205.0,0,4375560,fastq,1.0,main_w4_handler1,3091273,15705011,False,,9817655.roundup,slurm,,132112168.0,corral-repl,,,,"""gotoh""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29402590}]",,"""-1""","""-2""","""1""","""-1""",0.0,no,"[{'src': 'hda', 'id': 29402592}]",,32.0,4370800,fastq,,37031340,1493422200.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_make_contigs/1.27.0,1.27.0,,2017-04-28 23:30:08.713919,72877.0,5.0
,,2017-05-01 15:54:54.270734,slurm_normal,1493654107.0,0,310824355,fastq,1.0,main_w3_handler0,3093574,15716126,False,,9827302.roundup,slurm,,132112168.0,corral-repl,,,,"""gotoh""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29418705}]",,"""-1""","""-2""","""1""","""-1""",0.0,no,"[{'src': 'hda', 'id': 29418704}]",,32.0,189435364,fastq,,37686114,1493654102.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_make_contigs/1.27.0,1.27.0,,2017-05-01 15:55:09.640980,31855.0,5.0
,,2017-05-02 06:57:06.049281,slurm_normal,1493708235.0,0,2682565,fastq,1.0,main_w4_handler1,3094169,15722074,False,,9833090.roundup,slurm,,132112168.0,corral-repl,,,,"""gotoh""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29426592}]",,"""-1""","""-2""","""1""","""-1""",,,"[{'src': 'hda', 'id': 29426593}]",,32.0,2679931,fastq,,37699099,1493708231.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_make_contigs/1.27.0,1.27.0,,2017-05-02 06:57:18.159152,104978.0,4.0
,,2017-05-02 05:52:38.645514,slurm_normal,1493704373.0,0,11016599,fastq,1.0,main_w3_handler0,3094169,15721720,False,,9832733.roundup,slurm,,132112168.0,corral-repl,,,,"""gotoh""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29426542}]",,"""-1""","""-2""","""1""","""-1""",0.0,no,"[{'src': 'hda', 'id': 29426543}]",,32.0,11003081,fastq,,37699099,1493704364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_make_contigs/1.27.0,1.27.0,,2017-05-02 05:52:54.728106,104978.0,9.0
,,2017-05-02 05:52:12.700283,slurm_normal,1493704340.0,0,3295299,fastq,1.0,main_w4_handler0,3094169,15721718,False,,9832731.roundup,slurm,,132112168.0,corral-repl,,,,"""gotoh""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29426540}]",,"""-1""","""-2""","""1""","""-1""",0.0,no,"[{'src': 'hda', 'id': 29426541}]",,32.0,3292547,fastq,,37699099,1493704335.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_make_contigs/1.27.0,1.27.0,,2017-05-02 05:52:23.217697,104978.0,5.0
,,2017-05-02 06:06:13.712950,slurm_normal,1493705201.0,0,3340982,fastq,1.0,main_w4_handler0,3094169,15721833,False,,9832847.roundup,slurm,,132112168.0,corral-repl,,,,"""gotoh""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29426563}]",,"""-1""","""-2""","""1""","""-1""",0.0,no,"[{'src': 'hda', 'id': 29426561}]",,32.0,3345300,fastq,,37699099,1493705196.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_make_contigs/1.27.0,1.27.0,,2017-05-02 06:06:42.735551,104978.0,5.0
,,2017-05-02 05:50:12.261748,slurm_normal,1493704220.0,0,4375560,fastq,1.0,main_w3_handler0,3094169,15721711,False,,9832725.roundup,slurm,,132112168.0,corral-repl,,,,"""gotoh""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29426538}]",,"""-1""","""-2""","""1""","""-1""",0.0,no,"[{'src': 'hda', 'id': 29426539}]",,32.0,4370800,fastq,,37699099,1493704216.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_make_contigs/1.27.0,1.27.0,,2017-05-02 05:50:23.835866,104978.0,4.0
