create_time,destination_id,end_epoch,exit_code,file,file_filetype,file_list,file_list_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-13 17:06:00.576364,slurm_normal,1476378563.0,0,,,,,1.0,main_w3_handler1,2850897,14075040,False,,8291929.roundup,slurm,,132112168.0,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR332194,,,accession_number,"""fastqsanger""",32.0,,33607135,1476378508.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.6.2,2.6.2,,2016-10-13 17:09:26.518096,92028.0,55.0
2016-10-13 22:01:01.310896,slurm_normal,1476396235.0,3,,,,,1.0,main_w3_handler1,2849242,14077229,False,,8293978.roundup,slurm,,132112168.0,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SSR647673,,,accession_number,"""fastqsanger""",32.0,,33668455,1476396168.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.6.2,2.6.2,,2016-10-13 22:03:58.718116,91068.0,67.0
2016-10-13 22:27:13.506243,slurm_normal,1476399483.0,0,,,,,1.0,main_w3_handler1,2849242,14077397,False,,8294140.roundup,slurm,,132112168.0,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR647673,,,accession_number,"""fastqsanger""",32.0,,33668455,1476397720.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.6.2,2.6.2,,2016-10-13 22:58:06.969257,91068.0,1763.0
2016-10-13 23:29:09.989901,slurm_normal,1476402751.0,0,,,,,1.0,main_w4_handler1,2849242,14077604,False,,8294378.roundup,slurm,,132112168.0,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR647675,,,accession_number,"""fastqsanger""",32.0,,33668455,1476401408.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.6.2,2.6.2,,2016-10-13 23:52:36.225546,91068.0,1343.0
2016-10-13 23:29:00.845470,slurm_normal,1476403257.0,0,,,,,1.0,main_w4_handler0,2849242,14077603,False,,8294377.roundup,slurm,,132112168.0,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR647674,,,accession_number,"""fastqsanger""",32.0,,33668455,1476401403.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.6.2,2.6.2,,2016-10-14 00:00:59.865687,91068.0,1854.0
2016-10-14 04:56:22.857491,slurm_normal,1476421055.0,3,,,,,1.0,main_w4_handler0,2827236,14079323,False,,8295934.roundup,slurm,,132112168.0,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRX1135835,,,accession_number,"""fastqsanger""",32.0,,33066340,1476421045.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.6.2,2.6.2,,2016-10-14 04:57:37.679950,90673.0,10.0
2016-10-14 05:23:16.386679,slurm_normal,1476422714.0,3,,,,,1.0,main_w4_handler0,2836388,14079378,False,,8295968.roundup,slurm,,132112168.0,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ERR588454,,,accession_number,"""fastqsanger""",32.0,,33674748,1476422707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.6.2,2.6.2,,2016-10-14 05:25:17.460618,79608.0,7.0
2016-10-14 06:18:07.655801,slurm_normal,1476425969.0,3,,,,,1.0,main_w3_handler0,2854467,14079611,False,,8296178.roundup,slurm,,132112168.0,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRX835150,,,accession_number,"""fastqsanger""",32.0,,33675274,1476425964.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.6.2,2.6.2,,2016-10-14 06:19:31.877987,90840.0,5.0
2016-10-14 06:21:36.460137,slurm_normal,1476426156.0,3,,,,,1.0,main_w4_handler1,2843585,14079630,False,,8296195.roundup,slurm,,132112168.0,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRX835150,,,accession_number,"""fastqsanger""",32.0,,33473460,1476426150.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.6.2,2.6.2,,2016-10-14 06:22:38.517535,,6.0
2016-10-14 06:23:04.975647,slurm_normal,1476426235.0,3,,,,,1.0,main_w4_handler1,2854467,14079635,False,,8296199.roundup,slurm,,132112168.0,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRX835150,,,accession_number,"""fastqsanger""",32.0,,33675274,1476426231.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.6.2,2.6.2,,2016-10-14 06:23:56.123019,90840.0,4.0
