chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.b,parameters.addition.l,parameters.addition.r,parameters.chromInfo,parameters.dbkey,parameters.genome,parameters.genome.values,parameters.header,parameters.inputA,parameters.inputA.values,parameters.pct,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-03-10 03:00:53.060628,slurm_normal,1457580257.0,0,1.0,584,gg,main_w2_handler0,2628168,12091891,False,,37498990,bed,6316509.roundup,slurm,,132112168.0,corral-repl,,"""4a105bbae66c11e58a96005056a51846""",1,lr,,0,164,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23645782,,"""False""",23772706,,"""False""","""True""",32.0,,28312470.0,1457580248.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-03-10 03:24:19.947962,78461.0,9.0
,,2016-03-10 03:00:45.968843,slurm_normal,1457580615.0,0,1.0,584,gg,main_w1_handler0,2628167,12091880,False,,19971338,bed,6316552.roundup,slurm,,132112168.0,corral-repl,,"""46560358e66c11e58a96005056a51846""",1,lr,,0,164,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23645782,,"""False""",23772692,,"""False""","""True""",32.0,,28312470.0,1457580512.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-03-10 03:30:19.167352,78461.0,103.0
,,2016-06-17 03:30:07.754412,slurm_normal,1466134304.0,0,1.0,3095694468,tabular,main_w2_handler0,2517665,13189843,False,,919464,bed,7374580.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,10,10,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b568922cfa8971af85'}]","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51faf397338d6e823'}]","""false""","""false""",32.0,,30775383.0,1466134221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-06-17 03:31:46.224069,74111.0,83.0
,,2016-03-10 02:43:59.297674,slurm_normal,1457579841.0,0,1.0,584,gg,main_w2_handler0,2628127,12091713,False,,19971338,bed,6316460.roundup,slurm,,132112168.0,corral-repl,,"""ebbc9580e66911e5b9a3005056a51846""",1,lr,,0,164,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23772224,,"""False""",23772459,,"""False""","""True""",32.0,,28312470.0,1457579832.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-03-10 03:17:25.894034,78461.0,9.0
,,2016-03-10 02:47:03.829730,slurm_normal,1457580279.0,0,1.0,584,gg,main_w2_handler0,2628138,12091831,False,,19971338,bed,6316513.roundup,slurm,,132112168.0,corral-repl,,"""5ba84bfae66a11e5a86e005056a51846""",1,lr,,0,164,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23772224,,"""False""",23772602,,"""False""","""True""",32.0,,28312470.0,1457580269.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-03-10 03:24:41.442111,78461.0,10.0
,,2016-03-10 02:46:32.451882,slurm_normal,1457580368.0,0,1.0,584,gg,main_w1_handler2,2628134,12091798,False,,62840242,bed,6316527.roundup,slurm,,132112168.0,corral-repl,,"""45bff428e66a11e5a86e005056a51846""",1,lr,,0,164,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23772224,,"""False""",23772560,,"""False""","""True""",32.0,,28312470.0,1457580356.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-03-10 03:26:11.350201,78461.0,12.0
,,2016-03-10 02:46:57.221609,slurm_normal,1457580390.0,0,1.0,584,gg,main_w1_handler0,2628137,12091820,False,,38051320,bed,6316530.roundup,slurm,,132112168.0,corral-repl,,"""56143e38e66a11e5a86e005056a51846""",1,lr,,0,164,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23772224,,"""False""",23772588,,"""False""","""True""",32.0,,28312470.0,1457580379.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-03-10 03:26:32.857909,78461.0,11.0
,,2016-03-10 02:46:20.405118,slurm_normal,1457580483.0,0,1.0,584,gg,main_w2_handler1,2628133,12091776,False,,78828799,bed,6316547.roundup,slurm,,132112168.0,corral-repl,,"""3f0b172ae66a11e5a86e005056a51846""",1,lr,,0,164,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23772224,,"""False""",23772534,,"""False""","""True""",32.0,,28312470.0,1457580462.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-03-10 03:28:06.276789,78461.0,21.0
,,2016-03-10 03:09:59.988221,slurm_normal,1457580703.0,0,1.0,584,gg,main_w2_handler0,2628171,12091929,False,,38051320,bed,6316570.roundup,slurm,,132112168.0,corral-repl,,"""9017c552e66d11e5bb13005056a52a46""",1,lr,,0,164,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",23645782,,"""False""",23772762,,"""False""","""True""",32.0,,28312470.0,1457580690.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-03-10 03:31:47.050327,78461.0,13.0
,,2016-01-30 17:38:49.401057,slurm_normal,1454175545.0,0,1.0,143757952,tabular,main_w2_handler0,2582008,11638790,False,,65430,bed,5902274.roundup,slurm,,132112168.0,corral-repl,,,0,b,50,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23092896,,"""False""",23090524,,"""False""","""False""",32.0,,27950209.0,1454175540.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.22.0,2.22.0,,2016-01-30 17:39:11.196447,69742.0,5.0
