create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.column_n,parameters.dbkey,parameters.input,parameters.input.values,parameters.period,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-01-05 13:18:23.455821,slurm_normal,1483622347.0,0,1.0,main_w4_handler0,2946802,14695602,False,,154459700,fastq,8865377.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""0""","""?""",,"[{'src': 'hda', 'id': 27820143}]","""1""",32.0,,35198509,1483622309.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0,1.0.0,,2017-01-05 13:19:18.853961,97658.0,38.0
2016-12-27 15:47:54.713081,slurm_normal,1482853683.0,0,1.0,main_w3_handler1,2938855,14652391,False,,54694,txt,8826285.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""0""","""?""",,"[{'src': 'hda', 'id': 27752674}]","""1""",32.0,,35084590,1482853677.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0,1.0.0,,2016-12-27 15:48:04.592100,97378.0,6.0
2017-01-05 21:48:29.002868,slurm_normal,1483652920.0,0,1.0,main_w4_handler0,2947861,14699015,False,,7609860,fastqsanger,8869377.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""0""","""?""",,"[{'src': 'hda', 'id': 27825979}]","""4""",32.0,,35198509,1483652916.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0,1.0.0,,2017-01-05 21:48:45.620653,97658.0,4.0
2017-01-05 13:25:01.408443,slurm_normal,1483622725.0,0,1.0,main_w3_handler0,2946802,14695650,False,,154459700,fastq,8865408.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""0""","""?""",,"[{'src': 'hda', 'id': 27820143}]","""3""",32.0,,35198509,1483622706.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0,1.0.0,,2017-01-05 13:25:29.951649,97658.0,19.0
2017-01-06 08:17:57.857531,slurm_normal,1483690688.0,0,1.0,main_w4_handler1,2947861,14701573,False,,7319742,tabular,8871767.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""0""","""?""",,"[{'src': 'hda', 'id': 27830356}]","""1""",32.0,,35198509,1483690682.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0,1.0.0,,2017-01-06 08:18:11.309227,97658.0,6.0
2017-01-06 08:06:56.624914,slurm_normal,1483690027.0,0,1.0,main_w4_handler1,2947861,14701559,False,,4057824,fasta,8871752.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""0""","""?""",,"[{'src': 'hda', 'id': 27830342}]","""3""",32.0,,35198509,1483690024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0,1.0.0,,2017-01-06 08:07:09.477137,97658.0,3.0
2017-01-08 13:32:13.696420,slurm_normal,1483882348.0,0,1.0,main_w3_handler1,2944398,14712664,False,,19166421,tabular,8881663.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""0""","""?""",,"[{'src': 'hda', 'id': 27847139}]","""1""",32.0,,35259123,1483882339.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0,1.0.0,,2017-01-08 13:32:32.281873,74207.0,9.0
2017-08-28 18:17:47.572550,slurm_normal,1503944351.0,0,1.0,main_w3_handler1,3235373,16675698,False,,85880694,tabular,10747436.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""7""","""?""",,"[{'src': 'hda', 'id': 31017863}]","""3""",32.0,,40114703,1503944346.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0,1.0.0,,2017-08-28 18:19:22.662594,89782.0,5.0
2017-08-28 18:27:34.482066,slurm_normal,1503944872.0,0,1.0,main_w4_handler1,3235373,16675766,False,,470978236,tabular,10747494.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""7""","""?""",,"[{'src': 'hda', 'id': 31016603}]","""2""",32.0,,40114703,1503944864.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0,1.0.0,,2017-08-28 18:27:53.320270,89782.0,8.0
2017-12-13 11:13:24.455078,slurm_normal,1513163618.0,0,1.0,main_w3_handler0,3361297,17795707,False,,12204057,sdf,11864988,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""0""","""?""",,"[{'src': 'hda', 'id': 32897152}]","""4""",32.0,,42631885,1513163614.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0,1.0.0,,2017-12-13 11:13:40.689635,118394.0,4.0
