chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.settings.__current_case__,parameters.settings.blockSize,parameters.settings.itemsPerSlot,parameters.settings.settingsType,parameters.settings.unc,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-01-04 23:25:12.864476,rodeo_normal,1420413932.0,0.0,,1.0,main_w2_handler1,2149693,8497628,False,,747053,bed,689329.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18126427,,,0,,,preset,,2.0,,20292634.0,1420413927.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-04 23:25:35.529336,48070.0,5.0
,,2015-01-04 23:25:13.742681,rodeo_normal,1420413935.0,0.0,,1.0,main_w1_handler0,2149693,8497630,False,,406365,bed,2413962.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18126429,,,0,,,preset,,32.0,,20292634.0,1420413932.0,ok,1023996.0,bed_to_bigBed,1.0.0,,2015-01-04 23:25:37.326180,48070.0,3.0
,,2015-01-04 23:25:16.122389,rodeo_normal,1420413940.0,0.0,,1.0,main_w2_handler0,2149693,8497638,False,,400850,bed,2413965.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18127878,,,0,,,preset,,32.0,,20292634.0,1420413937.0,ok,1023996.0,bed_to_bigBed,1.0.0,,2015-01-04 23:25:41.433273,48070.0,3.0
,,2015-01-04 23:25:15.549567,rodeo_normal,1420413951.0,0.0,,1.0,main_w2_handler1,2149693,8497636,False,,422919,bed,689344.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18127875,,,0,,,preset,,2.0,,20292634.0,1420413947.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-04 23:25:53.720389,48070.0,4.0
,,2015-01-04 23:25:15.853446,rodeo_normal,1420413941.0,0.0,,1.0,main_w2_handler0,2149693,8497637,False,,582644,bed,689334.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18127877,,,0,,,preset,,2.0,,20292634.0,1420413936.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-04 23:25:44.366578,48070.0,5.0
,,2015-01-04 23:25:15.286366,rodeo_normal,1420413943.0,0.0,,1.0,main_w2_handler1,2149693,8497635,False,,442550,bed,2413967.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18127874,,,0,,,preset,,32.0,,20292634.0,1420413940.0,ok,1023996.0,bed_to_bigBed,1.0.0,,2015-01-04 23:25:44.378922,48070.0,3.0
,,2015-01-04 23:25:14.637658,rodeo_normal,1420413944.0,0.0,,1.0,main_w1_handler1,2149693,8497633,False,,231512,bed,689340.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18126432,,,0,,,preset,,2.0,,20292634.0,1420413939.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-04 23:25:48.103318,48070.0,5.0
,,2015-01-04 23:25:14.323702,rodeo_normal,1420413946.0,0.0,,1.0,main_w1_handler0,2149693,8497632,False,,132256,bed,689342.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18126431,,,0,,,preset,,2.0,,20292634.0,1420413942.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-04 23:25:49.828225,48070.0,4.0
,,2015-01-04 23:25:14.986368,rodeo_normal,1420413958.0,0.0,,1.0,main_w1_handler0,2149693,8497634,False,,139944,bed,689346.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18126433,,,0,,,preset,,2.0,,20292634.0,1420413954.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-04 23:26:02.010131,48070.0,4.0
,,2015-01-04 11:57:24.795799,rodeo_normal,1420372677.0,0.0,,1.0,main_w1_handler1,2149693,8496409,False,,37037,bed,687219.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18125924,,,0,,,preset,,2.0,,20292634.0,1420372673.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-04 11:58:00.334016,48070.0,4.0
,,2015-01-04 10:52:23.274808,rodeo_normal,1420368766.0,0.0,,1.0,main_w2_handler0,2149693,8496337,False,,36138,bed,687065.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18125775,,,0,,,preset,,2.0,,20292634.0,1420368762.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-04 10:52:48.346760,48070.0,4.0
,,2015-01-04 11:34:51.012348,rodeo_normal,1420371313.0,0.0,,1.0,main_w2_handler0,2149693,8496381,False,,496028,bed,687157.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18125883,,,0,,,preset,,2.0,,20292634.0,1420371308.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-04 11:35:17.469585,48070.0,5.0
,,2015-01-04 11:34:50.711401,rodeo_normal,1420371316.0,0.0,,1.0,main_w1_handler0,2149693,8496380,False,,242,bed,687159.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",18125882,,,0,,,preset,,2.0,,20292634.0,1420371311.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-04 11:35:19.789686,48070.0,5.0
,,2015-01-04 16:14:18.070211,rodeo_normal,1420388083.0,0.0,,1.0,main_w1_handler1,2149693,8496715,False,,442550,bed,2412835.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18126399,,,0,,,preset,,32.0,,20292634.0,1420388080.0,ok,1023996.0,bed_to_bigBed,1.0.0,,2015-01-04 16:14:44.788490,48070.0,3.0
,,2015-01-06 21:01:31.222855,rodeo_normal,1420578130.0,0.0,,1.0,main_w1_handler1,2149693,8506603,False,,1214761,bed,704212.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142224,,,0,,,preset,,2.0,,20292634.0,1420578127.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 21:02:13.324858,48070.0,3.0
,,2015-01-06 21:13:25.680660,rodeo_normal,1420578823.0,0.0,,1.0,main_w2_handler1,2149693,8506680,False,,38540,bed,2425145.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142302,,,0,,,preset,,32.0,,20292634.0,1420578819.0,ok,1023992.0,bed_to_bigBed,1.0.0,,2015-01-06 21:13:44.378233,48070.0,4.0
,,2015-01-06 21:13:24.842426,rodeo_normal,1420578820.0,0.0,,1.0,main_w2_handler1,2149693,8506678,False,,226,bed,704326.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142300,,,0,,,preset,,2.0,,20292634.0,1420578817.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 21:13:42.539435,48070.0,3.0
,,2015-01-06 21:02:09.383223,rodeo_normal,1420578171.0,0.0,,1.0,main_w2_handler1,2149693,8506606,False,,637613,bed,704216.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142254,,,0,,,preset,,2.0,,20292634.0,1420578168.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 21:02:54.217074,48070.0,3.0
,,2015-01-06 21:13:23.144676,rodeo_normal,1420578838.0,0.0,,1.0,main_w1_handler0,2149693,8506674,False,,11928,bed,704338.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142296,,,0,,,preset,,2.0,,20292634.0,1420578834.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 21:14:00.929275,48070.0,4.0
,,2015-01-06 21:13:22.844031,rodeo_normal,1420578827.0,0.0,,1.0,main_w1_handler0,2149693,8506673,False,,26105,bed,704331.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142294,,,0,,,preset,,2.0,,20292634.0,1420578822.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 21:13:49.399807,48070.0,5.0
,,2015-01-06 21:13:23.769787,rodeo_normal,1420578850.0,0.0,,1.0,main_w1_handler0,2149693,8506676,False,,16977,bed,2425159.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142298,,,0,,,preset,,32.0,,20292634.0,1420578847.0,ok,1023996.0,bed_to_bigBed,1.0.0,,2015-01-06 21:14:12.946634,48070.0,3.0
,,2015-01-06 21:13:26.890141,rodeo_normal,1420578846.0,0.0,,1.0,main_w2_handler0,2149693,8506683,False,,303480,bed,704341.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142306,,,0,,,preset,,2.0,,20292634.0,1420578842.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 21:14:10.679872,48070.0,4.0
,,2015-01-06 21:13:24.358546,rodeo_normal,1420578834.0,0.0,,1.0,main_w2_handler0,2149693,8506677,False,,119189,bed,2425151.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142299,,,0,,,preset,,32.0,,20292634.0,1420578831.0,ok,1023992.0,bed_to_bigBed,1.0.0,,2015-01-06 21:13:56.722452,48070.0,3.0
,,2015-01-06 21:13:25.306987,rodeo_normal,1420578828.0,0.0,,1.0,main_w1_handler1,2149693,8506679,False,,186,bed,704333.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142301,,,0,,,preset,,2.0,,20292634.0,1420578826.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 21:13:51.987868,48070.0,2.0
,,2015-01-06 21:13:26.429755,rodeo_normal,1420578842.0,0.0,,1.0,main_w2_handler1,2149693,8506682,False,,63626,bed,2425154.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142304,,,0,,,preset,,32.0,,20292634.0,1420578840.0,ok,1023992.0,bed_to_bigBed,1.0.0,,2015-01-06 21:14:04.822403,48070.0,2.0
,,2015-01-06 21:13:26.041921,rodeo_normal,1420578832.0,0.0,,1.0,main_w2_handler1,2149693,8506681,False,,237830,bed,704335.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142303,,,0,,,preset,,2.0,,20292634.0,1420578828.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 21:13:56.158054,48070.0,4.0
,,2015-01-06 21:13:23.389383,rodeo_normal,1420578822.0,0.0,,1.0,main_w2_handler0,2149693,8506675,False,,24032,bed,704329.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",18142297,,,0,,,preset,,2.0,,20292634.0,1420578819.0,ok,0.0,bed_to_bigBed,1.0.0,,2015-01-06 21:13:45.443904,48070.0,3.0
