chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.alternative,parameters.chromInfo,parameters.clean,parameters.dbkey,parameters.frame,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.out_format1,parameters.regions,parameters.table,parameters.trim,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
14.0,len,2015-02-17 18:33:23.594887,rodeo_normal,1424198013.0,0.0,,1.0,main_w2_handler0,2199463,8746128,False,,9264,fasta,2796138.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/main/files/010/350/dataset_10350897.dat""","""no""","""?""","""1""",18542234,,,"""fasta""","""""","""0""","""no""",32.0,,20610347.0,1424198011.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2015-02-17 18:33:37.281421,58680.0,2.0
,,2015-02-17 18:16:57.514630,rodeo_normal,1424197030.0,0.0,,1.0,main_w2_handler1,2201739,8745993,False,,7949,fasta,2795827.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""","""1""",18465447,,,"""fasta""","""""","""0""","""no""",32.0,,20610347.0,1424197028.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2015-02-17 18:17:11.626256,58680.0,2.0
,,2015-02-17 20:26:47.478797,rodeo_normal,1424204887.0,0.0,,1.0,main_w1_handler1,2199582,8747386,False,,490678569,fasta,2798041.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""","""6""",18490046,,,"""fasta""","""""","""0""","""no""",32.0,,21239725.0,1424204819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2015-02-17 20:28:07.785457,50804.0,68.0
,,2015-02-17 21:53:41.200524,rodeo_normal,1424210034.0,0.0,,1.0,main_w2_handler1,2209934,8748624,False,Job output deleted by user before job completed.,192871,fasta,2799083.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""","""6""",18545161,,,"""fasta""","""""","""0""","""no""",32.0,,21308534.0,1424210031.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2015-02-17 21:53:56.482340,59793.0,3.0
,,2015-02-19 10:32:13.461077,rodeo_normal,1424341951.0,0.0,,1.0,main_w2_handler1,2211761,8765214,False,,121163641,fasta,2828909.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""","""1""",18570547,,,"""fasta""","""""","""0""","""no""",32.0,,20272612.0,1424341945.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2015-02-19 10:32:33.299079,57789.0,6.0
,,2015-02-19 14:41:00.764709,rodeo_normal,1424356872.0,0.0,,1.0,main_w1_handler0,1849969,8766753,False,,3871439,fasta,2832135.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""","""1""",17422687,,,"""swiss""","""""","""0""","""no""",32.0,,21167795.0,1424356869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2015-02-19 14:41:15.038892,46326.0,3.0
,,2015-02-19 14:37:26.520725,rodeo_normal,1424356658.0,0.0,,1.0,main_w1_handler0,1849969,8766716,False,,3871439,fasta,2832098.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""","""1""",17422687,,,"""embl""","""""","""0""","""no""",32.0,,21167795.0,1424356655.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2015-02-19 14:37:41.016630,46326.0,3.0
,,2015-02-20 13:47:05.447776,rodeo_normal,1424440035.0,0.0,,1.0,main_w2_handler0,2213290,8775991,False,,2660,fasta,2849209.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""","""6""",18586178,,,"""fasta""","""""","""0""","""no""",32.0,,21356121.0,1424440033.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2015-02-20 13:47:17.892864,,2.0
,,2015-02-20 13:52:42.734360,rodeo_normal,1424440373.0,0.0,,1.0,main_w1_handler1,2213318,8776027,False,,737,fasta,2849272.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""","""6""",18586189,,,"""fasta""","""""","""0""","""no""",32.0,,21356108.0,1424440370.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2015-02-20 13:52:58.534287,,3.0
,,2015-02-20 13:46:57.568874,rodeo_normal,1424440024.0,0.0,,1.0,main_w1_handler0,2213292,8775990,False,,2660,fasta,2849207.roundup,slurm,,132112168.0,corral-repl,,,"""no""","""/galaxy-repl/localdata/chrom/?.len""","""no""","""?""","""6""",18586154,,,"""fasta""","""""","""0""","""no""",32.0,,21356185.0,1424440023.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: transeq101/5.0.0,5.0.0,,2015-02-20 13:47:06.968698,59923.0,1.0
