chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv_opts.__current_case__,parameters.adv_opts.adv_opts_selector,parameters.adv_opts.column_end,parameters.adv_opts.column_start,parameters.chromInfo,parameters.dbkey,parameters.ignore_case,parameters.infile,parameters.infile.values,parameters.is_numeric,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-05-15 18:23:57.189785,slurm_normal,1494872644.0,0,,1.0,main_w4_handler1,2408954,15841175,False,224523,bed,,9941973.roundup,slurm,,132112168.0,corral-repl,,,1,advanced,4,4,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""false""",,"[{'src': 'hda', 'id': 29607144}]","""false""",32.0,,36732463.0,1494872640.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2017-05-15 18:24:07.922226,65481.0,4.0
,,2016-10-12 12:55:20.270659,slurm_normal,1476276926.0,0,,1.0,main_w3_handler1,2842479,14063487,False,627820,bed,,8279958.roundup,slurm,,132112168.0,corral-repl,,,1,advanced,17,17,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55ce2bc980c54df14'}]","""false""",32.0,,33627907.0,1476276923.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-10-12 12:55:28.521119,29502.0,3.0
,,2016-10-12 12:04:15.356918,slurm_normal,1476273862.0,0,,1.0,main_w3_handler0,2845124,14063253,False,3281,bed,,8279812.roundup,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a25d6972ec56fcb4'}]","""false""",32.0,,33501719.0,1476273858.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-10-12 12:04:23.151827,91735.0,4.0
,,2017-03-06 02:40:33.983776,slurm_normal,1488768040.0,0,,1.0,main_w4_handler0,3017574,15215623,False,3848,tabular,,9364784.roundup,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""false""",,"[{'src': 'hda', 'id': 28631522}]","""false""",32.0,,34880832.0,1488768037.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2017-03-06 02:40:41.918189,40151.0,3.0
,,2016-09-08 10:18:42.956669,slurm_normal,1473329959.0,0,,1.0,main_w3_handler1,2813905,13804900,False,4229251,tabular,,8025478.roundup,slurm,,132112168.0,corral-repl,,,1,advanced,7,6,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e90b3422e63dfdae'}]","""true""",32.0,,32290113.0,1473329945.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-09-08 10:19:22.381356,77683.0,14.0
,,2016-09-08 08:53:15.955282,slurm_normal,1473324829.0,0,,1.0,main_w3_handler0,2813905,13804308,False,2060069,interval,,8024839.roundup,slurm,,132112168.0,corral-repl,,,1,advanced,3,2,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ee2eb06cfab0d411'}]","""true""",32.0,,32290113.0,1473324810.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-09-08 08:53:52.584397,77683.0,19.0
,,2016-04-27 17:21:41.179915,slurm_normal,1461777723.0,0,,1.0,main_w2_handler0,2686751,12650357,False,4689787,tabular,,6854322.roundup,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59b4f3a07cf20a640'}]","""false""",32.0,,29869078.0,1461777720.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-04-27 17:22:07.636500,,3.0
,,2016-09-08 10:18:43.426165,slurm_normal,1473329971.0,0,,1.0,main_w3_handler0,2813905,13804901,False,4229436,tabular,,8025477.roundup,slurm,,132112168.0,corral-repl,,,1,advanced,7,6,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d9f3910de4389cd5'}]","""true""",32.0,,32290113.0,1473329945.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-09-08 10:19:32.786708,77683.0,26.0
,,2016-04-27 15:55:04.857922,slurm_normal,1461772540.0,0,,1.0,main_w2_handler1,2612232,12648528,False,596770,tabular,,6852643.roundup,slurm,,132112168.0,corral-repl,,,1,advanced,1,1,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b578118be79c064abc'}]","""false""",32.0,,29676154.0,1461772535.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-04-27 15:55:44.213154,78487.0,5.0
,,2016-04-27 17:47:35.935661,slurm_normal,1461779294.0,0,,1.0,main_w1_handler1,2686751,12650522,False,101529886,tabular,,6854711.roundup,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56ac95a0c0ca5076f'}]","""false""",32.0,,29869078.0,1461779286.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-04-27 17:48:21.547485,,8.0
,,2016-09-08 08:34:00.156242,slurm_normal,1473323660.0,0,,1.0,main_w4_handler1,2813905,13804177,False,4229436,tabular,,8024694.roundup,slurm,,132112168.0,corral-repl,,,1,advanced,11,11,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d9f3910de4389cd5'}]","""false""",32.0,,32290113.0,1473323655.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-09-08 08:34:22.049578,77683.0,5.0
,,2016-09-08 08:33:59.609174,slurm_normal,1473323657.0,0,,1.0,main_w4_handler1,2813905,13804176,False,4229251,tabular,,8024692.roundup,slurm,,132112168.0,corral-repl,,,1,advanced,11,11,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e90b3422e63dfdae'}]","""false""",32.0,,32290113.0,1473323651.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-09-08 08:34:22.513498,77683.0,6.0
,,2016-04-27 18:04:42.666754,slurm_normal,1461780306.0,0,,1.0,main_w2_handler0,2686751,12650689,False,12846888,tabular,,6855053.roundup,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b912e5e779b3a176'}]","""false""",32.0,,29869078.0,1461780299.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-04-27 18:05:12.431089,,7.0
,,2016-09-08 08:54:38.709257,slurm_normal,1473324927.0,0,,1.0,main_w4_handler1,2813905,13804316,False,2060069,interval,,8024848.roundup,slurm,,132112168.0,corral-repl,,,1,advanced,4,4,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ee2eb06cfab0d411'}]","""false""",32.0,,32290113.0,1473324892.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-09-08 08:55:30.840653,77683.0,35.0
,,2016-09-08 10:19:13.440344,slurm_normal,1473330045.0,0,,1.0,main_w3_handler1,2813905,13804910,False,3388802,bed,,8025491.roundup,slurm,,132112168.0,corral-repl,,,1,advanced,5,4,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""SC5314_A19""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bc8cf0834649dcc8'}]","""true""",32.0,,32290113.0,1473329981.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.0.0,1.0.0,,2016-09-08 10:20:49.068238,77683.0,64.0
