bed_infile,bed_infile_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bed_infile.values,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.infile.values,parameters.winsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
1143293,bed,2017-06-08 08:14:04.548327,slurm_normal,1496909836.0,0,,1.0,main_w4_handler0,3131485,16049855,False,901954777,bam,,10139815.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 29888928}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""","[{'src': 'hda', 'id': 29846495}]","""200""",32.0,,38196891,1496909657.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-06-08 08:17:22.038785,39888.0,179.0
236896781,bed,2017-05-04 19:07:50.941214,slurm_normal,1493939333.0,0,,1.0,main_w3_handler0,3098919,15751896,False,2258526658,bed,,9860611.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 29477862}]","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""5.0""","""hg_g1k_v37""","[{'src': 'hda', 'id': 29477316}]","""200""",32.0,,37763732,1493925045.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-05-04 23:08:58.648520,104906.0,14288.0
0,bed,2017-05-24 19:30:33.646516,slurm_normal,1495655333.0,0,,1.0,main_w3_handler0,3125783,15931071,False,1972880845,bam,,10029298.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 29758033}]","""/galaxy-repl/localdata/chrom/mm9.len""","""5.0""","""mm9""","[{'src': 'hda', 'id': 29757401}]","""200""",32.0,,38195661,1495654946.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-05-24 19:48:55.828095,44428.0,387.0
0,bed,2017-07-07 20:04:16.540941,slurm_normal,1499457970.0,0,,1.0,main_w3_handler0,3168810,16286361,False,156076153,sam,,10356570.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 30324490}]","""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""?""","[{'src': 'hda', 'id': 30167248}]","""200""",32.0,,38867805,1499457961.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-07-07 20:07:55.269820,79757.0,9.0
116878197,bed,2017-07-29 10:52:03.217309,slurm_normal,1501329769.0,0,,1.0,main_w4_handler1,3206052,16454961,False,2126898,bed,,10523053.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 30669278}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""","[{'src': 'hda', 'id': 30668638}]","""200""",32.0,,39584209,1501325633.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-07-29 12:02:51.786093,,4136.0
45860,bed,2017-08-29 09:44:53.686730,slurm_normal,1503999997.0,0,,1.0,main_w4_handler1,3204408,16680854,False,439669065,bam,,10752833.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31026440}]","""/galaxy-repl/localdata/chrom/pseuAeru.len""","""5.0""","""pseuAeru""","[{'src': 'hda', 'id': 30639622}]","""500""",32.0,,40130616,1503999901.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-08-29 09:46:39.822455,102197.0,96.0
45860,bed,2017-08-29 09:44:53.895844,slurm_normal,1504000015.0,0,,1.0,main_w4_handler1,3204408,16680855,False,501779906,bam,,10752834.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31026440}]","""/galaxy-repl/localdata/chrom/pseuAeru.len""","""5.0""","""pseuAeru""","[{'src': 'hda', 'id': 30639628}]","""500""",32.0,,40130616,1503999904.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-08-29 09:46:55.674404,102197.0,111.0
0,bed,2017-09-02 05:17:19.618483,slurm_normal,1504329488.0,0,,1.0,main_w3_handler0,3237595,16715450,False,24643372,bed,,10788160.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31079605}]","""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""hg19""","[{'src': 'hda', 'id': 31079604}]","""200""",32.0,,39988831,1504329477.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-09-02 05:18:10.068942,110332.0,11.0
541309,bed,2017-10-03 18:30:04.722074,slurm_normal,1507059741.0,0,,1.0,main_w3_handler1,3270952,17013479,False,4454466671,bam,,11069249.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31542307}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 31488300}]","""200""",32.0,,40965215,1507058229.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-03 19:42:27.102806,97544.0,1512.0
541309,bed,2017-10-03 18:30:05.375423,slurm_normal,1507060185.0,0,,1.0,main_w3_handler0,3270952,17013480,False,5619241509,bam,,11069246.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 31542307}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 31488302}]","""200""",32.0,,40965215,1507058226.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_refinepeak/2.1.1.20160309.0,2.1.1.20160309.0,,2017-10-03 19:49:57.894666,97544.0,1959.0
