create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.input|__identifier__,parameters.kraken_database,parameters.mpa_format,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-02 19:11:24.808121,slurm_normal,1514920328.0,0,,1.0,main_w4_handler0,3380155,17932057,False,,434386,tabular,12008191,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33150026}]",,"""bacteria""","""false""",32.0,,42448838.0,1514920288.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.2.3,1.2.3,,2018-01-02 19:12:10.134162,113740.0,40.0
2018-01-03 22:59:01.797796,slurm_normal,1515020366.0,0,,1.0,main_w3_handler0,3381268,17940185,False,,865407,tabular,12016271,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33164171}]",,"""bacteria""","""false""",32.0,,42970018.0,1515020347.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.2.3,1.2.3,,2018-01-03 22:59:27.678250,113740.0,19.0
2018-01-03 22:58:45.386099,slurm_normal,1515020347.0,0,,1.0,main_w4_handler0,3381268,17940184,False,,685892,tabular,12016268,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33164169}]",,"""bacteria""","""false""",32.0,,42970018.0,1515020329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.2.3,1.2.3,,2018-01-03 22:59:09.738499,113740.0,18.0
2017-10-27 14:33:57.896363,slurm_normal,1509114948.0,0,,1.0,main_w3_handler1,3300941,17240478,False,,163205,tabular,11301203,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31924247}]",,"""plasmids""","""false""",32.0,,41542842.0,1509114885.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.2.3,1.2.3,,2017-10-27 14:36:00.010663,114572.0,63.0
2017-10-27 15:07:33.178015,slurm_normal,1509116937.0,0,,1.0,main_w3_handler1,3302138,17241019,False,,163205,tabular,11301750,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31925442}]",,"""plasmids""","""false""",32.0,,41564132.0,1509116893.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.2.3,1.2.3,,2017-10-27 15:09:07.803408,114653.0,44.0
2017-10-27 15:08:12.225691,slurm_normal,1509116958.0,0,,1.0,main_w3_handler1,3302266,17241036,False,,163205,tabular,11301760,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31925482}]",,"""plasmids""","""false""",32.0,,41566386.0,1509116938.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.2.3,1.2.3,,2017-10-27 15:09:25.718380,114514.0,20.0
2017-10-27 17:54:36.500578,slurm_normal,1509126927.0,0,,1.0,main_w4_handler0,3302266,17243311,False,,391557,tabular,11303418,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31928507}]",,"""plasmids""","""false""",32.0,,41566386.0,1509126888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.2.3,1.2.3,,2017-10-27 17:55:29.617735,114514.0,39.0
2017-10-30 21:52:17.519700,slurm_normal,1509400430.0,0,,1.0,main_w3_handler0,3305079,17269740,False,,488260,tabular,11329563,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31973507}]",,"""viruses""","""false""",32.0,,41626592.0,1509400364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.2.3,1.2.3,,2017-10-30 21:53:55.854716,66482.0,66.0
2017-10-30 21:43:42.154084,slurm_normal,1509399863.0,0,,1.0,main_w3_handler1,3305079,17269698,False,,10732851,tabular,11329508,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31973486}]",,"""plasmids""","""false""",32.0,,41626592.0,1509399833.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.2.3,1.2.3,,2017-10-30 21:44:26.454371,66482.0,30.0
2017-11-02 03:04:58.390348,slurm_normal,1509591946.0,0,,1.0,main_w3_handler0,3305474,17294169,False,,159289,interval,11356125,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31981625}]",,"""bacteria""","""true""",32.0,,41502438.0,1509591908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_translate/kraken-translate/1.2.3,1.2.3,,2017-11-02 03:05:47.947308,,38.0
