bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles14,bamfiles14_filetype,bamfiles15,bamfiles15_filetype,bamfiles1_filetype,bamfiles2,bamfiles2_filetype,bamfiles3,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.advancedOpt.__current_case__,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.numberOfSamples,parameters.advancedOpt.plotTitle,parameters.advancedOpt.region,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.outRawCounts,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2614771476,2614771476,,,,,,,,,,,,,bam,911133570.0,bam,,,,,,,,,,,,,,,bam,,,,,,,2016-10-12 11:41:15.393101,slurm_multi,1476272876.0,0,6.0,main_w3_handler2,2820031,14063171,False,,8279754,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55a5fa2a882fcf985'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5c2d457e5e394e2d5'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""",32.0,,32970716,1476272693.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.5.0,2.3.5.0,,2016-10-12 11:47:58.926927,55734,183.0
5011522117,5011522117,,,,,,,,,,,,,bam,4886944076.0,bam,,,,,,,,,,,,,,,bam,,,,,,,2016-10-13 07:45:58.902900,slurm_multi,1476345376.0,0,6.0,main_w3_handler2,2849073,14070686,False,,8287731,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50544163454989b44'}, {'src': 'hda', 'id': 'bbd44e69cb8906b50f48142ad5ca7b79'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""",32.0,,33504987,1476345151.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.5.0,2.3.5.0,,2016-10-13 07:56:17.983072,85530,225.0
10334485414,10334485414,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,,,,,2016-10-13 07:46:41.188705,slurm_multi,1476347608.0,0,6.0,main_w4_handler2,2849073,14070699,False,,8287837,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eff6973ff600f4fa'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""",32.0,,33504987,1476345759.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.5.0,2.3.5.0,,2016-10-13 08:33:29.919616,85530,1849.0
1660289173,1660289173,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,,,,,2016-10-13 20:45:49.288261,slurm_multi,1476393662.0,0,6.0,main_w3_handler2,2851461,14076888,False,,8293783,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52111580ec99ac85c'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""",32.0,,32341064,1476392844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.5.0,2.3.5.0,,2016-10-13 21:21:12.174762,79119,818.0
23357,23357,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,,,,,2016-10-14 17:46:49.094288,slurm_multi,1476468822.0,0,6.0,main_w3_handler2,2751121,14084175,False,,8300910,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b517745e6f17604949'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""png""","""false""",32.0,,33693273,1476468761.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.5.0,2.3.5.0,,2016-10-14 18:18:27.296647,40203,61.0
1271307681,1271307681,,,,,,,,,,,,,bam,1522653420.0,bam,738457334.0,bam,,,,,,,,,,,,,bam,,,,,,,2016-10-15 18:17:06.566739,slurm_multi,1476556040.0,0,6.0,main_w3_handler2,2818223,14089272,False,,8305783,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hdca', 'id': 'e708d98b15284d83'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""pdf""","""false""",32.0,,32983850,1476555778.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.5.0,2.3.5.0,,2016-10-15 18:27:23.031082,90069,262.0
609360725,609360725,,,,,,,,,,,,,bam,529587605.0,bam,501369417.0,bam,,,,,,,,,,,,,bam,,,,,,,2016-10-16 14:15:08.527762,slurm_multi,1476629130.0,0,6.0,main_w3_handler2,2782063,14092176,False,,8308183,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c019323dc6a4add7'}, {'src': 'hda', 'id': 'bbd44e69cb8906b553db79f1a801a1b6'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5d76b7aba42f091be'}]","""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""","""png""","""false""",32.0,,33645601,1476627534.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.5.0,2.3.5.0,,2016-10-16 14:45:33.170892,19390,1596.0
125476227,125476227,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,,,,,2016-10-17 14:39:51.381784,slurm_multi,1476716064.0,0,6.0,main_w4_handler2,2857468,14099031,False,,8314080,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b597f9f5d5c4118eb0'}]","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","""png""","""false""",32.0,,33753127,1476715624.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.5.0,2.3.5.0,,2016-10-17 14:54:26.480094,92335,440.0
126633,126633,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,,,,,2016-10-18 13:26:53.396485,slurm_multi,1476798592.0,0,6.0,main_w3_handler2,2844967,14108165,False,,8322848,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bceb1a917961d1fe'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""",32.0,,33498469,1476798566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.5.0,2.3.5.0,,2016-10-18 13:49:54.821582,91724,26.0
6723843,6723843,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,,,,,,,2016-10-18 17:29:29.706542,slurm_multi,1476812510.0,0,6.0,main_w3_handler2,2858150,14110916,False,,8325283,slurm,,132112168.0,corral-repl,,0,no,,0.0,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57ee04656503e658c'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""",32.0,,33762812,1476812477.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.3.5.0,2.3.5.0,,2016-10-18 17:42:13.250613,92365,33.0
