chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,gatk_param_type|input_interval_repeat_0|input_intervals,gatk_param_type|input_interval_repeat_0|input_intervals_filetype,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.number,parameters.platform,parameters.read_group,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.sample_file_repeat,parameters.sample_name_repeat,processor_count,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,reference_source|input_bams_1|input_bam,reference_source|input_bams_1|input_bam_filetype,reference_source|input_bams_2|input_bam,reference_source|input_bams_2|input_bam_filetype,reference_source|input_bams_3|input_bam,reference_source|input_bams_3|input_bam_filetype,runner_name,sample_file_repeat_0|input_sample_file,sample_file_repeat_0|input_sample_file_filetype,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-28 12:37:38.458631,slurm_normal,1511872748.0,0,,1.0,,,main_w4_handler0,3341071,17618327,False,,,,11679309,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32583828}]}}]",,"[{'src': 'hda', 'id': 32558363}]",history,[],[],32.0,3140756381.0,fasta,1769858.0,bam,,,,,,,,,,42302162.0,1511872664.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.2,0.0.2,,2017-11-28 12:39:09.864328,113593,84.0
,,2017-11-28 12:37:50.852030,slurm_normal,1511872787.0,0,,1.0,,,main_w4_handler1,3341071,17618332,False,,,,11679312,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32583830}]}}]",,"[{'src': 'hda', 'id': 32558363}]",history,[],[],32.0,3140756381.0,fasta,1763917.0,bam,,,,,,,,,,42302162.0,1511872674.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.2,0.0.2,,2017-11-28 12:39:48.471740,113593,113.0
,,2017-11-28 12:49:53.077252,slurm_normal,1511873480.0,0,,1.0,,,main_w3_handler1,3341066,17618435,False,,,,11679410,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32584084}]}}]",,"[{'src': 'hda', 'id': 32558166}]",history,[],[],32.0,3140756381.0,fasta,1769917.0,bam,,,,,,,,,,42302209.0,1511873401.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.2,0.0.2,,2017-11-28 12:51:26.145468,113591,79.0
,,2017-11-28 12:49:52.004290,slurm_normal,1511873493.0,0,,1.0,,,main_w4_handler0,3341066,17618434,False,,,,11679409,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32584070}]}}]",,"[{'src': 'hda', 'id': 32558166}]",history,[],[],32.0,3140756381.0,fasta,1742511.0,bam,,,,,,,,,,42302209.0,1511873402.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.2,0.0.2,,2017-11-28 12:51:34.948477,113591,91.0
,,2017-11-28 13:09:41.021550,slurm_normal,1511874671.0,0,,1.0,,,main_w3_handler0,3341075,17618750,False,,,,11679570,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32584343}]}}]",,"[{'src': 'hda', 'id': 32558407}]",history,[],[],32.0,3140756381.0,fasta,1748960.0,bam,,,,,,,,,,42297841.0,1511874586.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.2,0.0.2,,2017-11-28 13:11:14.059407,113590,85.0
,,2017-11-28 13:09:40.215692,slurm_normal,1511874673.0,0,,1.0,,,main_w4_handler1,3341075,17618749,False,,,,11679569,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32584330}]}}]",,"[{'src': 'hda', 'id': 32558407}]",history,[],[],32.0,3140756381.0,fasta,1742511.0,bam,,,,,,,,,,42297841.0,1511874586.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.2,0.0.2,,2017-11-28 13:11:14.743571,113590,87.0
,,2017-11-28 13:09:41.840778,slurm_normal,1511874676.0,0,,1.0,,,main_w3_handler0,3341075,17618751,False,,,,11679571,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32584401}]}}]",,"[{'src': 'hda', 'id': 32558407}]",history,[],[],32.0,3140756381.0,fasta,1797657.0,bam,,,,,,,,,,42297841.0,1511874590.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.2,0.0.2,,2017-11-28 13:11:20.103351,113590,86.0
,,2017-11-28 13:13:48.705679,slurm_normal,1511874932.0,0,,1.0,,,main_w3_handler1,3341063,17618779,False,,,,11679595,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32584285}]}}, {'__index__': 1, 'input_bam': {'values': [{'src': 'hda', 'id': 32584292}]}}, {'__index__': 2, 'input_bam': {'values': [{'src': 'hda', 'id': 32584287}]}}]",,"[{'src': 'hda', 'id': 32558133}]",history,[],[],32.0,3140756381.0,fasta,1594922.0,bam,1567172.0,bam,1520817.0,bam,,,,,,42297899.0,1511874838.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.2,0.0.2,,2017-11-28 13:15:35.582526,58136,94.0
,,2017-11-28 13:16:03.334537,slurm_normal,1511875054.0,0,,1.0,,,main_w4_handler0,3341073,17618790,False,,,,11679611,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32584756}]}}]",,"[{'src': 'hda', 'id': 32558438}]",history,[],[],32.0,3140756381.0,fasta,1769855.0,bam,,,,,,,,,,42302218.0,1511874971.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.2,0.0.2,,2017-11-28 13:17:37.099764,96977,83.0
,,2017-11-28 13:16:02.918890,slurm_normal,1511875058.0,0,,1.0,,,main_w3_handler1,3341073,17618789,False,,,,11679612,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""-1""","""""","""""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 32584747}]}}]",,"[{'src': 'hda', 'id': 32558438}]",history,[],[],32.0,3140756381.0,fasta,1742510.0,bam,,,,,,,,,,42302218.0,1511874971.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/print_reads/gatk_print_reads/0.0.2,0.0.2,,2017-11-28 13:17:42.416765,96977,87.0
