bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles1_filetype,bamfiles2,bamfiles2_filetype,bamfiles3,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.numberOfSamples,parameters.advancedOpt.plotTitle,parameters.advancedOpt.region,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.bamfiles,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.outRawCounts,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2970553564,2970553564,,,,,,,bam,2700569673.0,bam,2692355202.0,bam,,,,,,,,,,,,,bam,2016-04-29 13:51:25.438039,slurm_normal,1461938079.0,0,1.0,main_w1_handler2,2688408,12686604,False,,6886658.roundup,slurm,,132112168.0,corral-repl,,,,1,false,0.0,no,,false,1,100000,,,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a52c0bb523f1b25d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5e66ca8aedccd0de3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b326742f10ba4b69'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""png""","""false""",32.0,,28198923,1461937933.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-04-29 13:54:41.163129,70838.0,146.0
2970553564,2970553564,,,,,,,bam,2700569673.0,bam,2692355202.0,bam,,,,,,,,,,,,,bam,2016-04-29 13:56:22.743573,slurm_normal,1461939585.0,0,1.0,main_w1_handler1,2688408,12686632,False,,6886715.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a52c0bb523f1b25d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5e66ca8aedccd0de3'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b326742f10ba4b69'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""png""","""false""",32.0,,28198923,1461938224.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-04-29 14:19:47.945342,70838.0,1361.0
2523138743,2523138743,,,,,,,bam,4312692448.0,bam,2517269361.0,bam,,,,,,,,,,,,,bam,2016-04-29 14:11:01.309463,slurm_normal,1461940394.0,0,1.0,main_w1_handler1,2688408,12686739,False,,6886985.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bf4fd00ec6c0cf12'}, {'src': 'hda', 'id': 'bbd44e69cb8906b58e9cedeaf6fac9f4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5be6898f069f77138'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""png""","""false""",32.0,,28198923,1461939089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-04-29 14:33:15.784227,70838.0,1305.0
834008792,834008792,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-04-28 21:48:42.742615,slurm_normal,1461914140.0,0,1.0,main_w1_handler1,2679658,12677383,False,,6877974.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581f983da773678dc'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""",32.0,,29742047,1461880150.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-04-29 07:15:41.812682,83128.0,33990.0
6185947370,6185947370,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-04-30 00:57:51.875706,slurm_normal,1461985387.0,0,1.0,main_w2_handler1,2387123,12694901,False,,6897686.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b563e269e186e7c957'}]","""/galaxy-repl/localdata/chrom/chlamyv50.len""","""chlamyv50""","""png""","""true""",32.0,,29783579,1461977912.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-04-30 03:03:10.442904,58898.0,7475.0
0,0,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-05-01 13:08:05.237281,slurm_normal,1462108125.0,0,1.0,main_w1_handler1,2689679,12715617,False,,6915402.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b551807e90a994bb9f'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""png""","""false""",32.0,,29946991,1462108119.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-05-01 13:08:47.724216,41189.0,6.0
3469221635,3469221635,,,,,,,bam,4444971868.0,bam,2571318035.0,bam,,,,,,,,,,,,,bam,2016-05-02 07:36:27.031654,slurm_normal,1462176133.0,0,1.0,main_w1_handler1,2688408,12720363,False,,6926643.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eb288cf032c17134'}, {'src': 'hda', 'id': 'bbd44e69cb8906b52b34c792c3cdfd05'}, {'src': 'hda', 'id': 'bbd44e69cb8906b568d58a083884929f'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""png""","""false""",32.0,,28198923,1462174617.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-05-02 08:02:17.179349,70838.0,1516.0
2421856798,2421856798,,,,,,,bam,2919374442.0,bam,2709304095.0,bam,,,,,,,,,,,,,bam,2016-05-02 08:08:45.057839,slurm_normal,1462177773.0,0,1.0,main_w2_handler1,2688408,12722405,False,,6926891.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55274d2e4f0730685'}, {'src': 'hda', 'id': 'bbd44e69cb8906b57b35b834719d5fa2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b52b8f74cbbf78f962'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""png""","""false""",32.0,,28198923,1462176554.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-05-02 08:29:37.329450,70838.0,1219.0
12163994545,12163994545,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-05-02 17:04:50.284028,slurm_normal,1462209987.0,0,1.0,main_w1_handler2,2616603,12735512,False,,6934556.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51648b958f19c9def'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""",32.0,,28709359,1462208729.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-05-02 17:26:31.257057,79549.0,1258.0
476524549,476524549,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-05-03 15:52:13.191039,slurm_normal,1462290840.0,0,1.0,main_w1_handler0,1104862,12759251,False,,6955460.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b1243b7a91bc59e7'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""",32.0,,29662048,1462290775.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-05-03 15:54:03.835606,25699.0,65.0
20229369,20229369,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-05-05 08:03:59.228840,slurm_normal,1462435528.0,0,1.0,main_w1_handler1,2695271,12789644,False,,6987644.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55701efb212c74e92'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""png""","""false""",32.0,,30050521,1462435474.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-05-05 08:05:31.793187,62182.0,54.0
21434431,21434431,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-05-07 15:22:00.198397,slurm_normal,1462634586.0,0,1.0,main_w1_handler2,2224013,12816534,False,,7017739.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a73c6fe65a962ce7'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""pdf""","""false""",32.0,,30074501,1462634555.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-05-07 15:23:08.420108,60399.0,31.0
3615429125,3615429125,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-05-09 14:40:57.856657,slurm_normal,1462804911.0,0,1.0,main_w1_handler1,2427090,12832674,False,,7033741.roundup,slurm,,132112168.0,corral-repl,,,,0,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56eb13adbdbbe68b1'}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""png""","""false""",32.0,,29991362,1462804883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-05-09 14:41:54.735174,64160.0,28.0
