chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-05 08:22:43.275304,slurm_normal,1496650977.0,0,1.0,main_w4_handler1,2904703,16013544,False,,5778,taxonomy,10106295.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29889495}]",,32.0,,37994260.0,1496650974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 08:22:59.450092,95522.0,3.0
,,2017-04-03 08:08:16.542797,slurm_normal,1491471883.0,0,1.0,main_w3_handler1,3056575,15468831,False,,18317839,taxonomy,9631603.roundup,slurm,,132112168.0,corral-repl,,"""acdd8b36184411e78d69005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29036272}]",,32.0,,,1491471879.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-04-06 09:44:44.627981,90150.0,4.0
,,2017-06-05 04:36:47.363018,slurm_normal,1496637422.0,0,1.0,main_w3_handler0,2904703,16012633,False,,9007,taxonomy,10105477.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29888124}]",,32.0,,37994260.0,1496637418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 04:37:03.084685,95522.0,4.0
,,2017-06-05 05:26:15.626126,slurm_normal,1496640389.0,0,1.0,main_w3_handler1,2904703,16012812,False,,3031,taxonomy,10105652.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29888416}]",,32.0,,37994260.0,1496640384.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 05:26:30.101884,95522.0,5.0
,,2017-06-05 09:03:03.278976,slurm_normal,1496653399.0,0,1.0,main_w3_handler1,2904703,16013806,False,,5876,taxonomy,10106524.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29889776}]",,32.0,,37994260.0,1496653395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 09:03:20.448126,95522.0,4.0
,,2017-04-07 08:23:15.954006,slurm_normal,1491819142.0,0,1.0,main_w3_handler1,3063421,15516089,False,,821976805,taxonomy,9664862.roundup,slurm,,132112168.0,corral-repl,,"""6c2871a81b6b11e78d3e005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29112590}]",,32.0,,,1491819117.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-04-10 10:12:24.824688,2275.0,25.0
,,2017-04-07 11:47:12.776404,slurm_normal,1491822828.0,0,1.0,main_w4_handler0,3063620,15518404,False,,20337461,taxonomy,9665250.roundup,slurm,,132112168.0,corral-repl,,"""eb7a06301b8711e7bf55005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29115436}]",,32.0,,,1491822823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-04-10 11:13:49.650482,2275.0,5.0
,,2017-06-05 19:42:25.742298,slurm_normal,1496691759.0,0,1.0,main_w3_handler1,2904703,16019202,False,,5025,taxonomy,10111210.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29897977}]",,32.0,,37994260.0,1496691755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 19:42:42.385051,95522.0,4.0
,,2017-06-05 16:52:54.544055,slurm_normal,1496681590.0,0,1.0,main_w4_handler1,2904703,16017533,False,,5984,taxonomy,10109905.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29895581}]",,32.0,,37994260.0,1496681585.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 16:53:15.537138,95522.0,5.0
,,2017-06-05 17:35:10.050441,slurm_normal,1496684136.0,0,1.0,main_w4_handler1,2904703,16018080,False,,5355,taxonomy,10110290.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29896062}]",,32.0,,37994260.0,1496684132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 17:35:37.938228,95522.0,4.0
,,2017-06-05 18:13:04.883911,slurm_normal,1496686400.0,0,1.0,main_w3_handler1,2904703,16018402,False,,2133,taxonomy,10110581.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29896691}]",,32.0,,37994260.0,1496686397.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 18:13:24.355781,95522.0,3.0
,,2017-06-05 20:19:19.408005,slurm_normal,1496693979.0,0,1.0,main_w3_handler0,2904703,16019660,False,,2502,taxonomy,10111603.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29898478}]",,32.0,,37994260.0,1496693975.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 20:19:40.027219,95522.0,4.0
,,2017-06-05 18:40:33.528063,slurm_normal,1496688066.0,0,1.0,main_w4_handler1,2904703,16018759,False,,6079,taxonomy,10110787.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29897281}]",,32.0,,37994260.0,1496688053.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 18:41:08.241746,95522.0,13.0
,,2017-06-05 21:00:21.018948,slurm_normal,1496696435.0,0,1.0,main_w3_handler0,2904703,16019868,False,,5819,taxonomy,10111837.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29898949}]",,32.0,,37994260.0,1496696431.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 21:00:37.783726,95522.0,4.0
,,2017-06-05 21:40:07.329837,slurm_normal,1496698832.0,0,1.0,main_w3_handler1,2904703,16020151,False,,5827,taxonomy,10112075.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29899420}]",,32.0,,37994260.0,1496698828.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 21:40:35.683769,95522.0,4.0
,,2017-06-05 22:11:15.660763,slurm_normal,1496700695.0,0,1.0,main_w3_handler0,2904703,16020452,False,,6999,taxonomy,10112376.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29899809}]",,32.0,,37994260.0,1496700691.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 22:11:37.474256,95522.0,4.0
,,2017-06-05 23:06:15.480292,slurm_normal,1496703995.0,0,1.0,main_w3_handler1,2904703,16020843,False,,5552,taxonomy,10112778.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29900195}]",,32.0,,37994260.0,1496703992.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-06-05 23:06:38.078135,95522.0,3.0
,,2017-04-24 11:27:23.905559,slurm_normal,1493210165.0,0,1.0,main_w3_handler1,3084395,15661340,False,,2125069,taxonomy,9795508.roundup,slurm,,132112168.0,corral-repl,,"""f8419d9028e011e79014005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29334920}]",,32.0,,,1493210160.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-04-26 12:36:07.874194,90150.0,5.0
,,2017-04-24 14:31:47.235404,slurm_normal,1493230070.0,0,1.0,main_w4_handler1,3084627,15663133,False,,123159382,taxonomy,9797827.roundup,slurm,,132112168.0,corral-repl,,"""bad0c3e028fa11e7a194005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29337392}]",,32.0,,,1493230063.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-04-26 18:11:17.329535,90150.0,7.0
,,2017-05-08 23:48:28.107198,slurm_normal,1494287315.0,0,1.0,main_w4_handler0,2904703,15785408,False,,10626,taxonomy,9891592.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29525987}]",,32.0,,37836440.0,1494287311.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-05-08 23:48:37.781393,95522.0,4.0
,,2017-05-08 23:55:31.943883,slurm_normal,1494287740.0,0,1.0,main_w3_handler1,2904703,15785447,False,,9900,taxonomy,9891629.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29526032}]",,32.0,,37836440.0,1494287736.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-05-08 23:55:45.996891,95522.0,4.0
,,2017-05-16 16:49:50.199783,slurm_normal,1494953398.0,0,1.0,main_w4_handler0,2904703,15856229,False,,10853,taxonomy,9956439.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29628850}]",,32.0,,38005727.0,1494953393.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-05-16 16:50:04.695921,95522.0,5.0
,,2017-05-16 18:04:26.978401,slurm_normal,1494957875.0,0,1.0,main_w4_handler1,2904703,15857041,False,,5778,taxonomy,9957383.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29630444}]",,32.0,,38005727.0,1494957871.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-05-16 18:04:37.907543,95522.0,4.0
,,2017-05-16 23:00:37.009576,slurm_normal,1494975654.0,0,1.0,main_w4_handler0,2904703,15861201,False,,3809,taxonomy,9961574.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29637655}]",,32.0,,38005727.0,1494975650.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-05-16 23:00:58.342406,95522.0,4.0
,,2017-12-20 11:27:01.166487,slurm_normal,1513928270.0,0,1.0,main_w3_handler1,2991328,17858087,False,,1440496883,taxonomy,11950835,slurm,,132112168.0,corral-repl,,"""add2880ae57811e7a8de005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33017855}]",,32.0,,,1513928235.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/t2t_report/t2t_report/1.0.0,1.0.0,,2017-12-22 07:37:52.365339,92765.0,35.0
