create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_database,input_database_filetype,input_motifs,input_motifs_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fasta_type.__current_case__,parameters.fasta_type.fasta_type_selector,parameters.fasta_type.input_database,parameters.fasta_type.input_database.values,parameters.input_motifs,parameters.input_motifs.values,parameters.non_commercial_use,parameters.options_type.__current_case__,parameters.options_type.alpha,parameters.options_type.bgfile_type.__current_case__,parameters.options_type.bgfile_type.bgfile_type_selector,parameters.options_type.max_stored_scores,parameters.options_type.max_strand,parameters.options_type.motif_pseudo,parameters.options_type.motifs_cond.__current_case__,parameters.options_type.motifs_cond.motifs_selector,parameters.options_type.no_qvalue,parameters.options_type.norc,parameters.options_type.options_type_selector,parameters.options_type.parse_genomic_coord,parameters.options_type.prior_dist_cond.__current_case__,parameters.options_type.prior_dist_cond.prior_dist_selector,parameters.options_type.psp_cond.__current_case__,parameters.options_type.psp_cond.psp_selector,parameters.options_type.qv_thresh,parameters.options_type.thresh,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-11 19:33:13.544631,slurm_normal,1457733509.0,0,1.0,main_w1_handler0,2627671,12109883,False,,35360,fasta,136153,memexml,6334294.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",1,history,23764837.0,,23764201,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,28899345,1457733498.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-03-11 21:58:34.364693,35618,11.0
2016-03-11 19:32:51.352143,slurm_normal,1457747718.0,0,1.0,main_w1_handler2,2627671,12109880,False,,36368,fasta,136153,memexml,6335630.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",1,history,23764229.0,,23764201,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,28899345,1457747704.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-03-12 01:55:23.540495,35618,14.0
2016-03-13 16:03:30.266135,slurm_normal,1457885184.0,0,1.0,main_w1_handler0,2425446,12120477,False,,229469,fasta,529452,memexml,6342728.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,21200931.0,,23772319,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,28966413,1457885040.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-03-13 16:06:32.059639,7078,144.0
2016-03-13 16:03:12.492317,slurm_normal,1457885209.0,0,1.0,main_w1_handler0,2425446,12120475,False,,284663,fasta,529452,memexml,6342726.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,21200969.0,,23772319,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,28966413,1457885013.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-03-13 16:06:57.805956,7078,196.0
2016-03-13 16:03:48.951868,slurm_normal,1457885309.0,0,1.0,main_w2_handler1,2425446,12120478,False,,408593,fasta,529452,memexml,6342729.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,21200977.0,,23772319,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,28966413,1457885049.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-03-13 16:08:40.016664,7078,260.0
2016-03-13 16:04:05.735345,slurm_normal,1457885428.0,0,1.0,main_w1_handler0,2425446,12120480,False,,335549,fasta,529452,memexml,6342741.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,history,21200947.0,,23772319,,"""True""",0,,,,,,,,,,,basic,,,,,,,,32.0,,28966413,1457885208.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-03-13 16:10:35.099593,7078,220.0
2016-02-20 08:38:36.831591,slurm_normal,1455957579.0,0,1.0,main_w1_handler2,2564476,11883400,False,,1710,fasta,1843,memexml,6123377.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431535,,"""True""",1,1.0,1.0,default,100000,False,0.1,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.01,32.0,,27412803,1455957564.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:39:43.093070,76755,15.0
2016-02-20 08:43:23.484347,slurm_normal,1455957841.0,0,1.0,main_w1_handler0,2564476,11883402,False,,1710,fasta,1843,memexml,6123384.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431535,,"""True""",1,1.0,0.0,motif_file,100000,False,0.1,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.001,32.0,,27412803,1455957837.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:44:04.275295,76755,4.0
2016-02-20 08:03:55.180413,slurm_normal,1455955504.0,0,1.0,main_w1_handler0,2564476,11883361,False,,1710,fasta,1843,memexml,6123288.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431535,,"""True""",1,1.0,1.0,default,100000,False,0.1,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.0001,32.0,,27412803,1455955499.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:05:06.798246,76755,5.0
2016-02-20 08:27:32.569607,slurm_normal,1455956902.0,0,1.0,main_w1_handler0,2564476,11883385,False,,1710,fasta,883,memexml,6123358.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,history,23420911.0,,23431566,,"""True""",1,1.0,1.0,default,100000,False,0.1,0.0,yes,True,False,advanced,False,0.0,no,0.0,no,False,0.01,32.0,,27412803,1455956898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/meme_fimo/meme_fimo/4.11.0.2,4.11.0.2,,2016-02-20 08:28:26.401951,76755,4.0
