chromInfo,chromInfo_filetype,corData,corData_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.corData,parameters.corData.values,parameters.dbkey,parameters.outFileFormat,parameters.outFileNameData,parameters.plotTitle,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,1354424,deeptools_coverage_matrix,2016-09-07 19:05:39.138704,slurm_normal,1473277696.0,0,1.0,main_w3_handler1,2762351,13800732,False,,8021442.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d231949ca967156d'}]","""hg19""","""png""","""false""","""""",32.0,,32820770.0,1473277682.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-09-07 19:48:20.007240,87186,14.0
,,25424013,deeptools_coverage_matrix,2016-09-07 19:51:28.182752,slurm_normal,1473278916.0,0,1.0,main_w4_handler1,2813423,13801105,False,,8021525.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a74e5e9dd06c9511'}]","""hg19""","""png""","""false""","""""",32.0,,32822049.0,1473278466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-09-07 20:08:41.460490,87393,450.0
,,6303745,deeptools_coverage_matrix,2016-06-17 05:07:36.315835,slurm_normal,1466140085.0,0,1.0,main_w1_handler0,2726858,13190201,False,,7375064.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ef89737e5f28fdb0'}]","""hg19""","""png""","""false""","""""",32.0,,30920419.0,1466140071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-06-17 05:08:06.809790,82005,14.0
,,7680513,deeptools_coverage_matrix,2016-06-17 04:39:31.914666,slurm_normal,1466138400.0,0,1.0,main_w2_handler0,2726858,13190137,False,,7374988.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b502b46c77d5c709e3'}]","""hg19""","""png""","""false""","""""",32.0,,30920419.0,1466138387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-06-17 04:40:01.589618,82005,13.0
,,1187101,deeptools_coverage_matrix,2016-09-08 09:20:52.201459,slurm_normal,1473326521.0,0,1.0,main_w3_handler1,2651279,13804465,False,,8024974.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b528b23519975c42a3'}]","""mm9""","""png""","""false""","""PCA_Control_EZH2""",32.0,,32789682.0,1473326501.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-09-08 09:22:04.245106,56978,20.0
,,1163112,deeptools_coverage_matrix,2016-09-08 09:27:59.106791,slurm_normal,1473327443.0,0,1.0,main_w3_handler0,2651279,13804498,False,,8025061.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b577dc9e8f3727af94'}]","""mm9""","""png""","""false""","""PCA_Control_H3K4me3""",32.0,,32789682.0,1473327431.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-09-08 09:37:29.093383,56978,12.0
,,1003635,deeptools_coverage_matrix,2016-09-08 09:28:17.855321,slurm_normal,1473328365.0,0,1.0,main_w3_handler0,2651279,13804500,False,,8025216.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cdddd8bac7156413'}]","""mm9""","""png""","""false""","""PCA_Control_pSER2""",32.0,,32789682.0,1473328350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-09-08 09:52:49.809571,56978,15.0
,,861624,deeptools_coverage_matrix,2016-09-08 09:29:16.206299,slurm_normal,1473328653.0,0,1.0,main_w4_handler0,2651279,13804511,False,,8025292.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e6678e39409eddca'}]","""mm9""","""png""","""false""","""PCA_shEZH2_H3K4me3""",32.0,,32789682.0,1473328621.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-09-08 09:57:37.336662,56978,32.0
,,3458593,deeptools_coverage_matrix,2016-09-08 08:57:04.611326,slurm_normal,1473326288.0,0,1.0,main_w3_handler1,2776129,13804325,False,,8024957.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51b654639b5109ce2'}]","""hg19""","""png""","""false""","""""",32.0,,31725443.0,1473326276.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-09-08 09:18:12.922716,87810,12.0
,,1052545,deeptools_coverage_matrix,2016-09-08 09:28:43.957587,slurm_normal,1473326949.0,0,1.0,main_w4_handler1,2651279,13804507,False,,8025032.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bfb141b967f8c59b'}]","""mm9""","""png""","""true""","""PCA_shEZH2_H3K27me3""",32.0,,32789682.0,1473326941.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.2.3.0,2.2.3.0,,2016-09-08 09:29:13.577217,56978,8.0
