create_time,destination_id,end_epoch,exit_code,featureids,featureids_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.conditionalstatistics.__current_case__,parameters.conditionalstatistics.statistics,parameters.dbkey,parameters.featureids.values,parameters.featureslist,parameters.permutations,parameters.plotres.alpha,parameters.plotres.average,parameters.plotres.conditionalplottype.__current_case__,parameters.plotres.conditionalplottype.plottype,parameters.plotres.conditionalplottype.probabilitiessection.prob0,parameters.plotres.conditionalplottype.probabilitiessection.prob1,parameters.plotres.conditionalplottype.probabilitiessection.prob2,parameters.plotres.conditionalplottype.probabilitiessection.probabilities,parameters.plotres.size,parameters.plotsum.conditionalgroupby.__current_case__,parameters.plotsum.conditionalgroupby.featurealphaplot,parameters.plotsum.conditionalgroupby.featureonlysig,parameters.plotsum.conditionalgroupby.groupby,parameters.rdata.values,parameters.regionids.values,parameters.regionssection.regions,processor_count,rdata,rdata_filetype,regionids,regionids_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-08-21 20:22:48.909566,slurm_normal,1503347000.0,0,10,tabular,,1.0,main_w4_handler0,3216480,16626582,False,,10698462.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",3,mean,"""?""","[{'src': 'hda', 'id': 30942563}]","[""1"", ""2""]","""1000""",0.05,true,0,boxplot,0.25,0.5,0.75,[],true,1,0.05,false,feature,"[{'src': 'hda', 'id': 30942561}]","[{'src': 'hda', 'id': 30942562}]","[{'__index__': 0, 'region1': '4', 'region0': '1'}, {'__index__': 1, 'region1': '4', 'region0': '2'}]",32.0,82927,rdata,26,tabular,,39886679,1503346981.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_testandplot/iwtomics_testandplot/1.0.0.0,1.0.0.0,,2017-08-21 20:23:27.878431,54213,19.0
2018-01-22 18:29:17.457763,slurm_normal,1516645807.0,0,11,tabular,,1.0,main_w3_handler1,3401049,18123877,False,,12201769,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",3,mean,"""?""","[{'src': 'hda', 'id': 33448413}]","[""1""]","""1000""",0.05,true,0,boxplot,0.25,0.5,0.75,[],true,2,,,none,"[{'src': 'hda', 'id': 33448411}]","[{'src': 'hda', 'id': 33448412}]","[{'__index__': 0, 'region1': '2', 'region0': '1'}]",32.0,48229,rdata,18,tabular,,43355232,1516645769.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_testandplot/iwtomics_testandplot/1.0.0.0,1.0.0.0,,2018-01-22 18:30:08.720501,101581,38.0
2017-12-07 17:25:39.630697,slurm_normal,1512667591.0,0,11,tabular,,1.0,main_w3_handler0,3354453,17738588,False,,11804894,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",3,mean,"""?""","[{'src': 'hda', 'id': 32802377}]","[""1""]","""1000""",0.05,true,0,boxplot,0.25,0.5,0.75,[],true,2,,,none,"[{'src': 'hda', 'id': 32802375}]","[{'src': 'hda', 'id': 32802376}]","[{'__index__': 0, 'region1': '2', 'region0': '1'}]",32.0,48229,rdata,18,tabular,,41821143,1512667557.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_testandplot/iwtomics_testandplot/1.0.0.0,1.0.0.0,,2017-12-07 17:26:33.715521,101581,34.0
2018-02-19 19:38:46.488078,slurm_normal,1519069172.0,0,11,tabular,7680.0,1.0,main_w3_handler0,3435007,18439588,False,,12534109,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",3,mean,"""?""","[{'src': 'hda', 'id': 33944508}]","[""1""]","""1000""",0.05,true,0,boxplot,0.25,0.5,0.75,[],true,2,,,none,"[{'src': 'hda', 'id': 33944506}]","[{'src': 'hda', 'id': 33944507}]","[{'__index__': 0, 'region1': '2', 'region0': '1'}]",32.0,48228,rdata,18,tabular,,43355232,1519069139.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/iwtomics_testandplot/iwtomics_testandplot/1.0.0.0,1.0.0.0,,2018-02-19 19:39:35.494372,101581,33.0
