chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.minlen,parameters.minoe,parameters.minpc,parameters.shift,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-06 22:37:28.676938,slurm_normal,1520375874.0,0.0,7680.0,1.0,main_w4_handler1,3443813,18631321,False,,1074055,fasta,12727621,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 34251262}]","""200""","""0.6""","""50.0""","""1""","""100""",32.0,,44183969.0,1520375861.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2018-03-06 22:37:56.251248,,13.0
,,2017-12-10 10:07:55.478288,slurm_normal,1512900499.0,0.0,,1.0,main_w3_handler1,3360339,17762488,False,,18063,fasta,11831145,slurm,,132112168.0,corral-repl,,"""f80fa536dd9111e7acdd005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32843292}]","""200""","""0.6""","""50.0""","""100""","""100""",32.0,,,1512900495.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2017-12-10 10:08:21.649484,112947.0,4.0
,,2017-12-10 10:32:46.272636,slurm_normal,1512902093.0,0.0,,1.0,main_w3_handler0,3360355,17762574,False,,18063,fasta,11831233,slurm,,132112168.0,corral-repl,,"""712bb3eedd9511e780ed005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32843431}]","""200""","""0.6""","""50.0""","""1500""","""1500""",32.0,,,1512902089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2017-12-10 10:34:55.287523,112944.0,4.0
,,2018-01-20 23:29:16.892985,slurm_normal,1516490976.0,0.0,,1.0,main_w3_handler1,3399370,18097627,False,,59455081,fasta,12177509,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33412843}]","""200""","""0.6""","""50.0""","""100""","""100""",32.0,,42737521.0,1516490964.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2018-01-20 23:29:37.434188,112962.0,12.0
172514.0,len,2015-03-25 19:39:04.408314,rodeo_normal,1427312448.0,0.0,,1.0,main_w1_handler1,2104786,9038425,False,,12497332,fasta,3323526.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995229,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312441.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:41:03.336570,52881.0,7.0
172514.0,len,2015-03-25 16:41:53.914524,rodeo_normal,1427301757.0,0.0,,1.0,main_w2_handler0,2104786,9035473,False,,19572419,fasta,3320836.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18993957,,"""200""","""0.6""","""50.0""","""10""","""1000""",32.0,,21886039.0,1427301731.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 16:42:50.360477,52881.0,26.0
172514.0,len,2015-03-25 19:38:53.404826,rodeo_normal,1427312375.0,0.0,,1.0,main_w1_handler0,2104786,9038417,False,,17080807,fasta,3323493.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995160,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312366.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:42.864411,52881.0,9.0
172514.0,len,2015-03-25 19:39:07.664505,rodeo_normal,1427312388.0,0.0,,1.0,main_w2_handler1,2104786,9038427,False,,22594409,fasta,3323500.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995245,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312380.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:55.241184,52881.0,8.0
172514.0,len,2015-03-25 19:38:46.440381,rodeo_normal,1427312368.0,0.0,,1.0,main_w1_handler0,2104786,9038414,False,,18662089,fasta,3323489.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995136,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312359.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:35.631519,52881.0,9.0
172514.0,len,2015-03-25 19:39:13.915360,rodeo_normal,1427312408.0,0.0,,1.0,main_w2_handler1,2104786,9038433,False,,15878828,fasta,3323508.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995295,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312402.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:40:12.181151,52881.0,6.0
172514.0,len,2015-03-25 19:38:43.993935,rodeo_normal,1427312348.0,0.0,,1.0,main_w1_handler1,2104786,9038413,False,,16670904,fasta,3323484.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995129,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:11.309633,52881.0,7.0
172514.0,len,2015-03-25 19:38:50.641779,rodeo_normal,1427312356.0,0.0,,1.0,main_w1_handler1,2104786,9038416,False,,25754869,fasta,3323486.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995150,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312348.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:17.759879,52881.0,8.0
172514.0,len,2015-03-25 19:38:55.779071,rodeo_normal,1427312410.0,0.0,,1.0,main_w1_handler1,2104786,9038419,False,,12685755,fasta,3323510.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995176,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312405.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:40:15.155825,52881.0,5.0
172514.0,len,2015-03-25 19:38:40.621742,rodeo_normal,1427312347.0,0.0,,1.0,main_w2_handler0,2104786,9038412,False,,24320200,fasta,3323483.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995123,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:09.782463,52881.0,9.0
172514.0,len,2015-03-25 19:39:09.560457,rodeo_normal,1427312426.0,0.0,,1.0,main_w2_handler0,2104786,9038429,False,,30168776,fasta,3323509.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995267,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312402.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:40:32.882225,52881.0,24.0
172514.0,len,2015-03-25 19:38:57.228987,rodeo_normal,1427312389.0,0.0,,1.0,main_w2_handler0,2104786,9038420,False,,19080891,fasta,3323501.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""?""",18995186,,"""200""","""0.6""","""50.0""","""100""","""1000""",32.0,,21886039.0,1427312382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: newcpgreport57/5.0.0,5.0.0,,2015-03-25 19:39:53.505129,52881.0,7.0
