chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.vcf_samples,parameters.vcf_samples.__class__,parameters.vcf_samples.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-25 05:41:36.305748,slurm_normal,1437802920.0,0,,1.0,main_w1_handler0,2388961,9976339,False,,441847,vcf,4260377.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20526972,,,"[""secondSample""]",,,32.0,,24013480.0,1437802917.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 05:42:03.077174,65704.0,3.0
,,2015-07-25 05:44:27.171195,slurm_normal,1437803093.0,0,,1.0,main_w2_handler1,2388961,9976352,False,,441847,vcf,4260397.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20526972,,,"[""secondSample""]",,,32.0,,24013480.0,1437803089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 05:44:54.801887,65704.0,4.0
,,2015-07-25 12:08:23.209711,slurm_normal,1437826126.0,0,,1.0,main_w1_handler1,2388751,9978523,False,,895200,vcf,4262360.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20522785,,,"[""Daughter1""]",,,32.0,,24126784.0,1437826121.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 12:08:51.622402,65999.0,5.0
,,2015-07-25 06:51:31.735936,slurm_normal,1437810529.0,0,,1.0,main_w1_handler2,2386463,9977091,False,,17728677452,vcf,4260965.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20531826,,,"[""/galaxy-repl/main/files/011/983/dataset_11983048.dat""]",,,32.0,,24311765.0,1437807109.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 07:48:52.096399,66608.0,3420.0
,,2015-07-25 12:07:54.492673,slurm_normal,1437826102.0,0,,1.0,main_w2_handler1,2388751,9978518,False,,895200,vcf,4262355.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20522785,,,"[""Father2""]",,,32.0,,24126784.0,1437826098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 12:08:23.728521,65999.0,4.0
,,2015-07-25 11:54:59.355456,slurm_normal,1437825326.0,0,,1.0,main_w2_handler0,2388756,9978445,False,,756594,vcf,4262283.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20528161,,,"[""Father1""]",,,32.0,,24126784.0,1437825321.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:55:29.184380,65999.0,5.0
,,2015-07-25 07:06:27.521555,slurm_normal,1437808009.0,0,,1.0,main_w1_handler0,2389101,9977138,False,,233757,vcf,4261020.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",20532864,,,"[""mom""]",,,32.0,,24298612.0,1437808005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 07:06:52.235741,66830.0,4.0
,,2015-07-25 07:04:33.706003,slurm_normal,1437807902.0,0,,1.0,main_w2_handler1,2389101,9977134,False,,233757,vcf,4261015.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",20532864,,,"[""dad""]",,,32.0,,24298612.0,1437807898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 07:05:05.775924,66830.0,4.0
,,2015-07-25 07:04:55.220079,slurm_normal,1437807917.0,0,,1.0,main_w1_handler2,2389101,9977135,False,,233757,vcf,4261016.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",20532864,,,"[""kid""]",,,32.0,,24298612.0,1437807914.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 07:05:20.363514,66830.0,3.0
,,2015-07-25 11:34:46.993694,slurm_normal,1437824107.0,0,,1.0,main_w2_handler0,2389402,9978320,False,,449546,vcf,4262166.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20534599,,,"[""sam-na12880""]",,,32.0,,24137079.0,1437824103.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:35:08.791489,66136.0,4.0
,,2015-07-25 11:34:25.566533,slurm_normal,1437824093.0,0,,1.0,main_w1_handler0,2389402,9978318,False,,449546,vcf,4262163.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20534599,,,"[""sam-na12877""]",,,32.0,,24137079.0,1437824089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:34:55.095707,66136.0,4.0
,,2015-07-25 11:11:10.347948,slurm_normal,1437822689.0,0,,1.0,main_w2_handler0,2389414,9978189,False,,895200,vcf,4262042.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20534441,,,"[""Father1""]",,,32.0,,24126784.0,1437822685.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfselectsamples/vcfselectsamples/0.0.3,0.0.3,,2015-07-25 11:11:32.772063,65999.0,4.0
