chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv_opts.__current_case__,parameters.adv_opts.adv_opts_selector,parameters.adv_opts.column_end,parameters.adv_opts.column_start,parameters.chromInfo,parameters.dbkey,parameters.ignore_case,parameters.infile.values,parameters.is_numeric,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-05 05:39:58.029787,slurm_normal,1515130810.0,0,,1.0,main_w4_handler0,3358450,17951032,False,67371862,tabular,,12027463,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","[{'src': 'hda', 'id': 33182278}]","""false""",32.0,,42849160.0,1515130802.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-05 05:40:12.185235,77693.0,8.0
,,2018-01-11 17:09:51.073248,slurm_normal,1515690605.0,0,,1.0,main_w4_handler0,3383185,18005028,False,11735327,tabular,,12082100,slurm,,132112168.0,corral-repl,,,1,advanced,2,1,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","[{'src': 'hda', 'id': 33266852}]","""true""",32.0,,42590566.0,1515690600.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-11 17:10:08.039802,91624.0,5.0
,,2018-01-05 11:01:58.377524,slurm_normal,1515150126.0,0,,1.0,main_w3_handler1,3358450,17952854,False,192763,tabular,,12029380,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","[{'src': 'hda', 'id': 33185083}]","""false""",32.0,,42849160.0,1515150122.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-05 11:02:08.272817,77693.0,4.0
,,2018-01-05 15:17:14.656950,slurm_normal,1515165453.0,0,,1.0,main_w4_handler0,3273263,17955546,False,166356058,gtf,,12032042,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","[{'src': 'hda', 'id': 33180705}]","""false""",32.0,,42983971.0,1515165438.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-05 15:17:35.728593,88676.0,15.0
,,2018-01-05 15:21:49.344953,slurm_normal,1515165737.0,0,,1.0,main_w4_handler1,3273263,17955626,False,374007599,gff3,,12032123,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""false""","[{'src': 'hda', 'id': 33163480}]","""false""",32.0,,42983971.0,1515165714.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-05 15:22:19.219089,88676.0,23.0
,,2018-01-05 20:16:13.346751,slurm_normal,1515183383.0,0,,1.0,main_w3_handler0,3363222,17959288,False,19656,bed,,12035938,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""true""","[{'src': 'hda', 'id': 33163459}]","""false""",32.0,,42618656.0,1515183378.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-05 20:16:26.119631,118524.0,5.0
,,2018-01-05 20:21:19.499396,slurm_normal,1515183689.0,0,,1.0,main_w3_handler0,3363222,17959300,False,9799816,bed,,12036020,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""true""","[{'src': 'hda', 'id': 32993824}]","""false""",32.0,,42618656.0,1515183682.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-05 20:21:30.936323,118524.0,7.0
,,2018-01-05 20:32:20.398844,slurm_normal,1515184349.0,0,,1.0,main_w3_handler0,3363222,17959440,False,942058,bed,,12036080,slurm,,132112168.0,corral-repl,,,0,basic,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""false""","[{'src': 'hda', 'id': 33151504}]","""false""",32.0,,42618656.0,1515184344.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-05 20:32:31.339671,118524.0,5.0
,,2018-01-09 05:16:07.982010,slurm_normal,1515474976.0,0,,1.0,main_w3_handler1,2977195,17978573,False,1619263,tabular,,12055372,slurm,,132112168.0,corral-repl,,,1,advanced,4,1,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 33225054}]","""false""",32.0,,43069342.0,1515474970.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-09 05:16:17.851114,50959.0,6.0
,,2018-01-04 17:00:49.718646,slurm_normal,1515085257.0,0,,1.0,main_w4_handler0,2739523,17945678,False,863579,interval,,12021768,slurm,,132112168.0,corral-repl,,,1,advanced,4,4,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","""false""","[{'src': 'hda', 'id': 33173822}]","""false""",32.0,,42977466.0,1515085252.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0,1.1.0,,2018-01-04 17:00:58.972497,36650.0,5.0
