create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.header,parameters.infile.values,parameters.report,parameters.tfam,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-16 14:47:39.713256,slurm_normal,1474040481.0,0,,1.0,main_w3_handler0,2822388,13865995,False,355899392,gemini.sqlite,,8089943.roundup,slurm,,132112168.0,corral-repl,,"""7f659cee7c1c11e6a24e005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52beee0c9cf90c658'}]","""--variants""","""false""",32.0,,32993553.0,1474040381.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2016-09-16 15:41:23.386520,38442,100.0
2016-09-17 05:45:09.493171,slurm_normal,1474092843.0,0,,1.0,main_w3_handler1,2822924,13870481,False,355899392,gemini.sqlite,,8093922.roundup,slurm,,132112168.0,corral-repl,,"""e2c5fb127c9911e69c9d005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ae1498386aa231c1'}]","""--variants""","""false""",32.0,,32993553.0,1474092792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2016-09-17 06:14:05.922337,38442,51.0
2016-09-19 07:48:14.266275,slurm_normal,1474296141.0,0,,1.0,main_w4_handler0,2824327,13879977,False,533128192,gemini.sqlite,,8107685.roundup,slurm,,132112168.0,corral-repl,,"""695deb5e7e3d11e6b7ee005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a2ac7e80484594ac'}]","""--variants""","""false""",32.0,,33021032.0,1474296066.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2016-09-19 14:42:23.139531,42102,75.0
2017-02-16 10:50:45.387241,slurm_normal,1487242255.0,0,,1.0,main_w4_handler0,2997952,15055864,False,190405632,gemini.sqlite,,9211403.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""true""","[{'src': 'hda', 'id': 28380096}]","""--genotypes""","""false""",32.0,,36054219.0,1487242249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-02-16 10:50:56.815036,91758,6.0
2017-02-16 10:48:08.007205,slurm_normal,1487242102.0,0,,1.0,main_w4_handler1,2997952,15055856,False,190405632,gemini.sqlite,,9211393.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""true""","[{'src': 'hda', 'id': 28380096}]","""--variants""","""false""",32.0,,36054219.0,1487242092.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-02-16 10:48:23.755433,91758,10.0
2017-02-16 10:49:03.041914,slurm_normal,1487242150.0,0,,1.0,main_w3_handler0,2997952,15055861,False,190405632,gemini.sqlite,,9211400.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""true""","[{'src': 'hda', 'id': 28380096}]","""--samples""","""false""",32.0,,36054219.0,1487242145.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-02-16 10:49:13.839844,91758,5.0
2017-06-08 01:36:07.966341,slurm_normal,1496901318.0,0,,1.0,main_w4_handler1,3144521,16047206,False,2513309696,gemini.sqlite,,10138940.roundup,slurm,,132112168.0,corral-repl,,"""d258ea664bea11e7806f005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 29942988}]","""--variants""","""false""",32.0,,,1496901170.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-08 05:55:22.093649,42102,148.0
2017-06-11 13:32:53.089306,slurm_normal,1497188539.0,0,,1.0,main_w3_handler0,3149447,16074471,False,11144374272,gemini.sqlite,,10162043.roundup,slurm,,132112168.0,corral-repl,,"""748cec084eaa11e7a972005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 29983065}]","""--variants""","""false""",32.0,,,1497188019.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-11 13:42:21.946613,42102,520.0
2017-06-11 13:33:37.166041,slurm_normal,1497189246.0,0,,1.0,main_w3_handler0,3149448,16074482,False,14719931392,gemini.sqlite,,10162067.roundup,slurm,,132112168.0,corral-repl,,"""8eab4bf24eaa11e7a145005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 29978368}]","""--variants""","""false""",32.0,,,1497188724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-11 13:54:09.020055,42102,522.0
2017-06-12 09:27:30.699401,slurm_normal,1497260270.0,0,,1.0,main_w3_handler1,3150733,16079725,False,11450917888,gemini.sqlite,,10166556.roundup,slurm,,132112168.0,corral-repl,,"""59e5ba724f5111e789a7005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 29987934}]","""--variants""","""false""",32.0,,,1497259703.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_dump/gemini_dump/0.18.1.0,0.18.1.0,,2017-06-12 09:37:53.328124,42102,567.0
