create_time,destination_id,dist,dist_filetype,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,param_filename,parameters.calc,parameters.chromInfo,parameters.dbkey,parameters.dist|__identifier__,parameters.input.__current_case__,parameters.input.dist.values,parameters.input.groups,parameters.input.label,parameters.input.name.values,parameters.input.source,parameters.input.subsampling.__current_case__,parameters.input.subsampling.use,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-12 18:10:19.813450,slurm_normal,1657,mothur.dist,1515780638.0,0,,1.0,main_w4_handler0,3390534,18019531,False,,12096901,slurm,,132112168.0,,,corral-repl,,"[""jclass"", ""thetayc""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""thetayc.0.03.lt""",,,,,,,,,32.0,,43165624,1515780632.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.36.1.0,1.36.1.0,,2018-01-12 18:10:39.842604,119655.0,6.0
2018-01-12 18:10:17.369494,slurm_normal,1657,mothur.dist,1515780634.0,0,,1.0,main_w4_handler0,3390534,18019527,False,,12096898,slurm,,132112168.0,,,corral-repl,,"[""jclass"", ""thetayc""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""jclass.0.03.lt.ave""",,,,,,,,,32.0,,43165624,1515780623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.36.1.0,1.36.1.0,,2018-01-12 18:10:36.379792,119655.0,11.0
2018-01-12 18:10:18.636231,slurm_normal,1657,mothur.dist,1515780628.0,0,,1.0,main_w4_handler0,3390534,18019529,False,,12096899,slurm,,132112168.0,,,corral-repl,,"[""jclass"", ""thetayc""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""jclass.0.03.lt.std""",,,,,,,,,32.0,,43165624,1515780623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.36.1.0,1.36.1.0,,2018-01-12 18:10:30.199068,119655.0,5.0
2018-01-12 18:15:40.672842,slurm_normal,1193,mothur.dist,1515780951.0,0,,1.0,main_w4_handler0,3287353,18019572,False,,12096943,slurm,,132112168.0,,,corral-repl,,"[""jclass"", ""thetayc""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""thetayc.0.03.lt.ave""",,,,,,,,,32.0,,43135597,1515780947.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.36.1.0,1.36.1.0,,2018-01-12 18:15:54.329240,113659.0,4.0
2018-01-12 18:10:18.230679,slurm_normal,1657,mothur.dist,1515780629.0,0,,1.0,main_w4_handler1,3390534,18019528,False,,12096897,slurm,,132112168.0,,,corral-repl,,"[""jclass"", ""thetayc""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""jclass.0.03.lt""",,,,,,,,,32.0,,43165624,1515780621.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.36.1.0,1.36.1.0,,2018-01-12 18:10:30.219801,119655.0,8.0
2018-01-12 18:10:20.607513,slurm_normal,1657,mothur.dist,1515780639.0,0,,1.0,main_w3_handler0,3390534,18019532,False,,12096902,slurm,,132112168.0,,,corral-repl,,"[""jclass"", ""thetayc""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""thetayc.0.03.lt.std""",,,,,,,,,32.0,,43165624,1515780635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.36.1.0,1.36.1.0,,2018-01-12 18:10:41.167561,119655.0,4.0
2018-01-12 18:10:19.311312,slurm_normal,1657,mothur.dist,1515780645.0,0,,1.0,main_w3_handler1,3390534,18019530,False,,12096900,slurm,,132112168.0,,,corral-repl,,"[""jclass"", ""thetayc""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""thetayc.0.03.lt.ave""",,,,,,,,,32.0,,43165624,1515780626.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.36.1.0,1.36.1.0,,2018-01-12 18:10:46.690842,119655.0,19.0
2018-01-12 18:15:41.720213,slurm_normal,1193,mothur.dist,1515780956.0,0,,1.0,main_w3_handler1,3287353,18019576,False,,12096949,slurm,,132112168.0,,,corral-repl,,"[""jclass"", ""thetayc""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""thetayc.0.03.lt.std""",,,,,,,,,32.0,,43135597,1515780951.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.36.1.0,1.36.1.0,,2018-01-12 18:16:00.645479,113659.0,5.0
2018-01-12 18:15:41.161679,slurm_normal,1193,mothur.dist,1515780955.0,0,,1.0,main_w3_handler1,3287353,18019574,False,,12096947,slurm,,132112168.0,,,corral-repl,,"[""jclass"", ""thetayc""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""thetayc.0.03.lt""",,,,,,,,,32.0,,43135597,1515780950.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.36.1.0,1.36.1.0,,2018-01-12 18:16:00.430184,113659.0,5.0
2017-11-30 16:19:14.286322,slurm_normal,3943,mothur.shared,1512058765.0,0,,1.0,main_w3_handler1,3318794,17652122,False,,11711277,slurm,,132112168.0,,,corral-repl,,"[""jclass"", ""thetayc""]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,,,,,,,32.0,,41894749,1512058761.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_tree_shared/mothur_tree_shared/1.36.1.0,1.36.1.0,,2017-11-30 16:19:27.608814,60244.0,4.0
