chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,history_item,history_item_filetype,id,imported,info,input_format|reads,input_format|reads1,input_format|reads1_filetype,input_format|reads2,input_format|reads2_filetype,input_format|reads_f,input_format|reads_f_filetype,input_format|reads_filetype,input_format|reads_r,input_format|reads_r_filetype,job_runner_external_id,job_runner_name,known_splice_gtf,known_splice_gtf_filetype,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.alignment_options.__current_case__,parameters.alignment_options.alignment_options_selector,parameters.alignment_options.coefficient,parameters.alignment_options.constant_term,parameters.alignment_options.function_type,parameters.alignment_options.ignore_quals,parameters.alignment_options.skip_forward,parameters.alignment_options.skip_reverse,parameters.chromInfo,parameters.dbkey,parameters.input_format.__current_case__,parameters.input_format.input_format_selector,parameters.input_format.paired.__current_case__,parameters.input_format.paired.paired_end_options.__current_case__,parameters.input_format.paired.paired_end_options.no_discordant,parameters.input_format.paired.paired_end_options.no_mixed,parameters.input_format.paired.paired_end_options.paired_end_options_selector,parameters.input_format.paired.paired_end_options.skip_reverse,parameters.input_format.paired.paired_selector,parameters.input_format.paired.reads,parameters.input_format.paired.reads.values,parameters.input_format.paired.reads_f,parameters.input_format.paired.reads_f.values,parameters.input_format.paired.reads_r,parameters.input_format.paired.reads_r.values,parameters.input_format|reads|__identifier__,parameters.input_options.__current_case__,parameters.input_options.input_options_selector,parameters.input_options.skip,parameters.input_options.stop_after,parameters.input_options.trim_five,parameters.input_options.trim_three,parameters.max_primary,parameters.paired_options.__current_case__,parameters.paired_options.contain,parameters.paired_options.dovetail,parameters.paired_options.maxins,parameters.paired_options.minins,parameters.paired_options.no_discordant,parameters.paired_options.no_mixed,parameters.paired_options.overlap,parameters.paired_options.paired_options_selector,parameters.reads|__identifier__,parameters.reference_genome.__current_case__,parameters.reference_genome.history_item,parameters.reference_genome.history_item.values,parameters.reference_genome.index,parameters.reference_genome.reference_genome_source,parameters.scoring_options.__current_case__,parameters.scoring_options.ambiguous_penalty,parameters.scoring_options.coefficient,parameters.scoring_options.constant_term,parameters.scoring_options.function_type,parameters.scoring_options.match_bonus,parameters.scoring_options.max_mismatch,parameters.scoring_options.min_mismatch,parameters.scoring_options.read_extend_penalty,parameters.scoring_options.read_open_penalty,parameters.scoring_options.ref_extend_penalty,parameters.scoring_options.ref_open_penalty,parameters.scoring_options.scoring_options_selector,parameters.scoring_options.soft_clip_penalty_max,parameters.scoring_options.soft_clip_penalty_min,parameters.spliced_options.__current_case__,parameters.spliced_options.canonical_penalty,parameters.spliced_options.coefficient,parameters.spliced_options.constant_term,parameters.spliced_options.function_type,parameters.spliced_options.known_splice_gtf,parameters.spliced_options.known_splice_gtf.values,parameters.spliced_options.max_intron,parameters.spliced_options.min_intron,parameters.spliced_options.nc_coefficient,parameters.spliced_options.nc_constant_term,parameters.spliced_options.nc_function_type,parameters.spliced_options.no_spliced_alignment,parameters.spliced_options.noncanonical_penalty,parameters.spliced_options.rna_strandness,parameters.spliced_options.spliced_options_selector,parameters.spliced_options.tma,processor_count,reads,reads1,reads1_filetype,reads2,reads2_filetype,reads_f,reads_f_filetype,reads_filetype,reads_r,reads_r_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-15 10:10:02.054887,slurm_multi,1466115096.0,0.0,6.0,main_w1_handler2,2731805,,,13167181,False,,,,,,,7473297269.0,fastq,,7473297269.0,fastq,7372952,slurm,,,,132112168.0,corral-repl,,0.0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,0.0,,,defaults,,paired,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5483382b3822036b9'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e690323b4cb4584d'}]",,0,defaults,,,,,"""5""",0,,,,,,,,defaults,,0,,,hg19,indexed,0,,,,,,,,,,,,defaults,,,0.0,,,,,,,,,,,,,,,defaults,,32.0,,,,,,,,,,,,29699126,1466114159.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-06-16 22:11:44.478106,65721.0,937.0
,,2016-03-10 01:09:36.932063,slurm_normal,1457576238.0,0.0,1.0,main_w2_handler1,2562512,3199905909.0,fasta,12091258,False,,,,,,,,,,,,6315837.roundup,slurm,,,,132112168.0,corral-repl,,,,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,1,0.0,,,defaults,,paired,,,22850794.0,,22850795.0,,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,,1,23771723.0,,,history,0,,,,,,,,,,,,defaults,,,0.0,,,,,,,,,,,,,,,defaults,,32.0,,,,,,28986624.0,fastqsanger,,27841700.0,fastqsanger,,28881885,1457572204.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-03-10 02:17:21.682591,76641.0,4034.0
,,2016-03-10 02:36:26.483829,slurm_normal,1457582528.0,0.0,1.0,main_w2_handler0,2519352,3199905909.0,fasta,12091622,False,,,,,,,,,,,,6316207.roundup,slurm,,,,132112168.0,corral-repl,,,,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,fastq,1,0.0,,,defaults,,paired,,,22848701.0,,22848703.0,,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,,1,23772328.0,,,history,0,,,,,,,,,,,,defaults,,,0.0,,,,,,,,,,,,,,,defaults,,32.0,,,,,,6343106.0,fastqsanger,,6316132.0,fastqsanger,,28908409,1457577410.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-03-10 04:02:15.033172,70516.0,5118.0
,,2016-10-12 02:18:36.964352,slurm_multi,1476240390.0,0.0,6.0,main_w3_handler2,2826625,414739.0,fasta,14059508,False,,,,,,,15011403235.0,fastqsanger,,15011403235.0,fastqsanger,8276638,slurm,,,,132112168.0,corral-repl,,0.0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,0.0,,,defaults,,paired,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5341b137e87b474ab'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c5dc66e910811d6d'}]",,0,defaults,,,,,"""5""",0,,,,,,,,defaults,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fbdd45b575b16eae'}]",,history,0,,,,,,,,,,,,defaults,,,0.0,,,,,,,,,,,,,,,defaults,,32.0,,,,,,,,,,,,33620865,1476238742.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-10-12 02:46:32.338986,90206.0,1648.0
,,2016-04-26 15:25:00.036654,slurm_multi,1461686532.0,0.0,6.0,main_w2_handler2,2685110,,,12624459,False,,45978261.0,,,,,,,fastq,,,6828121,slurm,,,,132112168.0,corral-repl,,0.0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,fastq,2,,,,,,single,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5982771f1b6acc011'}]",,,,,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,,0,,,mm10,indexed,0,,,,,,,,,,,,defaults,,,0.0,,,,,,,,,,,,,,,defaults,,32.0,,,,,,,,,,,,28306931,1461686295.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-04-26 16:02:19.448728,71181.0,237.0
,,2016-06-16 22:47:17.718633,slurm_multi,1466121808.0,0.0,6.0,main_w1_handler2,2741371,2864501403.0,fasta,13188434,False,,,,,,,1729436162.0,fastqsanger,,1744327236.0,fastqsanger,7373307,slurm,89959549.0,gtf,,132112168.0,corral-repl,,0.0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,0.0,,,defaults,,paired,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56f1643a515834048'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b546dc2d325f431d79'}]",,0,defaults,,,,,"""18""",0,,,,,,,,defaults,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a8999270dcff1804'}]",,history,0,,,,,,,,,,,,defaults,,,1.0,0,0,0,C,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ca7738d0e97b4cfd'}]",500000,20,1,-8,C,false,3,R,advanced,,32.0,,,,,,,,,,,,30686765,1466117270.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-06-17 00:03:30.865272,84354.0,4538.0
,,2016-10-12 04:51:23.900713,slurm_multi,1476248566.0,0.0,6.0,main_w3_handler2,2821427,414739.0,fasta,14060449,False,,,,,,,5838692904.0,fastqsanger,,5838692904.0,fastqsanger,8277303,slurm,,,,132112168.0,corral-repl,,0.0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,1,0.0,,,defaults,,paired,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5de005a73d65cf7cb'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ec08ba4ffb722701'}]",,0,defaults,,,,,"""5""",0,,,,,,,,defaults,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f2e7a3ebbdbb9231'}]",,history,0,,,,,,,,,,,,defaults,,,0.0,,,,,,,,,,,,,,,defaults,,32.0,,,,,,,,,,,,33622197,1476247930.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-10-12 05:02:48.549111,85415.0,636.0
,,2016-06-16 14:35:32.872455,slurm_multi,1466125728.0,0.0,6.0,main_w1_handler2,2736267,,,13184277,False,,7158719396.0,,,,,,,fastqsanger,,,7373992,slurm,,,,132112168.0,corral-repl,,0.0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,2,,,,,,single,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b537e18921a85d2de6'}]",,,,,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,,0,,,ce10,indexed,0,,,,,,,,,,,,defaults,,,0.0,,,,,,,,,,,,,,,defaults,,32.0,,,,,,,,,,,,30803785,1466125378.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-06-17 01:08:51.725175,23663.0,350.0
,,2016-06-16 14:35:08.202807,slurm_multi,1466125789.0,0.0,6.0,main_w2_handler2,2736267,,,13184271,False,,8087453024.0,,,,,,,fastqsanger,,,7373991,slurm,,,,132112168.0,corral-repl,,0.0,no,,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,fastq,2,,,,,,single,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b40fe65487e9adc4'}]",,,,,,0,defaults,,,,,"""5""",0,,,,,,,,defaults,,0,,,ce10,indexed,0,,,,,,,,,,,,defaults,,,0.0,,,,,,,,,,,,,,,defaults,,32.0,,,,,,,,,,,,30803785,1466125375.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-06-17 01:09:51.803438,23663.0,414.0
,,2016-04-26 17:59:22.344709,slurm_multi,1461696701.0,0.0,6.0,main_w2_handler2,2654601,7750.0,fasta,12625886,False,,238578516.0,,,,,,,fasta,,,6830192,slurm,,,,132112168.0,corral-repl,,1.0,yes,slurm_multi,,1,advanced,0,0,L,false,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,fasta,2,,,,,,single,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f595f2747407e9f1'}]",,,,,,1,advanced,0,0,0,0,"""2""",0,,,,,,,,defaults,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b231911755072af1'}]",,history,1,1,0,0,C,2,6,2,3,5,3,5,advanced,2,1,0.0,,,,,,,,,,,,,,,defaults,,32.0,,,,,,,,,,,,29816455,1461696648.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/1.0.1,1.0.1,,2016-04-26 18:54:47.567339,14925.0,53.0
