create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.inputA.values,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-10 09:58:08.382950,slurm_normal,1491818296.0,0,,1.0,main_w3_handler1,3065775,15539429,False,,304939,bed,9664786.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""100""","[{'src': 'hda', 'id': 29147979}]","""false""",32.0,,37069650,1491818291.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-04-10 09:58:17.579773,95292.0,5.0
2017-05-29 16:42:20.480569,slurm_normal,1496076176.0,0,,1.0,main_w4_handler1,3000196,15961653,False,,1279239,bed,10058560.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","""rn6""","""0""","[{'src': 'hda', 'id': 29807596}]","""false""",32.0,,36942833,1496076171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-05-29 16:42:58.040659,19796.0,5.0
2017-06-02 07:33:19.612806,slurm_normal,1496388817.0,0,,1.0,main_w3_handler0,3116449,15997146,False,,1876582,bed,10091636.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1000""","[{'src': 'hda', 'id': 29861708}]","""false""",32.0,,37626051,1496388811.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-06-02 07:33:38.856592,104750.0,6.0
2017-06-02 07:27:22.173788,slurm_normal,1496388536.0,0,,1.0,main_w3_handler0,3116449,15997108,False,,1876582,bed,10091579.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""500""","[{'src': 'hda', 'id': 29861708}]","""false""",32.0,,37626051,1496388530.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-06-02 07:29:00.891183,104750.0,6.0
2017-06-02 07:34:01.326215,slurm_normal,1496388863.0,0,,1.0,main_w4_handler0,3116449,15997149,False,,1876582,bed,10091643.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""5000""","[{'src': 'hda', 'id': 29861708}]","""false""",32.0,,37626051,1496388857.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-06-02 07:34:26.124093,104750.0,6.0
2017-04-10 17:58:58.382224,slurm_normal,1491847167.0,0,,1.0,main_w3_handler1,3065070,15544089,False,,820539,bed,9668990.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2500""","[{'src': 'hda', 'id': 29154325}]","""false""",32.0,,37226441,1491847162.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-04-10 17:59:31.776889,93861.0,5.0
2017-04-10 08:39:28.183028,slurm_normal,1491813575.0,0,,1.0,main_w4_handler1,3065775,15538971,False,,304939,bed,9664353.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""10""","[{'src': 'hda', 'id': 29143069}]","""false""",32.0,,37069650,1491813570.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-04-10 08:39:38.342638,95292.0,5.0
2017-04-10 11:10:39.927648,slurm_normal,1491822648.0,0,,1.0,main_w3_handler1,3065811,15539874,False,,1530248,bed,9665239.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""10""","[{'src': 'hda', 'id': 29148628}]","""false""",32.0,,37069650,1491822642.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-04-10 11:10:51.144435,95292.0,6.0
2017-04-27 23:24:16.011958,slurm_normal,1493335466.0,0,,1.0,main_w3_handler1,2702820,15696734,False,,3658695,bed,9809766.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""5000""","[{'src': 'hda', 'id': 29391561}]","""false""",32.0,,36942833,1493335460.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-04-27 23:24:29.000472,19796.0,6.0
2017-05-03 03:00:55.742353,slurm_normal,1493780462.0,0,,1.0,main_w3_handler1,3095575,15731458,False,,0,bedstrict,9841932.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","[{'src': 'hda', 'id': 29444311}]","""false""",32.0,,37716749,1493780458.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-05-03 03:01:03.426887,99381.0,4.0
2017-05-04 14:29:49.279647,slurm_normal,1493908236.0,0,,1.0,main_w4_handler0,3098410,15749391,False,,375272,bed,9858192.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","[{'src': 'hda', 'id': 29473133}]","""false""",32.0,,37698287,1493908231.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-05-04 14:30:41.062428,17631.0,5.0
2017-05-11 22:02:15.746401,slurm_normal,1494540716.0,0,,1.0,main_w4_handler0,3100174,15820712,False,,392,bed,9923850.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0""","[{'src': 'hda', 'id': 29490327}]","""false""",32.0,,37919348,1494540711.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-05-11 22:12:03.070114,99381.0,5.0
2017-05-11 22:31:47.893760,slurm_normal,1494542305.0,0,,1.0,main_w3_handler0,3100174,15820846,False,,392,bed,9923981.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0""","[{'src': 'hda', 'id': 29500221}]","""false""",32.0,,37919348,1494542294.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-05-11 22:38:28.276591,99381.0,11.0
2017-05-11 22:15:48.980688,slurm_normal,1494541059.0,0,,1.0,main_w3_handler1,3100174,15820758,False,,101197,bed,9923910.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0""","[{'src': 'hda', 'id': 29500220}]","""false""",32.0,,37919348,1494541053.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-05-11 22:17:46.364742,99381.0,6.0
2017-05-12 01:26:28.740657,slurm_normal,1494552619.0,0,,1.0,main_w3_handler0,3100174,15821521,False,,1309886,bed,9924636.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0""","[{'src': 'hda', 'id': 29575917}]","""false""",32.0,,37922971,1494552614.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-05-12 01:30:25.189492,99381.0,5.0
2017-05-12 11:29:33.364468,slurm_normal,1494604668.0,0,,1.0,main_w3_handler0,3105593,15823610,False,,204376,bed,9926309.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0""","[{'src': 'hda', 'id': 29579184}]","""false""",32.0,,37874922,1494604663.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-05-12 15:58:09.674891,,5.0
2017-05-15 15:58:03.614708,slurm_normal,1494863894.0,0,,1.0,main_w3_handler1,2999814,15839851,False,,17250,bed,9940807.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1000""","[{'src': 'hda', 'id': 29604134}]","""false""",32.0,,36679188,1494863891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.26.0.0,2.26.0.0,,2017-05-15 15:58:17.217031,49881.0,3.0
