create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_1,input_1_filetype,input_2,input_2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_1,parameters.input_1.values,parameters.input_2,parameters.input_2.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-06-21 15:26:39.052365,slurm_normal,1466522820.0,0,1.0,main_w2_handler1,2745846,13226053,False,,59529,tabular,818,tabular,7410797.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d1fd8032e2eaca1'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5793d0f2201b0b39d'}]",32.0,,30996667,1466522815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2016-06-21 15:27:05.684499,,5.0
2016-06-21 15:59:43.300115,slurm_normal,1466524799.0,0,1.0,main_w2_handler1,2745846,13226345,False,,59529,tabular,818,tabular,7411099.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d1fd8032e2eaca1'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5793d0f2201b0b39d'}]",32.0,,30996667,1466524795.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2016-06-21 16:00:00.075030,,4.0
2016-06-29 04:10:52.154485,slurm_normal,1467173497.0,0,1.0,main_w2_handler0,2407870,13283953,False,,1637,gg,258,gg,7473418.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bd0b0a637d860446'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b5aa83f4afef29ea'}]",32.0,,30048218,1467173494.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2016-06-29 04:11:40.085860,67737.0,3.0
2016-06-29 04:46:00.623998,slurm_normal,1467175607.0,0,1.0,main_w2_handler1,2407870,13283986,False,,1384,gg,258,gg,7473654.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ceabefadda0a10f4'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b570e0368f6783e312'}]",32.0,,30048218,1467175602.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2016-06-29 04:46:49.051552,67737.0,5.0
2014-09-23 02:36:19.922423,roundup_single,1411439791.0,0,1.0,main_w1_handler1,2062344,7833831,False,,945,table,575,table,1818302,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16983243,,16983244,,32.0,,17142056,1411439789.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2014-09-23 02:36:34.006533,,2.0
2014-09-23 02:24:25.630843,roundup_single,1411439081.0,0,1.0,main_w2_handler0,2062344,7833799,False,,1638,tabular,744,tabular,1818244,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16983158,,16983159,,32.0,,17142056,1411439078.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2014-09-23 02:24:42.666541,,3.0
2014-09-23 02:20:13.195328,roundup_single,1411438823.0,0,1.0,main_w2_handler1,2062344,7833791,False,,1638,tabular,744,tabular,1818216,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16983158,,16983159,,32.0,,17142056,1411438821.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2014-09-23 02:20:25.128723,,2.0
2014-09-23 03:06:17.905194,roundup_single,1411441597.0,0,1.0,main_w1_handler0,2062344,7834035,False,,426,tabular,225,tabular,1818430,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16983510,,16983511,,32.0,,17142056,1411441594.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2014-09-23 03:06:38.430606,,3.0
2014-09-23 03:13:13.821034,roundup_single,1411442007.0,0,1.0,main_w1_handler0,2062344,7834046,False,,426,tabular,225,tabular,1818443,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16983510,,16983511,,32.0,,17142056,1411442005.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2014-09-23 03:13:27.863478,,2.0
2015-01-13 09:17:27.186123,rodeo_normal,1421140661.0,0,1.0,main_w1_handler0,1811319,8537381,False,,867772,tabular,1303,tabular,754037.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18194716,,18194698,,2.0,,20393554,1421140657.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2015-01-13 09:17:44.267353,45329.0,4.0
2014-10-17 14:01:36.036110,rodeo_normal,1413554506.0,0,1.0,main_w1_handler0,2087675,7998343,False,,46780,tabular,115,tabular,36006.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17261022,,17261004,,2.0,,17682492,1413554504.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2014-10-17 14:01:48.656115,54425.0,2.0
2014-10-17 14:07:12.950974,rodeo_normal,1413554846.0,0,1.0,main_w2_handler1,2087675,7998358,False,,46662,tabular,115,tabular,36023.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17261057,,17261004,,2.0,,17682492,1413554843.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2014-10-17 14:07:30.337420,54425.0,3.0
2014-10-17 14:19:11.359750,rodeo_normal,1413555568.0,0,1.0,main_w2_handler0,2087675,7998401,False,,46542,tabular,115,tabular,36066.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17261114,,17261004,,2.0,,17682492,1413555565.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2014-10-17 14:19:34.152883,54425.0,3.0
2014-10-17 14:54:14.956973,rodeo_normal,1413557669.0,0,1.0,main_w2_handler1,2087675,7998652,False,,46542,tabular,115,tabular,36274.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17261593,,17261583,,2.0,,17682492,1413557665.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2014-10-17 14:54:35.032399,54425.0,4.0
2015-01-20 04:00:38.149251,rodeo_normal,1421726462.0,0,1.0,main_w1_handler1,2178659,8572044,False,,48,tabular,31,tabular,2509906.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18248073,,18248074,,32.0,,20566130,1421726459.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2015-01-20 04:01:05.060502,,3.0
2015-01-20 05:28:32.578473,rodeo_normal,1421731729.0,0,1.0,main_w2_handler0,2178659,8572154,False,,48,tabular,31,tabular,2510116.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18248201,,18248202,,32.0,,20566130,1421731728.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2015-01-20 05:28:50.810276,,1.0
2015-01-27 09:20:46.981164,rodeo_normal,1422350464.0,0,1.0,main_w2_handler1,2185570,8612087,False,,48,tabular,31,tabular,2575002.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18308480,,18308481,,32.0,,20566130,1422350461.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/generate_pc_lda_matrix/generate_matrix_for_pca_and_lda1/1.0.0,1.0.0,,2015-01-27 09:21:06.672664,,3.0
