create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.cutoff,parameters.cutoff_analysis,parameters.dbkey,parameters.infile.values,parameters.infile|__identifier__,parameters.maxgap,parameters.minlen,parameters.notrackline,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-07-05 10:41:00.898064,slurm_normal,1499251407.0,0,,1.0,main_w3_handler0,2314201,16260803,False,2899086750,bedgraph,,10332408.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""false""","""hg19""","[{'src': 'hda', 'id': 30296298}]",,"""30""","""200""","""false""",32.0,,38306123.0,1499251273.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.1.20160309.0,2.1.1.20160309.0,,2017-07-05 10:43:29.915089,63797.0,134.0
2017-07-05 10:51:06.542908,slurm_normal,1499252015.0,0,,1.0,main_w4_handler1,2314201,16260863,False,1954081303,bedgraph,,10332453.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""false""","""hg19""","[{'src': 'hda', 'id': 30296307}]",,"""30""","""200""","""false""",32.0,,38306123.0,1499251888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.1.20160309.0,2.1.1.20160309.0,,2017-07-05 10:53:45.628286,63797.0,127.0
2017-04-13 10:25:32.215051,slurm_normal,1492079305.0,0,,1.0,main_w4_handler1,3003715,15574523,False,860955198,bedgraph,,9697135.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""5.0""","""false""","""hg19""","[{'src': 'hda', 'id': 29199003}]",,"""30""","""200""","""false""",32.0,,37305872.0,1492079163.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-13 10:28:32.848622,100565.0,142.0
2017-04-18 02:16:25.883426,slurm_normal,1492481898.0,0,,1.0,main_w4_handler0,2804648,15610575,False,436698634,bedgraph,,9729767.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""false""","""?""","[{'src': 'hda', 'id': 29243259}]",,"""30""","""200""","""false""",32.0,,37346133.0,1492481871.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-18 02:18:22.265895,79084.0,27.0
2017-04-18 02:16:25.305382,slurm_normal,1492481860.0,0,,1.0,main_w4_handler0,2804648,15610572,False,434692511,bedgraph,,9729762.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""false""","""?""","[{'src': 'hda', 'id': 29243256}]",,"""30""","""200""","""false""",32.0,,37346133.0,1492481834.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-18 02:17:43.557992,79084.0,26.0
2017-04-18 02:16:26.108704,slurm_normal,1492481903.0,0,,1.0,main_w4_handler0,2804648,15610576,False,448358676,bedgraph,,9729768.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""false""","""?""","[{'src': 'hda', 'id': 29243260}]",,"""30""","""200""","""false""",32.0,,37346133.0,1492481878.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-18 02:18:25.103521,79084.0,25.0
2017-05-31 17:01:48.807872,slurm_normal,1496250545.0,0,,1.0,main_w3_handler1,3105763,15980929,False,902011242,bedgraph,,10076253.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm6.len""","""5.0""","""false""","""dm6""","[{'src': 'hda', 'id': 29824696}]",,"""30""","""200""","""false""",32.0,,38317723.0,1496250466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.1.20160309.0,2.1.1.20160309.0,,2017-05-31 17:09:08.965074,89066.0,79.0
2017-05-31 17:01:48.201083,slurm_normal,1496250529.0,0,,1.0,main_w3_handler1,3105763,15980928,False,980646168,bedgraph,,10076252.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm6.len""","""5.0""","""false""","""dm6""","[{'src': 'hda', 'id': 29824695}]",,"""30""","""200""","""false""",32.0,,38317723.0,1496250456.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.1.20160309.0,2.1.1.20160309.0,,2017-05-31 17:08:51.145521,89066.0,73.0
2017-06-01 03:15:21.025512,slurm_normal,1496287059.0,0,,1.0,main_w4_handler0,2585933,15985001,False,1963348526,bedgraph,,10080250.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""5.0""","""false""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 29810991}]",,"""30""","""200""","""false""",32.0,,38278358.0,1496286931.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.1.20160309.0,2.1.1.20160309.0,,2017-06-01 03:17:42.293998,74793.0,128.0
2017-04-19 19:49:00.316798,slurm_normal,1492631443.0,0,,1.0,main_w3_handler1,2403436,15628639,False,1553554628,bedgraph,,9747341.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""5.0""","""false""","""?""","[{'src': 'hda', 'id': 29281980}]",,"""30""","""200""","""false""",32.0,,37435616.0,1492631356.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgpeakcall/2.1.1.20160309.0,2.1.1.20160309.0,,2017-04-19 19:50:45.514163,44256.0,87.0
