chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_10|input_bam,input_bams_10|input_bam_filetype,input_bams_11|input_bam,input_bams_11|input_bam_filetype,input_bams_12|input_bam,input_bams_12|input_bam_filetype,input_bams_13|input_bam,input_bams_13|input_bam_filetype,input_bams_14|input_bam,input_bams_14|input_bam_filetype,input_bams_15|input_bam,input_bams_15|input_bam_filetype,input_bams_16|input_bam,input_bams_16|input_bam_filetype,input_bams_17|input_bam,input_bams_17|input_bam_filetype,input_bams_18|input_bam,input_bams_18|input_bam_filetype,input_bams_19|input_bam,input_bams_19|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_20|input_bam,input_bams_20|input_bam_filetype,input_bams_21|input_bam,input_bams_21|input_bam_filetype,input_bams_22|input_bam,input_bams_22|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,input_bams_3|input_bam,input_bams_3|input_bam_filetype,input_bams_4|input_bam,input_bams_4|input_bam_filetype,input_bams_5|input_bam,input_bams_5|input_bam_filetype,input_bams_6|input_bam,input_bams_6|input_bam_filetype,input_bams_7|input_bam,input_bams_7|input_bam_filetype,input_bams_8|input_bam,input_bams_8|input_bam_filetype,input_bams_9|input_bam,input_bams_9|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advanced_options.__current_case__,parameters.advanced_options.advanced_options_selector,parameters.advanced_options.coverage_dtype,parameters.advanced_options.safe,parameters.chromInfo,parameters.coverage_dtype,parameters.dbkey,parameters.input_bams_0|input_bam|__identifier__,parameters.min_base_quality,parameters.min_mapping_quality,parameters.min_support_depth,parameters.ploidy,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.regions,parameters.use_strand,parameters.variants_only,processor_count,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-27 00:34:29.260716,slurm_normal_dynamic_mem,1517013467.0,0,1.0,main_w4_handler0,3405913,18172489,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12253775,slurm,,132112168.0,corral-repl,,"""c37a3aba02f911e8a532005056ba2773""",1.0,advanced,uint8,false,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""uint16""","""Homo_sapiens_nuHg19_mtrCRS""",,"""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 33526262}]}}]",Homo_sapiens_nuHg19_mtrCRS,,,,cached,[],"""true""","""true""",32.0,,,509285.0,bam,,,1517013461.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2018-01-27 00:37:51.161356,120686.0,6.0
,,2018-01-27 00:52:36.938262,slurm_normal_dynamic_mem,1517014718.0,0,1.0,main_w4_handler0,3406907,18172605,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12254000,slurm,,132112168.0,corral-repl,,"""4504657202fc11e8a604005056ba2773""",1.0,advanced,uint8,false,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""uint16""","""Homo_sapiens_nuHg19_mtrCRS""",,"""20""","""""","""10""","""1""",0.0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 33526507}]}}]",Homo_sapiens_nuHg19_mtrCRS,,,,cached,[],"""true""","""true""",32.0,,,465822.0,bam,,,1517014680.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2018-01-27 00:58:49.106465,120686.0,38.0
,,2015-03-15 10:24:04.937973,slurm_normal_single_16gb,1426415078.0,0,1.0,main_w1_handler1,2236372,8950969,False,,1302182.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3171472.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",,"""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 18858863}]",hg19,,,,cached,[],"""False""","""False""",32.0,,,,,,21806477.0,1426415054.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-03-15 10:24:39.742115,60463.0,24.0
,,2015-07-26 23:27:15.000183,slurm_normal_16gb,1437972538.0,0,1.0,main_w2_handler0,2391066,10002193,False,,32303256.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4284757.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",,"""20""","""""","""10""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20571858}]",hg19,,,,cached,[],"""False""","""False""",32.0,,,,,,24324661.0,1437953255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-27 04:49:03.509478,66938.0,19283.0
,,2015-07-26 21:29:05.142231,slurm_normal_16gb,1437973223.0,0,1.0,main_w1_handler1,2391138,10000489,False,,5423015.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4285452.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",,"""hg_g1k_v37""",,"""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20570166}]",Homo_sapiens_AK1,,,,cached,[],"""False""","""False""",32.0,,,,,,24233526.0,1437964990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-27 05:00:27.746483,66588.0,8233.0
,,2015-07-27 03:07:52.041248,slurm_normal_16gb,1437983509.0,0,1.0,main_w1_handler2,2369855,10003066,False,Job output deleted by user before job completed.,8273865.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4286053.roundup,slurm,,132112168.0,corral-repl,,"""a4638d98340c11e59e0d005056a51846""",0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",,"""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20573774}]",,UnvalidatedValue,hg19,,cached,[],"""False""","""False""",32.0,,,,,,24017621.0,1437976899.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-27 07:51:52.670413,65708.0,6610.0
,,2015-07-27 08:15:19.573692,slurm_normal_16gb,1437986364.0,0,1.0,main_w1_handler2,2386367,10004320,False,,23742493.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4286733.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",,"""20""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20575286}]",12931,,,,cached,[],"""False""","""False""",32.0,,,,,,24275332.0,1437984937.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-27 08:39:26.203656,66551.0,1427.0
,,2015-07-27 03:07:50.691965,slurm_normal_16gb,1437973871.0,0,1.0,main_w2_handler1,2369855,10003064,False,,8273871.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4285539.roundup,slurm,,132112168.0,corral-repl,,"""a4638d98340c11e59e0d005056a51846""",0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",,"""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20573772}]",,UnvalidatedValue,hg19,,cached,[],"""False""","""False""",32.0,,,,,,24017621.0,1437966566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-27 05:11:14.490367,65708.0,7305.0
,,2015-07-26 21:29:05.943796,slurm_normal_16gb,1437987518.0,0,1.0,main_w2_handler0,2391138,10000490,False,,4362884.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4286470.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",,"""hg_g1k_v37""",,"""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20570167}]",Homo_sapiens_AK1,,,,cached,[],"""False""","""False""",32.0,,,,,,24233526.0,1437981116.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-27 08:58:42.161168,66588.0,6402.0
,,2015-07-26 21:29:03.358428,slurm_normal_16gb,1437981102.0,0,1.0,main_w2_handler1,2391138,10000488,False,,4577434.0,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4285871.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",,"""hg_g1k_v37""",,"""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20570165}]",Homo_sapiens_AK1,,,,cached,[],"""False""","""False""",32.0,,,,,,24233526.0,1437973236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-27 07:11:46.485131,66588.0,7866.0
