chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.boxit,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.input2,parameters.input2.values,parameters.input2|__identifier__,parameters.wordsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-02-25 02:07:21.842791,rodeo_normal,1424830052.0,1.0,,1.0,main_w1_handler0,2204901,8808937,False,,4780,fasta,4785,fasta,2906626.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18511274,,,18638419,,,"""4""",32.0,,21250956,1424830048.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2015-02-25 02:07:33.463356,59590.0,4.0
,,2016-07-23 01:36:00.944196,slurm_normal,1469237803.0,1.0,,1.0,main_w2_handler0,2773667,13475041,False,,4690014,fasta,4540913,fasta,7690346.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5529316862891c79f'}]",,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52c32d65aa504411d'}]",,"""128""",32.0,,31659204,1469237775.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2016-07-23 01:36:44.834151,,28.0
,,2015-02-14 22:16:45.302090,rodeo_normal,1423952232.0,1.0,,1.0,main_w1_handler1,2204889,8727472,False,,4780,fasta,4705,fasta,2762013.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18515063,,,18515062,,,"""4""",32.0,,21260644,1423952227.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2015-02-14 22:17:14.441481,59586.0,5.0
,,2015-03-29 02:35:43.697363,rodeo_normal,1427596571.0,1.0,,1.0,main_w2_handler0,2252849,9075757,False,,1057,fasta,1048,fasta,3362196.roundup,slurm,,132112168.0,corral-repl,,"""4b2d909cd5bc11e48512005056a51846""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19047091,,,19048613,,,"""6""",32.0,,21257082,1427596568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2015-03-29 02:36:14.483554,59590.0,3.0
,,2017-09-13 16:59:25.051018,slurm_normal,1505321977.0,1.0,,1.0,main_w4_handler0,3251911,16808039,False,,334,fasta,334,fasta,10877026.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31217451}]",,,"[{'src': 'hda', 'id': 31217451}]",,"""4""",32.0,,40478749,1505321973.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2017-09-13 16:59:39.637576,,4.0
,,2016-01-19 13:18:56.323518,slurm_normal,1453209635.0,1.0,,1.0,main_w2_handler0,2570267,11544824,False,,440,txt,509,fasta,5811062.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",22954401,,,22954302,,,"""4""",32.0,,27545742,1453209583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2016-01-19 13:20:45.415392,,52.0
,,2015-02-21 04:55:11.986265,rodeo_normal,1424494519.0,1.0,,1.0,main_w1_handler1,2204914,8781644,False,,3237,fasta,3250,fasta,2858951.roundup,slurm,,132112168.0,corral-repl,,"""d0a959d4b98511e49389005056a51846""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18497613,,,18594457,,,"""8""",32.0,,21233612,1424494516.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2015-02-21 04:55:20.702518,59587.0,3.0
,,2017-09-29 14:22:49.427179,slurm_normal,1506694978.0,1.0,,1.0,main_w3_handler1,3270739,16973068,False,,37,fasta,37,fasta,11040822.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31481475}]",,,"[{'src': 'hda', 'id': 31481475}]",,"""2""",32.0,,40961205,1506694975.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2017-09-29 14:23:02.012833,111602.0,3.0
,,2017-11-02 15:17:26.673957,slurm_normal,1509635880.0,1.0,,1.0,main_w3_handler0,3308232,17302984,False,,13025,fasta,2712,fasta,11363500,slurm,,132112168.0,corral-repl,,,"""yes""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32029297}]",,,"[{'src': 'hda', 'id': 32029309}]",,"""4""",32.0,,41695636,1509635874.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2017-11-02 15:18:03.658207,,6.0
,,2017-01-24 21:22:32.153894,slurm_normal,1485292982.0,1.0,,1.0,main_w3_handler1,2940492,14860224,False,,1960654,fasta,3988269,fasta,9019820.roundup,slurm,,132112168.0,corral-repl,,,"""yes""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28067675}]",,,"[{'src': 'hda', 'id': 28067642}]",,"""4""",32.0,,35556292,1485292956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: dottup26/5.0.0,5.0.0,,2017-01-24 21:23:04.583147,97420.0,26.0
