create_time,db,db_filetype,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile_denovo,infile_denovo_filetype,infile_reference,infile_reference_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.abskew,parameters.chromInfo,parameters.dbkey,parameters.detection_mode.__current_case__,parameters.detection_mode.db,parameters.detection_mode.db.values,parameters.detection_mode.detection_mode_select,parameters.detection_mode.infile_denovo,parameters.detection_mode.infile_denovo.values,parameters.detection_mode.infile_reference,parameters.detection_mode.infile_reference.values,parameters.dn,parameters.infile_denovo|__identifier__,parameters.mindiffs,parameters.mindiv,parameters.minh,parameters.outputs,parameters.self_param,parameters.selfid_param,parameters.xn,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-07 20:25:49.375739,,,slurm_normal,1491597371.0,0,,1.0,main_w4_handler1,3062439,15526383,False,22882579.0,fasta,,,,9653150.roundup,slurm,,132112168.0,corral-repl,,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,,"[{'src': 'hda', 'id': 29125985}]",,,"""1.4""","""Pear on data 84 and data 83: Assembled reads""","""3""","""0.8""","""0.28""","[""nonchimeras""]","""false""","""false""","""8.0""",32.0,,37167771.0,1491597236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0,1.9.7.0,,2017-04-07 20:36:15.284312,76210.0,135.0
2017-04-07 20:25:19.554290,,,slurm_normal,1491597594.0,0,,1.0,main_w4_handler1,3062439,15526334,False,23213551.0,fasta,,,,9653203.roundup,slurm,,132112168.0,corral-repl,,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,,"[{'src': 'hda', 'id': 29125928}]",,,"""1.4""","""Pear on data 174 and data 173: Assembled reads""","""3""","""0.8""","""0.28""","[""nonchimeras""]","""false""","""false""","""8.0""",32.0,,37167771.0,1491597470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0,1.9.7.0,,2017-04-07 20:39:56.729419,76210.0,124.0
2017-04-07 20:25:25.582458,,,slurm_normal,1491597471.0,0,,1.0,main_w4_handler0,3062439,15526347,False,13660565.0,fasta,,,,9653193.roundup,slurm,,132112168.0,corral-repl,,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,,"[{'src': 'hda', 'id': 29125941}]",,,"""1.4""","""Pear on data 148 and data 147: Assembled reads""","""3""","""0.8""","""0.28""","[""nonchimeras""]","""false""","""false""","""8.0""",32.0,,37167771.0,1491597423.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0,1.9.7.0,,2017-04-07 20:37:53.600380,76210.0,48.0
2017-04-07 20:25:29.064953,,,slurm_normal,1491597856.0,0,,1.0,main_w3_handler1,3062439,15526355,False,13040672.0,fasta,,,,9653266.roundup,slurm,,132112168.0,corral-repl,,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,,"[{'src': 'hda', 'id': 29125949}]",,,"""1.4""","""Pear on data 134 and data 133: Assembled reads""","""3""","""0.8""","""0.28""","[""nonchimeras""]","""false""","""false""","""8.0""",32.0,,37167771.0,1491597813.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0,1.9.7.0,,2017-04-07 20:44:20.138918,76210.0,43.0
2017-04-07 20:25:23.074298,,,slurm_normal,1491598269.0,0,,1.0,main_w4_handler1,3062439,15526341,False,9617211.0,fasta,,,,9653331.roundup,slurm,,132112168.0,corral-repl,,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,,"[{'src': 'hda', 'id': 29125935}]",,,"""1.4""","""Pear on data 160 and data 159: Assembled reads""","""3""","""0.8""","""0.28""","[""nonchimeras""]","""false""","""false""","""8.0""",32.0,,37167771.0,1491598242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0,1.9.7.0,,2017-04-07 20:51:12.151009,76210.0,27.0
2017-04-07 20:25:26.943913,,,slurm_normal,1491597936.0,0,,1.0,main_w4_handler0,3062439,15526351,False,14936276.0,fasta,,,,9653272.roundup,slurm,,132112168.0,corral-repl,,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,,"[{'src': 'hda', 'id': 29125944}]",,,"""1.4""","""Pear on data 142 and data 141: Assembled reads""","""3""","""0.8""","""0.28""","[""nonchimeras""]","""false""","""false""","""8.0""",32.0,,37167771.0,1491597881.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0,1.9.7.0,,2017-04-07 20:45:41.188696,76210.0,55.0
2017-04-07 20:25:36.785792,,,slurm_normal,1491598189.0,0,,1.0,main_w4_handler0,3062439,15526362,False,15704600.0,fasta,,,,9653319.roundup,slurm,,132112168.0,corral-repl,,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,,"[{'src': 'hda', 'id': 29125956}]",,,"""1.4""","""Pear on data 120 and data 119: Assembled reads""","""3""","""0.8""","""0.28""","[""nonchimeras""]","""false""","""false""","""8.0""",32.0,,37167771.0,1491598123.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0,1.9.7.0,,2017-04-07 20:49:52.829404,76210.0,66.0
2017-04-07 20:26:08.816894,,,slurm_normal,1491599447.0,0,,1.0,main_w4_handler1,3062439,15526417,False,19817997.0,fasta,,,,9653457.roundup,slurm,,132112168.0,corral-repl,,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,,"[{'src': 'hda', 'id': 29126017}]",,,"""1.4""","""Pear on data 20 and data 19: Assembled reads""","""3""","""0.8""","""0.28""","[""nonchimeras""]","""false""","""false""","""8.0""",32.0,,37167771.0,1491599350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0,1.9.7.0,,2017-04-07 21:10:48.546198,76210.0,97.0
2017-04-07 20:25:36.367206,,,slurm_normal,1491598106.0,0,,1.0,main_w3_handler1,3062439,15526361,False,23617673.0,fasta,,,,9653292.roundup,slurm,,132112168.0,corral-repl,,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,,"[{'src': 'hda', 'id': 29125955}]",,,"""1.4""","""Pear on data 122 and data 121: Assembled reads""","""3""","""0.8""","""0.28""","[""nonchimeras""]","""false""","""false""","""8.0""",32.0,,37167771.0,1491597962.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0,1.9.7.0,,2017-04-07 20:48:35.573086,76210.0,144.0
2017-03-08 07:56:37.754238,347.0,fasta,slurm_normal,1488959806.0,0,,1.0,main_w3_handler0,3009978,15240253,False,,,3817.0,fasta,,9388252.roundup,slurm,,132112168.0,corral-repl,,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,"[{'src': 'hda', 'id': 28640359}]",reference,,,,"[{'src': 'hda', 'id': 28644000}]","""1.4""",,"""3""","""0.8""","""0.28""",,"""false""","""false""","""8.0""",32.0,,36503906.0,1488959800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0,1.9.7.0,,2017-03-08 07:56:48.217890,99424.0,6.0
