chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_vcf,input_vcf_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.failure_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_vcf.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-10-24 13:57:36.145681,slurm_normal,1508853469.0,1,,1.0,main_w3_handler0,3050133,17197158,False,,2283652,vcf,11256464,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19Patch10.len""","""hg19Patch10""","""-x""",0,"[{'src': 'hda', 'id': 31839354}]",hg19,,cached,32.0,,,,41482281,1508853463.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-24 13:57:51.362792,7019.0,6.0
,,2017-10-24 14:36:54.608383,slurm_normal,1508855833.0,0,,1.0,main_w4_handler1,3050133,17197692,False,,2283652,vcf,11257188,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19Patch10.len""","""hg19Patch10""","""-x""",0,"[{'src': 'hda', 'id': 31839354}]",hg_g1k_v37,,cached,32.0,,,,41482281,1508855826.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-24 14:37:18.870270,7019.0,7.0
,,2017-10-24 17:15:26.714393,slurm_normal,1508865556.0,1,,1.0,main_w4_handler1,3298466,17200435,False,,2540746,vcf,11259683,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",0,"[{'src': 'hda', 'id': 31857461}]",hg_g1k_v37,,cached,32.0,,,,41493438,1508865551.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-24 17:21:05.723763,,5.0
,,2017-10-24 19:06:23.372246,slurm_normal,1508872055.0,0,,1.0,main_w4_handler1,3050133,17202066,False,,11183321,vcf,11261162,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""","""-x""",0,"[{'src': 'hda', 'id': 31854333}]",hg_g1k_v37,,cached,32.0,,,,41482281,1508872015.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-24 19:08:53.209169,7019.0,40.0
,,2017-10-24 19:05:02.493093,slurm_normal,1508871942.0,0,,1.0,main_w4_handler1,3050133,17202056,False,,2283652,vcf,11261137,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""","""-x""",0,"[{'src': 'hda', 'id': 31854321}]",hg_g1k_v37,,cached,32.0,,,,41482281,1508871936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-24 19:06:49.565354,7019.0,6.0
,,2017-10-24 20:38:14.436874,slurm_normal,1508877622.0,0,,1.0,main_w4_handler0,3280306,17202693,False,,546539339,vcf,11262290,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",1,"[{'src': 'hda', 'id': 31624557}]",,"[{'src': 'hda', 'id': 31612062}]",history,32.0,4842355.0,fasta,,41497047,1508877506.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-24 20:40:24.380590,97293.0,116.0
,,2017-10-24 23:49:17.344361,slurm_normal,1508888977.0,0,,1.0,main_w4_handler0,3298528,17204051,False,,2524423,vcf,11263789,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",0,"[{'src': 'hda', 'id': 31864601}]",hg19,,cached,32.0,,,,41494782,1508888970.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2017-10-24 23:49:41.605396,,7.0
,,2018-01-23 15:38:26.768433,slurm_normal,1516721921.0,1,,1.0,main_w3_handler0,2680044,18134998,False,,24576346,vcf,12214528,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19Patch10.len""","""hg19Patch10""","""-k""",0,"[{'src': 'hda', 'id': 24474125}]",Homo_sapiens_nuHg19_mtrCRS,,cached,32.0,,,,43367524,1516721914.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-23 15:38:42.244529,83147.0,7.0
17.0,len,2018-01-03 18:54:39.459304,slurm_normal,1515005686.0,0,,1.0,main_w4_handler0,3381217,17939033,False,,196772,vcf,12015052,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/022/957/dataset_22957159.dat""","""?""","""-x""",1,"[{'src': 'hda', 'id': 33162312}]",,"[{'src': 'hda', 'id': 33162289}]",history,32.0,19329.0,fasta,,42963177,1515005682.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-03 18:54:48.767084,38729.0,4.0
,,2018-01-05 04:41:04.334672,slurm_normal,1515127275.0,1,,1.0,main_w4_handler0,3382489,17950863,False,,16737254,vcf,12027300,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""-x""",0,"[{'src': 'hda', 'id': 33181985}]",hg19,,cached,32.0,,,,42993488,1515127269.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/1.0.0_rc1.0,1.0.0_rc1.0,,2018-01-05 04:41:17.367030,119402.0,6.0
