chromInfo,chromInfo_filetype,corData,corData_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.corData.values,parameters.corData|__identifier__,parameters.corMethod,parameters.dbkey,parameters.outFileCorMatrix,parameters.outFileFormat,parameters.plotting_type.__current_case__,parameters.plotting_type.colorMap,parameters.plotting_type.plotNumbers,parameters.plotting_type.plotTitle,parameters.plotting_type.whatToPlot,parameters.plotting_type.zMax,parameters.plotting_type.zMin,parameters.removeOutliers,parameters.skipZeros,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2535,deeptools_coverage_matrix,2017-07-11 13:56:30.237580,slurm_normal,1499781714.0,0,,1.0,main_w4_handler1,3188976,16310239,False,,10377834.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 30388447}]",,"""spearman""","""?""","""false""","""png""",1.0,,,,scatterplot,,,"""false""","""false""",32.0,,39241733.0,1499781707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.5.0.0,2.5.0.0,,2017-07-11 14:01:56.006759,67439.0,7.0
,,337350,deeptools_coverage_matrix,2017-06-02 18:04:18.735214,slurm_normal,1496426686.0,0,,1.0,main_w3_handler1,3112342,16001606,False,,10095769.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 29869413}]",,"""spearman""","""hg19""","""true""","""png""",0.0,['RdYlBu'],true,,heatmap,,,"""false""","""false""",32.0,,38317298.0,1496426678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.5.0.0,2.5.0.0,,2017-06-02 18:04:51.821833,105886.0,8.0
,,327314,deeptools_coverage_matrix,2017-06-02 18:04:18.174532,slurm_normal,1496426688.0,0,,1.0,main_w3_handler1,3112342,16001605,False,,10095768.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 29869344}]",,"""spearman""","""hg19""","""true""","""png""",0.0,['RdYlBu'],true,,heatmap,,,"""false""","""false""",32.0,,38317298.0,1496426675.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.5.0.0,2.5.0.0,,2017-06-02 18:04:56.047103,105886.0,13.0
,,81975,deeptools_coverage_matrix,2017-04-03 15:10:14.619595,reserved,1491232226.0,0,,1.0,main_w3_handler1,3056182,15472734,False,,9602023.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer2.len""","[{'src': 'hda', 'id': 29045362}]",,"""spearman""","""sacCer2""","""false""","""png""",1.0,,,Reb1 experiment,scatterplot,,,"""false""","""false""",32.0,,35746799.0,1491232217.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.5.0.0,2.5.0.0,,2017-04-03 15:10:27.223424,621.0,9.0
,,81975,deeptools_coverage_matrix,2017-04-03 14:43:53.957409,reserved,1491230663.0,0,,1.0,main_w4_handler0,3056182,15472535,False,,9601835.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer2.len""","[{'src': 'hda', 'id': 29045362}]",,"""spearman""","""sacCer2""","""false""","""png""",0.0,['RdYlBu'],true,,heatmap,,,"""false""","""false""",32.0,,35746799.0,1491230639.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.5.0.0,2.5.0.0,,2017-04-03 14:44:25.731293,621.0,24.0
,,16896504,deeptools_coverage_matrix,2017-04-03 15:32:07.434233,slurm_normal,1491233548.0,0,,1.0,main_w3_handler0,2788464,15472962,False,,9602151.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 29045753}]",,"""spearman""","""hg19""","""false""","""pdf""",0.0,['RdYlBu'],true,,heatmap,,,"""false""","""false""",32.0,,36330861.0,1491233530.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.5.0.0,2.5.0.0,,2017-04-03 15:32:30.255196,66832.0,18.0
,,1705821,deeptools_coverage_matrix,2017-04-03 17:32:37.922492,slurm_normal,1491242739.0,0,,1.0,main_w3_handler1,3057293,15474437,False,,9603603.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","[{'src': 'hda', 'id': 29049167}]",,"""spearman""","""Arabidopsis_thaliana_TAIR10""","""false""","""png""",0.0,['RdYlBu'],false,H3K27me3 BAM Correlation,heatmap,,,"""true""","""false""",32.0,,35576189.0,1491242718.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.5.0.0,2.5.0.0,,2017-04-03 18:05:42.497382,79278.0,21.0
,,1705821,deeptools_coverage_matrix,2017-04-03 18:49:34.445209,slurm_normal,1491245393.0,0,,1.0,main_w3_handler1,3057293,15475086,False,,9603991.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","[{'src': 'hda', 'id': 29049167}]",,"""pearson""","""Arabidopsis_thaliana_TAIR10""","""false""","""png""",0.0,['RdYlBu'],false,H3K27me3 BAM Correlation,heatmap,,,"""true""","""false""",32.0,,35576189.0,1491245378.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.5.0.0,2.5.0.0,,2017-04-03 18:49:56.017666,79278.0,15.0
,,1705821,deeptools_coverage_matrix,2017-04-03 18:51:06.438864,slurm_normal,1491245484.0,0,,1.0,main_w4_handler1,3057293,15475097,False,,9604002.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","[{'src': 'hda', 'id': 29049167}]",,"""spearman""","""Arabidopsis_thaliana_TAIR10""","""false""","""png""",1.0,,,,scatterplot,,,"""true""","""false""",32.0,,35576189.0,1491245469.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.5.0.0,2.5.0.0,,2017-04-03 18:51:27.436061,79278.0,15.0
,,2092300,deeptools_coverage_matrix,2017-04-03 20:47:55.734183,slurm_normal,1491252494.0,0,,1.0,main_w3_handler1,3057293,15476095,False,,9604807.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","[{'src': 'hda', 'id': 29050378}]",,"""spearman""","""Arabidopsis_thaliana_TAIR10""","""false""","""png""",0.0,['RdYlBu'],false,H3K27me3 BAM Correlation,heatmap,,,"""true""","""false""",32.0,,35576189.0,1491252478.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/2.5.0.0,2.5.0.0,,2017-04-03 20:48:15.238849,79278.0,16.0
