create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1_chromCol,parameters.input1_column_types,parameters.input1_columns,parameters.input1_dbkey,parameters.input1_endCol,parameters.input1_nameCol,parameters.input1_startCol,parameters.input1_strandCol,parameters.mafType,parameters.mafType.__class__,parameters.mafType.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-16 07:46:00.987239,slurm_normal,1497599197.0,0.0,1.0,main_w4_handler0,3157611,16114217,False,,163309,bed,10196535.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 30050067}]",,,,,,,,,"""PAIRWISE_hg19_danRer5""",,,32.0,,38708177,1497599183.0,ok,1023996.0,Interval2Maf_pairwise1,1.0.1,,2017-06-16 07:46:42.122532,106248.0,14.0
2017-05-22 09:30:58.220280,slurm_normal,1495445492.0,0.0,1.0,main_w4_handler0,3110487,15904647,False,,173086,bed,10003013.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29713234}]",,,,,,,,,"""PAIRWISE_hg19_danRer5""",,,32.0,,37963562,1495445477.0,ok,1023996.0,Interval2Maf_pairwise1,1.0.1,,2017-05-22 09:31:36.448175,105807.0,15.0
2017-05-22 08:11:58.047280,slurm_normal,1495440743.0,0.0,1.0,main_w4_handler1,3121352,15903894,False,,173086,bed,10002444.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29712541}]",,,,,,,,,"""PAIRWISE_hg19_danRer5""",,,32.0,,37990733,1495440730.0,ok,1023996.0,Interval2Maf_pairwise1,1.0.1,,2017-05-22 08:12:24.980359,105891.0,13.0
2017-05-22 08:31:56.682206,slurm_normal,1495441942.0,0.0,1.0,main_w3_handler0,3121352,15903957,False,,163347,bed,10002504.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29712607}]",,,,,,,,,"""PAIRWISE_hg19_danRer5""",,,32.0,,37990733,1495441931.0,ok,1023996.0,Interval2Maf_pairwise1,1.0.1,,2017-05-22 08:32:24.538801,105891.0,11.0
2017-05-22 08:25:10.212606,slurm_normal,1495441531.0,0.0,1.0,main_w3_handler0,3121352,15903926,False,,17997,bed,10002475.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29712599}]",,,,,,,,,"""PAIRWISE_hg19_danRer5""",,,32.0,,37990733,1495441522.0,ok,1023996.0,Interval2Maf_pairwise1,1.0.1,,2017-05-22 08:25:34.436909,105891.0,9.0
2017-05-23 05:17:46.660284,slurm_normal,1495516681.0,0.0,1.0,main_w3_handler1,3112626,15912869,False,,17997,bed,10010857.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29726813}]",,,,,,,,,"""PAIRWISE_hg19_danRer5""",,,32.0,,37993828,1495516676.0,ok,1023996.0,Interval2Maf_pairwise1,1.0.1,,2017-05-23 05:18:06.472054,105905.0,5.0
2017-05-22 09:45:17.522811,slurm_normal,1495446347.0,0.0,1.0,main_w3_handler1,3110487,15904753,False,,163347,bed,10003104.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29713752}]",,,,,,,,,"""PAIRWISE_hg19_anoCar1""",,,32.0,,37963562,1495446334.0,ok,1023996.0,Interval2Maf_pairwise1,1.0.1,,2017-05-22 09:45:51.482944,105807.0,13.0
2017-05-22 09:50:01.728457,slurm_normal,1495446623.0,0.0,1.0,main_w4_handler0,3110487,15904791,False,,17997,bed,10003145.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29713701}]",,,,,,,,,"""PAIRWISE_hg19_anoCar1""",,,32.0,,37963562,1495446613.0,ok,1023996.0,Interval2Maf_pairwise1,1.0.1,,2017-05-22 09:50:30.837929,105807.0,10.0
2017-05-23 05:24:41.582988,slurm_normal,1495517103.0,0.0,1.0,main_w3_handler1,3123002,15912963,False,,17997,bed,10010951.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29726913}]",,,,,,,,,"""PAIRWISE_hg19_danRer5""",,,32.0,,38152531,1495517096.0,ok,1023996.0,Interval2Maf_pairwise1,1.0.1,,2017-05-23 05:25:06.708902,,7.0
2017-05-23 05:24:10.329992,slurm_normal,1495517065.0,0.0,1.0,main_w4_handler0,3112782,15912958,False,,17997,bed,10010947.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29726908}]",,,,,,,,,"""PAIRWISE_hg19_danRer5""",,,32.0,,37994938,1495517058.0,ok,1023996.0,Interval2Maf_pairwise1,1.0.1,,2017-05-23 05:24:26.585989,105922.0,7.0
