chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.regions,parameters.regions.values,processor_count,regions,regions_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-09 14:07:14.673395,roundup_single,1410271656.0,0,,1.0,main_w2_handler0,2043983,7670352,False,,58261,vcf,1657895,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",16684855,,16684888,,32.0,17236,bed,,16830734.0,1410271651.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_slice/vcftools_slice/0.1,0.1,,2014-09-09 14:07:38.923731,36252.0,5.0
,,2014-09-09 14:07:23.026536,roundup_single,1410271654.0,0,,1.0,main_w1_handler0,2043983,7670361,False,,88020,vcf,1657896,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",16684856,,16684888,,32.0,17236,bed,,16830734.0,1410271651.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_slice/vcftools_slice/0.1,0.1,,2014-09-09 14:07:35.604263,36252.0,3.0
,,2014-09-17 05:01:22.107874,roundup_single,1410930104.0,0,,1.0,main_w2_handler1,2048430,7805964,False,,3998493,vcf,1790793,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",16908285,,16875065,,32.0,2732,bed,,16996575.0,1410930100.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_slice/vcftools_slice/0.1,0.1,,2014-09-17 05:01:45.854260,53041.0,4.0
,,2014-09-24 05:18:24.468890,roundup_single,1411536086.0,0,,1.0,main_w1_handler1,2008807,7846104,False,,13444056,vcf,1829609,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",16290056,,17000457,,32.0,8436730507,bed,,17170852.0,1411535915.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_slice/vcftools_slice/0.1,0.1,,2014-09-24 05:21:28.565491,48393.0,171.0
,,2014-11-19 11:26:40.357424,rodeo_normal,1416396422.0,0,,1.0,main_w1_handler0,2042189,8202399,False,,262211847,vcf,260189.rodeo,slurm,,8059880.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17604498,,17604586,,1.0,67579,bed,,19597815.0,1416396407.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_slice/vcftools_slice/0.1,0.1,,2014-11-19 11:27:07.391960,32852.0,15.0
,,2014-10-01 12:41:16.665673,roundup_single,1412167293.0,0,,1.0,main_w2_handler1,2055522,7908516,False,,23054281,vcf,1888639,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17108127,,17110127,,32.0,6012,bed,,16826132.0,1412167288.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_slice/vcftools_slice/0.1,0.1,,2014-10-01 12:41:34.538021,24570.0,5.0
,,2014-10-09 18:42:30.981195,roundup_single,1412880179.0,0,,1.0,main_w2_handler1,1279946,7956907,False,,14112401,vcf,1933007,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",17185445,,14731348,,32.0,323349,bed,,17251021.0,1412880172.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_slice/vcftools_slice/0.1,0.1,,2014-10-09 18:43:04.193008,3694.0,7.0
,,2015-01-13 13:30:16.809610,rodeo_normal,1421155964.0,0,,1.0,main_w1_handler0,2172215,8538387,False,,2179,vcf,755646.rodeo,slurm,,16332532.0,corral-repl,,"""4a4afc609b2811e4ac68005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18196245,,18196246,,2.0,692433,bed,,20392427.0,1421155958.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_slice/vcftools_slice/0.1,0.1,,2015-01-13 13:32:47.656313,56940.0,6.0
,,2015-01-19 13:27:30.165152,rodeo_normal,1421674082.0,0,,1.0,main_w1_handler1,2173248,8567727,False,,11935,vcf,2502799.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18241778,,18241861,,32.0,8071,bed,,20492518.0,1421674080.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_slice/vcftools_slice/0.1,0.1,,2015-01-19 13:28:04.168943,58237.0,2.0
,,2014-11-12 06:05:10.706076,rodeo_normal,1415772324.0,0,,1.0,main_w1_handler0,1136685,8148337,False,,231346,vcf,184498.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17351936,,17351810,,2.0,152247,bed,,17940140.0,1415772320.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_slice/vcftools_slice/0.1,0.1,,2014-11-12 06:05:27.351645,26522.0,4.0
