chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_vcf,input_vcf_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.failure_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_vcf,parameters.reference_source.input_vcf.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-02 04:01:29.948020,slurm_normal,1430539312.0,1,,1.0,main_w2_handler1,2289674,9378443,False,,719429,vcf,3713877.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-x""",0,19541552.0,,Arabidopsis_thaliana_TAIR10,,,,cached,32.0,,,,22827761,1430539307.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-05-02 04:01:53.488008,57500.0,5.0
,,2015-07-29 15:31:32.181151,slurm_normal,1438183924.0,1,,1.0,main_w1_handler2,2372581,10026528,False,,121149220,vcf,4308055.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,20608904.0,,hg19,,,,cached,32.0,,,,24098513,1438183910.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-29 15:32:08.597316,,14.0
,,2015-07-29 12:31:29.642419,slurm_normal,1438173124.0,0,,1.0,main_w1_handler2,2064627,10025132,False,,4821395,vcf,4306763.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-x""",1,20598393.0,,20610295,,,,history,32.0,166016.0,fasta,,24351884,1438173114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-29 12:32:08.819104,53443.0,10.0
,,2015-07-02 13:02:25.046526,slurm_normal,1435842379.0,0,,1.0,main_w1_handler0,2348782,9781161,False,,1912241409,vcf,4083466.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/011/703/dataset_11703371.dat""","""Complete""","""-k""",1,20212531.0,,20088906,,,,history,32.0,257117363.0,fasta,,23451692,1435842178.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-07-02 13:06:21.301802,61115.0,201.0
,,2015-06-16 13:37:22.426323,slurm_normal,1434461881.0,0,,1.0,main_w2_handler1,2344312,9663980,False,,38977,vcf,3973452.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""-k""",0,20022703.0,,hg_g1k_v37,,,,cached,32.0,,,,23653856,1434461878.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-06-16 13:38:07.285103,64927.0,3.0
,,2015-06-16 13:40:19.543326,slurm_normal,1434462055.0,1,,1.0,main_w2_handler1,2344312,9664005,False,,38977,vcf,3973468.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""-x""",0,20022703.0,,Araly1,,,,cached,32.0,,,,23653856,1434462050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-06-16 13:40:59.239383,64927.0,5.0
,,2015-06-16 14:01:29.870136,slurm_normal,1434463327.0,1,,1.0,main_w2_handler0,2344312,9664270,False,,38977,vcf,3973702.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""-x""",0,20022703.0,,Homo_sapiens_nuHg19_mtrCRS,,,,cached,32.0,,,,23653856,1434463324.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-06-16 14:02:11.576875,64927.0,3.0
,,2015-06-16 14:57:50.020988,slurm_normal,1434466710.0,1,,1.0,main_w1_handler0,2344312,9664879,False,,39109,vcf,3974265.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""-k""",0,20024384.0,,hg_g1k_v37,,,,cached,32.0,,,,23653856,1434466707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-06-16 14:58:33.497700,64927.0,3.0
,,2015-06-16 14:03:50.915490,slurm_normal,1434463475.0,1,,1.0,main_w2_handler1,2344312,9664305,False,,38977,vcf,3973746.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""-k""",0,20022703.0,,Homo_sapiens_nuHg19_mtrCRS,,,,cached,32.0,,,,23653856,1434463472.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-06-16 14:04:38.341212,64927.0,3.0
,,2015-06-16 15:00:20.174724,slurm_normal,1434466848.0,1,,1.0,main_w1_handler0,2344312,9664911,False,,39109,vcf,3974290.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""-x""",0,20024384.0,,hg_g1k_v37,,,,cached,32.0,,,,23653856,1434466844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfcheck/vcfcheck/0.0.3,0.0.3,,2015-06-16 15:00:51.941973,64927.0,4.0
