chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.sort_order,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-09 21:33:50.460760,rodeo_normal,1425936853.0,0,1.0,main_w2_handler0,2232116,8902320,False,,34315213,sam,3080026.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18794106,,,"""coordinate""","""LENIENT""",32.0,,21622266.0,1425936842.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 21:34:15.424811,5254.0,11.0
,,2015-03-09 21:38:27.890134,rodeo_normal,1425937226.0,0,1.0,main_w1_handler1,2232116,8902344,False,,8215285,bam,3080138.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18794777,,,"""coordinate""","""LENIENT""",32.0,,21622266.0,1425937192.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 21:40:29.339211,5254.0,34.0
,,2015-03-09 21:34:00.993752,rodeo_normal,1425936857.0,0,1.0,main_w1_handler1,2232116,8902321,False,,34315213,sam,3080028.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18794106,,,"""queryname""","""LENIENT""",32.0,,21622266.0,1425936848.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 21:34:17.861220,5254.0,9.0
,,2015-03-09 21:34:18.071324,rodeo_normal,1425936870.0,0,1.0,main_w1_handler0,2232116,8902322,False,,34315213,sam,3080030.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18794106,,,"""unsorted""","""LENIENT""",32.0,,21622266.0,1425936865.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 21:34:32.404171,5254.0,5.0
,,2015-03-09 21:38:36.984932,rodeo_normal,1425937206.0,0,1.0,main_w2_handler0,2232116,8902346,False,,8215285,bam,3080142.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18794777,,,"""queryname""","""LENIENT""",32.0,,21622266.0,1425937198.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 21:40:13.517987,5254.0,8.0
,,2015-03-09 21:38:47.062809,rodeo_normal,1425937198.0,0,1.0,main_w2_handler1,2232116,8902349,False,,8215285,bam,3080134.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18794777,,,"""unsorted""","""LENIENT""",32.0,,21622266.0,1425937192.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 21:40:01.312653,5254.0,6.0
,,2015-03-09 21:39:09.767705,rodeo_normal,1425937198.0,0,1.0,main_w1_handler0,2232116,8902351,False,,8215285,bam,3080136.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18794777,,,"""unsorted""","""SILENT""",32.0,,21622266.0,1425937192.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 21:40:02.219196,5254.0,6.0
,,2015-03-09 21:39:52.448734,rodeo_normal,1425937229.0,0,1.0,main_w2_handler0,2232116,8902358,False,,34315213,sam,3080156.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",18794106,,,"""coordinate""","""SILENT""",32.0,,21622266.0,1425937210.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 21:40:34.239696,5254.0,19.0
,,2015-03-09 23:46:19.504442,rodeo_normal,1425944804.0,0,1.0,main_w2_handler1,2209461,8903131,False,,4096631,bam,3082145.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""",18788436,,,"""coordinate""","""LENIENT""",32.0,,21480619.0,1425944790.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 23:46:47.252392,31847.0,14.0
,,2015-03-09 23:46:30.411014,rodeo_normal,1425944805.0,0,1.0,main_w1_handler1,2209461,8903132,False,,4096631,bam,3082147.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""",18788436,,,"""queryname""","""LENIENT""",32.0,,21480619.0,1425944799.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 23:46:49.841038,31847.0,6.0
,,2015-03-09 23:46:39.742689,rodeo_normal,1425944813.0,0,1.0,main_w1_handler0,2209461,8903135,False,,4096631,bam,3082151.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""",18788436,,,"""unsorted""","""LENIENT""",32.0,,21480619.0,1425944808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-09 23:46:55.285999,31847.0,5.0
,,2015-03-09 23:59:00.642575,rodeo_normal,1425945671.0,0,1.0,main_w1_handler1,2209461,8903172,False,,4096631,bam,3082230.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""",18788436,,,"""unsorted""","""SILENT""",32.0,,21480619.0,1425945548.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-10 00:01:13.431617,31847.0,123.0
,,2015-03-10 00:10:58.380233,rodeo_normal,1425946292.0,0,1.0,main_w1_handler0,2209461,8903247,False,,4093922,bam,3082394.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""",18795906,,,"""unsorted""","""SILENT""",32.0,,21480619.0,1425946267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-10 00:11:34.078878,31847.0,25.0
,,2015-03-10 11:23:15.143037,rodeo_normal,1425986866.0,0,1.0,main_w1_handler0,1376907,8906387,False,,570909693,bam,3088858.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",10581422,,,"""coordinate""","""LENIENT""",32.0,,21276057.0,1425986603.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-10 11:27:48.453324,28538.0,263.0
,,2015-03-10 11:23:15.793143,rodeo_normal,1425986774.0,0,1.0,main_w2_handler1,1376907,8906388,False,,555591602,bam,3088860.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",10581430,,,"""coordinate""","""LENIENT""",32.0,,21276057.0,1425986603.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-10 11:26:18.887689,28538.0,171.0
,,2015-03-11 03:42:58.749996,rodeo_normal,1426045421.0,0,1.0,main_w2_handler0,2233276,8913616,False,,118855455,bam,3102633.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18811096,,,"""coordinate""","""LENIENT""",32.0,,21698968.0,1426045385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_SortSam/1.126.0,1.126.0,,2015-03-11 03:43:45.409430,,36.0
