chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_vcf,input_vcf_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.failure_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_vcf,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-17 19:22:46.398453,rodeo_normal,1426620205.0,0,1.0,main_w1_handler1,2240178,8970818,False,,3338861,vcf,3208368.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""-x""",0,18888668,hg19,cached,32.0,,,,21862659,1426620197.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-03-17 19:23:29.404882,,8.0
,,2015-03-23 12:02:33.375988,rodeo_normal,1427112172.0,1,1.0,main_w2_handler1,2215776,9012615,False,,18640417,vcf,3287553.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-x""",0,18851513,hg19,cached,32.0,,,,21718246,1427112167.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-03-23 12:02:53.291494,60726.0,5.0
,,2015-06-19 04:59:00.683010,slurm_normal,1434689978.0,0,1.0,main_w1_handler1,2347950,9689559,False,,332703,vcf,3998721.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/13001.len""","""13001""","""-x""",1,20064310,20060642,history,32.0,4108456.0,fasta,,23703611,1434689974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-06-19 04:59:39.698506,65048.0,4.0
,,2015-03-24 00:26:23.575768,rodeo_normal,1427156799.0,1,1.0,main_w2_handler0,2244419,9019624,False,,100595486,vcf,3301087.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-k""",1,18947218,18962327,history,32.0,230256682.0,fasta,,21943139,1427156795.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-03-24 00:26:41.897182,,4.0
,,2015-03-24 00:22:47.585257,rodeo_normal,1427156580.0,1,1.0,main_w1_handler0,2244419,9019611,False,,100595486,vcf,3301055.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-x""",1,18947218,18962327,history,32.0,230256682.0,fasta,,21943139,1427156576.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-03-24 00:23:02.565918,,4.0
,,2015-04-09 01:13:54.300784,slurm_normal,1428542120.0,1,1.0,main_w2_handler0,2264315,9176075,False,,39849182,vcf,3455817.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""-k""",0,19201107,hg_g1k_v37,cached,32.0,,,,22334890,1428542113.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-04-09 01:15:23.911423,,7.0
,,2015-04-09 12:29:58.387267,slurm_normal,1428582615.0,1,1.0,main_w1_handler0,2256815,9179381,False,,71418104,vcf,3458812.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""-x""",0,19205324,hg38,cached,32.0,,,,22195652,1428582612.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-04-09 12:30:16.588310,,3.0
,,2015-04-13 03:51:06.887517,slurm_normal,1428897082.0,1,1.0,main_w1_handler1,2267896,9211726,False,,261710552,vcf,3494170.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-x""",0,19256765,hg19,cached,32.0,,,,22406524,1428897079.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-04-13 03:51:26.959772,,3.0
,,2015-04-13 03:44:25.276531,slurm_normal,1428896880.0,1,1.0,main_w2_handler1,2267896,9211700,False,,261710552,vcf,3494151.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-x""",0,19256558,hg19,cached,32.0,,,,22406524,1428896877.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-04-13 03:48:00.944567,,3.0
,,2015-04-13 03:56:15.358044,slurm_normal,1428897394.0,1,1.0,main_w2_handler1,2267896,9211743,False,,261710552,vcf,3494194.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-k""",0,19256765,hg19,cached,32.0,,,,22406524,1428897392.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-04-13 03:56:38.959056,,2.0
,,2015-04-20 15:12:22.978988,slurm_normal,1429542768.0,0,1.0,main_w2_handler0,2273525,9279210,False,,3601,vcf,3580504.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""-x""",0,19385337,hg19,cached,32.0,,,,22555701,1429542758.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-04-20 15:12:51.505914,60534.0,10.0
,,2015-05-02 03:41:03.241657,slurm_normal,1430538088.0,1,1.0,main_w1_handler0,2289674,9378407,False,,448206,vcf,3713848.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""-x""",1,19541446,19530739,history,32.0,27317041.0,fasta,,22827761,1430538083.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-05-02 03:41:30.959912,57500.0,5.0
,,2015-07-03 08:12:21.838639,slurm_normal,1435911179.0,0,1.0,main_w2_handler1,2361202,9786075,False,,6950,vcf,4088242.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-x""",0,20200651,hg19,cached,32.0,,,,22926646,1435911175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-07-03 08:13:02.348655,,4.0
,,2015-07-01 12:05:26.975450,slurm_normal,1435752353.0,0,1.0,main_w2_handler1,2361202,9774087,False,,6950,vcf,4076581.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-x""",0,20200651,hg19,cached,32.0,,,,22926646,1435752349.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfcheck/vcfcheck/0.0.2,0.0.2,,2015-07-01 12:05:56.355296,,4.0
