adv|known_splice_gtf,adv|known_splice_gtf_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,history_item,history_item_filetype,id,imported,info,input_1,input_11,input_11_filetype,input_12,input_12_filetype,input_1_filetype,input_2,input_2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.adv.alignment_options.__current_case__,parameters.adv.alignment_options.alignment_options_selector,parameters.adv.alignment_options.coefficient,parameters.adv.alignment_options.constant_term,parameters.adv.alignment_options.function_type,parameters.adv.alignment_options.ignore_quals,parameters.adv.alignment_options.skip_forward,parameters.adv.alignment_options.skip_reverse,parameters.adv.input_options.__current_case__,parameters.adv.input_options.input_options_selector,parameters.adv.input_options.int_quals,parameters.adv.input_options.qupto,parameters.adv.input_options.qv_encoding,parameters.adv.input_options.skip,parameters.adv.input_options.solexa_quals,parameters.adv.input_options.trim3,parameters.adv.input_options.trim5,parameters.adv.other_options.__current_case__,parameters.adv.other_options.non_deterministic,parameters.adv.other_options.other_options_selector,parameters.adv.other_options.seed,parameters.adv.output_options.__current_case__,parameters.adv.output_options.aligned_file,parameters.adv.output_options.output_options_selector,parameters.adv.output_options.unaligned_file,parameters.adv.reporting_options.__current_case__,parameters.adv.reporting_options.reporting_options_selector,parameters.adv.scoring_options.__current_case__,parameters.adv.scoring_options.scoring_options_selector,parameters.adv.spliced_options.__current_case__,parameters.adv.spliced_options.canonical_penalty,parameters.adv.spliced_options.coefficient,parameters.adv.spliced_options.constant_term,parameters.adv.spliced_options.function_type,parameters.adv.spliced_options.known_splice_gtf.values,parameters.adv.spliced_options.max_intron,parameters.adv.spliced_options.min_intron,parameters.adv.spliced_options.nc_coefficient,parameters.adv.spliced_options.nc_constant_term,parameters.adv.spliced_options.nc_function_type,parameters.adv.spliced_options.no_spliced_alignment_options.__current_case__,parameters.adv.spliced_options.no_spliced_alignment_options.no_spliced_alignment,parameters.adv.spliced_options.noncanonical_penalty,parameters.adv.spliced_options.notmplen,parameters.adv.spliced_options.spliced_options_selector,parameters.adv.spliced_options.tma,parameters.chromInfo,parameters.dbkey,parameters.input_1|__identifier__,parameters.input_2|__identifier__,parameters.library.__current_case__,parameters.library.input_1.values,parameters.library.input_2.values,parameters.library.paired_options.__current_case__,parameters.library.paired_options.fr_rf_ff,parameters.library.paired_options.no_discordant,parameters.library.paired_options.no_mixed,parameters.library.paired_options.paired_options_selector,parameters.library.rna_strandness,parameters.library.type,parameters.reference_genome.__current_case__,parameters.reference_genome.history_item.values,parameters.reference_genome.index,parameters.reference_genome.source,parameters.sum.new_summary,parameters.sum.summary_file,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2018-03-02 07:41:18.672780,slurm_multi,1519977343.0,0,30720.0,6.0,main_w4_handler2,3444463,,,18576905,False,,4933757828.0,,,,,fastqsanger,4933757828.0,fastqsanger,12671182,slurm,,132112168.0,corral-repl,,0,no,,,0.0,defaults,,,,,,,0.0,defaults,,,,,,,,0.0,,defaults,,0.0,,defaults,,0.0,defaults,0.0,defaults,0.0,,,,,,,,,,,,,,,defaults,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,1,"[{'src': 'hda', 'id': 34120033}]","[{'src': 'hda', 'id': 34120279}]",0.0,,,,defaults,,paired,0,,hg38,indexed,false,false,32.0,,44212204.0,1519976487.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0,2.1.0,,2018-03-02 07:55:46.843143,122910,856.0
,,,,2018-03-02 07:43:03.074063,slurm_multi,1519977565.0,0,30720.0,6.0,main_w3_handler2,3444463,,,18576916,False,,6268498437.0,,,,,fastqsanger,6268498437.0,fastqsanger,12671193,slurm,,132112168.0,corral-repl,,0,no,,,0.0,defaults,,,,,,,0.0,defaults,,,,,,,,0.0,,defaults,,0.0,,defaults,,0.0,defaults,0.0,defaults,0.0,,,,,,,,,,,,,,,defaults,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,1,"[{'src': 'hda', 'id': 34106797}]","[{'src': 'hda', 'id': 34106835}]",0.0,,,,defaults,,paired,0,,hg38,indexed,false,false,32.0,,44212204.0,1519976596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0,2.1.0,,2018-03-02 07:59:27.961766,122910,969.0
,,,,2018-03-02 06:13:51.294116,slurm_multi,1519977706.0,0,30720.0,6.0,main_w3_handler2,3296281,2543661261.0,fasta,18576688,False,,4855827816.0,,,,,fastqsanger.gz,5640422815.0,fastqsanger.gz,12670930,slurm,,132112168.0,corral-repl,,0,no,,,0.0,defaults,,,,,,,0.0,defaults,,,,,,,,0.0,,defaults,,0.0,,defaults,,0.0,defaults,0.0,defaults,0.0,,,,,,,,,,,,,,,defaults,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,1,"[{'src': 'hda', 'id': 34136310}]","[{'src': 'hda', 'id': 34136311}]",0.0,,,,defaults,,paired,1,"[{'src': 'hda', 'id': 34112221}]",,history,false,true,32.0,,43747776.0,1519971240.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0,2.1.0,,2018-03-02 08:01:49.737408,114204,6466.0
,,,,2018-03-02 08:10:02.323394,slurm_multi,1519978627.0,0,30720.0,6.0,main_w3_handler2,3444902,,,18577141,False,,1041515719.0,,,,,fastqsanger,1041092689.0,fastqsanger,12671394,slurm,,132112168.0,corral-repl,,0,no,,,0.0,defaults,,,,,,,0.0,defaults,,,,,,,,0.0,,defaults,,0.0,,defaults,,0.0,defaults,0.0,defaults,0.0,,,,,,,,,,,,,,,defaults,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,,1,"[{'src': 'hda', 'id': 34163884}]","[{'src': 'hda', 'id': 34163969}]",0.0,,,,defaults,,paired,0,,hg19,indexed,false,false,32.0,,44283849.0,1519978435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0,2.1.0,,2018-03-02 08:17:08.504488,84504,192.0
,,,,2018-03-02 08:09:17.611434,slurm_multi,1519978390.0,0,30720.0,6.0,main_w4_handler2,3444902,,,18577138,False,,1046216989.0,,,,,fastqsanger,1045904825.0,fastqsanger,12671355,slurm,,132112168.0,corral-repl,,0,no,,,0.0,defaults,,,,,,,0.0,defaults,,,,,,,,0.0,,defaults,,0.0,,defaults,,0.0,defaults,0.0,defaults,0.0,,,,,,,,,,,,,,,defaults,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,,1,"[{'src': 'hda', 'id': 34163800}]","[{'src': 'hda', 'id': 34163816}]",0.0,,,,defaults,,paired,0,,hg19,indexed,false,false,32.0,,44283849.0,1519978166.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0,2.1.0,,2018-03-02 08:13:13.137371,84504,224.0
,,,,2018-03-02 09:31:17.705978,slurm_multi,1519983545.0,0,30720.0,6.0,main_w3_handler2,3444902,,,18578026,False,,1235782496.0,,,,,fastqsanger,1235327698.0,fastqsanger,12672521,slurm,,132111800.0,corral-repl,,0,no,,,0.0,defaults,,,,,,,0.0,defaults,,,,,,,,0.0,,defaults,,0.0,,defaults,,0.0,defaults,0.0,defaults,0.0,,,,,,,,,,,,,,,defaults,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,,1,"[{'src': 'hda', 'id': 34165150}]","[{'src': 'hda', 'id': 34165200}]",0.0,,,,defaults,,paired,0,,hg19,indexed,false,false,32.0,,44283849.0,1519983314.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0,2.1.0,,2018-03-02 09:39:08.350371,84504,231.0
,,,,2018-03-02 09:31:31.893327,slurm_multi,1519983582.0,0,30720.0,6.0,main_w3_handler2,3444902,,,18578028,False,,1218854719.0,,,,,fastqsanger,1218420351.0,fastqsanger,12672528,slurm,,132111800.0,corral-repl,,0,no,,,0.0,defaults,,,,,,,0.0,defaults,,,,,,,,0.0,,defaults,,0.0,,defaults,,0.0,defaults,0.0,defaults,0.0,,,,,,,,,,,,,,,defaults,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,,1,"[{'src': 'hda', 'id': 34165241}]","[{'src': 'hda', 'id': 34165335}]",0.0,,,,defaults,,paired,0,,hg19,indexed,false,false,32.0,,44283849.0,1519983350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0,2.1.0,,2018-03-02 09:39:45.016398,84504,232.0
,,,,2018-03-02 09:30:27.515613,slurm_multi,1519983306.0,0,30720.0,6.0,main_w3_handler2,3444902,,,18578016,False,,1223286720.0,,,,,fastqsanger,1222902182.0,fastqsanger,12672469,slurm,,132111800.0,corral-repl,,0,no,,,0.0,defaults,,,,,,,0.0,defaults,,,,,,,,0.0,,defaults,,0.0,,defaults,,0.0,defaults,0.0,defaults,0.0,,,,,,,,,,,,,,,defaults,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,,1,"[{'src': 'hda', 'id': 34164601}]","[{'src': 'hda', 'id': 34164648}]",0.0,,,,defaults,,paired,0,,hg19,indexed,false,false,32.0,,44283849.0,1519983037.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0,2.1.0,,2018-03-02 09:35:09.155137,84504,269.0
,,,,2018-03-02 09:30:59.417442,slurm_multi,1519983342.0,0,30720.0,6.0,main_w4_handler2,3444902,,,18578023,False,,1181003885.0,,,,,fastqsanger,1180610095.0,fastqsanger,12672475,slurm,,132111800.0,corral-repl,,0,no,,,0.0,defaults,,,,,,,0.0,defaults,,,,,,,,0.0,,defaults,,0.0,,defaults,,0.0,defaults,0.0,defaults,0.0,,,,,,,,,,,,,,,defaults,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,,1,"[{'src': 'hda', 'id': 34164772}]","[{'src': 'hda', 'id': 34164998}]",0.0,,,,defaults,,paired,0,,hg19,indexed,false,false,32.0,,44283849.0,1519983071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0,2.1.0,,2018-03-02 09:35:45.402978,84504,271.0
,,,,2018-03-02 09:32:02.360109,slurm_multi,1519986643.0,0,30720.0,6.0,main_w3_handler2,3440127,,,18578035,False,,10464397218.0,,,,,fastqsanger,10345423082.0,fastqsanger,12672838,slurm,,132112168.0,corral-repl,,0,no,,,0.0,defaults,,,,,,,0.0,defaults,,,,,,,,0.0,,defaults,,0.0,,defaults,,0.0,defaults,0.0,defaults,0.0,,,,,,,,,,,,,,,defaults,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,1,"[{'src': 'hda', 'id': 34165381}]","[{'src': 'hda', 'id': 34165382}]",0.0,,,,defaults,,paired,0,,mm10,indexed,false,false,32.0,,44118190.0,1519985036.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0,2.1.0,,2018-03-02 10:30:46.382985,81990,1607.0
