chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.mismatchpercent,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-24 15:02:17.842562,slurm_normal,1511535751.0,0.0,,1.0,main_w4_handler1,3293842,17573394,False,,104055218,fasta,47,txt,11635792,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32068430}]",,"[{'src': 'hda', 'id': 32517410}]","""25""",32.0,,42230160,1511535739.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2017-11-24 15:02:32.983234,114069.0,12.0
,,2017-11-24 15:02:17.168316,slurm_normal,1511535773.0,0.0,,1.0,main_w3_handler0,3293842,17573392,False,,355245271,fasta,47,txt,11635793,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32057205}]",,"[{'src': 'hda', 'id': 32517410}]","""25""",32.0,,42230160,1511535742.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2017-11-24 15:02:54.448059,114069.0,31.0
,,2017-11-24 15:02:17.422291,slurm_normal,1511535764.0,0.0,,1.0,main_w3_handler1,3293842,17573393,False,,245345138,fasta,47,txt,11635794,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32061976}]",,"[{'src': 'hda', 'id': 32517410}]","""25""",32.0,,42230160,1511535742.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2017-11-24 15:02:45.483808,114069.0,22.0
,,2018-02-10 18:17:27.073514,slurm_normal,1518286665.0,0.0,7680.0,1.0,main_w3_handler0,3424812,18337918,False,,47557698,fasta,61,fasta,12422250,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33787517}]",,"[{'src': 'hda', 'id': 33787577}]","""0""",32.0,,43828792,1518286655.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2018-02-10 18:17:47.109635,121308.0,10.0
,,2018-02-10 18:22:16.813750,slurm_normal,1518286947.0,0.0,7680.0,1.0,main_w4_handler0,3424812,18337966,False,,61,fasta,71,scidx,12422297,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33787577}]",,"[{'src': 'hda', 'id': 33787638}]","""1""",32.0,,43828792,1518286945.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2018-02-10 18:22:28.959820,121308.0,2.0
,,2018-02-28 09:20:12.467473,slurm_normal,1519809626.0,0.0,7680.0,1.0,main_w4_handler0,3445821,18545410,False,,4530593,fasta,108,tabular,12642049,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 34111448}]",,"[{'src': 'hda', 'id': 34111899}]","""90""",32.0,,42540495,1519809619.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2018-02-28 09:20:28.556448,109075.0,7.0
,,2018-02-28 09:23:14.966420,slurm_normal,1519809810.0,0.0,7680.0,1.0,main_w3_handler0,3445821,18545432,False,,4530593,fasta,108,tabular,12642073,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 34111448}]",,"[{'src': 'hda', 'id': 34111899}]","""10""",32.0,,42540495,1519809805.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2018-02-28 09:23:31.880637,109075.0,5.0
,,2018-02-28 09:41:11.499755,slurm_normal,1519810901.0,0.0,7680.0,1.0,main_w4_handler0,3445821,18545539,False,,4530593,fasta,139,txt,12642190,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 34111448}]",,"[{'src': 'hda', 'id': 34112082}]","""50""",32.0,,42540495,1519810886.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2018-02-28 09:41:44.209438,109075.0,15.0
,,2018-02-28 09:21:24.605051,slurm_normal,1519809695.0,0.0,7680.0,1.0,main_w3_handler1,3445821,18545418,False,,4530593,fasta,108,tabular,12642057,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 34111448}]",,"[{'src': 'hda', 'id': 34111899}]","""50""",32.0,,42540495,1519809692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2018-02-28 09:21:38.276502,109075.0,3.0
,,2018-02-28 09:29:32.248192,slurm_normal,1519810185.0,0.0,7680.0,1.0,main_w3_handler1,3445821,18545490,False,,4530593,fasta,73,tabular,12642132,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 34111448}]",,"[{'src': 'hda', 'id': 34112004}]","""50""",32.0,,42540495,1519810182.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2018-02-28 09:29:47.352075,109075.0,3.0
,,2018-02-28 11:47:53.928363,slurm_normal,1519818491.0,0.0,7680.0,1.0,main_w4_handler0,3445821,18546810,False,,4530593,fasta,139,txt,12643551,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 34111448}]",,"[{'src': 'hda', 'id': 34112082}]","""10""",32.0,,42540495,1519818487.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2018-02-28 11:48:13.696692,109075.0,4.0
,,2015-03-14 22:17:38.460160,rodeo_normal,1426371476.0,0.0,,1.0,main_w1_handler0,2237527,8949425,False,,16664848,fasta,22,txt,3168682.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18859044,,18859054,,"""0""",32.0,,21807556,1426371472.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2015-03-14 22:17:58.872677,,4.0
,,2015-03-19 12:50:17.866804,rodeo_normal,1426769438.0,0.0,,1.0,main_w2_handler0,2241088,8987531,False,,2631823,fasta,58,txt,3239849.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18913555,,18914536,,"""0""",32.0,,21396765,1426769435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2015-03-19 12:50:43.400500,60028.0,3.0
,,2015-03-19 12:44:48.375873,rodeo_normal,1426769104.0,0.0,,1.0,main_w1_handler0,2241088,8987497,False,,2631823,fasta,32,fasta,3239734.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18913555,,18902934,,"""0""",32.0,,21396765,1426769101.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2015-03-19 12:45:06.646650,60028.0,3.0
,,2015-03-19 12:58:48.722756,rodeo_normal,1426769943.0,0.0,,1.0,main_w1_handler0,2241088,8987573,False,,1634,fasta,58,txt,3239992.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18903987,,18914536,,"""0""",32.0,,21396765,1426769940.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2015-03-19 12:59:04.526622,60028.0,3.0
,,2015-03-19 12:44:21.094652,rodeo_normal,1426769079.0,0.0,,1.0,main_w2_handler1,2241088,8987493,False,,2631823,fasta,32,fasta,3239724.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18913555,,18902936,,"""0""",32.0,,21396765,1426769076.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2015-03-19 12:44:44.317520,60028.0,3.0
,,2015-03-19 12:57:49.211696,rodeo_normal,1426769884.0,0.0,,1.0,main_w2_handler1,2241088,8987568,False,,1648,fasta,58,txt,3239972.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18900017,,18914536,,"""0""",32.0,,21396765,1426769880.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: primersearch81/5.0.0,5.0.0,,2015-03-19 12:58:05.764826,60028.0,4.0
