create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.col1,parameters.col1.__class__,parameters.col1.value,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.keep,parameters.strand_source.__current_case__,parameters.strand_source.strand_choice,parameters.strand_source.strand_col,parameters.uniqpos,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-11-29 10:49:37.250388,rodeo_normal,1417258194.0,0.0,1.0,main_w2_handler1,2130359,8268119,False,,86471,interval,238263,bed,2136489.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""20""",,,"""hg18""",17696062,,17708146,,"""0""",1.0,all_pos,+,"""1""",32.0,,19814546,1417258189.0,ok,1023996.0,hgv_codingSnps,1.0.0,,2014-11-29 10:49:55.942011,56493.0,5.0
2014-12-05 14:41:39.227144,rodeo_normal,1417790511.0,0.0,1.0,main_w2_handler1,2130362,8334323,False,,17134,interval,238263,bed,441686.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""1""",,,"""hg18""",17812588,,17813134,,"""0""",1.0,all_pos,+,"""1""",2.0,,19806459,1417790506.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-12-05 14:41:54.998123,56496.0,5.0
2014-09-25 21:38:40.014905,roundup_single,1411681147.0,0.0,1.0,main_w1_handler1,781853,7862819,False,,370065,interval,5862,bed,1843077,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""4""",,,"""hg19""",17026520,,10386738,,"""1""",0.0,data_column,6,"""0""",32.0,,16123726,1411681132.0,ok,1023992.0,hgv_codingSnps,1.0.0,,2014-09-25 21:39:08.494499,15791.0,15.0
2014-12-05 15:09:48.984019,rodeo_normal,1417792202.0,0.0,1.0,main_w1_handler0,2130362,8334566,False,,17134,interval,238263,bed,2214842.roundup,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""4""",,,"""hg18""",17812588,,17813134,,"""1""",1.0,all_pos,+,"""1""",32.0,,19806459,1417792197.0,ok,1023996.0,hgv_codingSnps,1.0.0,,2014-12-05 15:10:06.838115,56496.0,5.0
2014-12-09 19:40:56.856519,rodeo_normal,1418154073.0,0.0,1.0,main_w2_handler1,2142995,8383904,False,,1615978,interval,9828714,bed,516576.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""1""",,,"""hg18""",17884219,,17885259,,"""0""",1.0,all_pos,+,"""1""",2.0,,19814876,1418154064.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-12-09 19:41:16.567612,56495.0,9.0
2014-12-10 18:13:35.726410,rodeo_normal,1418235223.0,0.0,1.0,main_w2_handler1,2143335,8391282,False,,990603,interval,8797,bed,527473.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""14""",,,"""hg18""",17888340,,17896690,,"""0""",1.0,all_pos,+,"""1""",2.0,,19788376,1418235219.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-12-10 18:13:47.910872,56492.0,4.0
2014-12-07 19:04:54.687158,rodeo_normal,1417979110.0,0.0,1.0,main_w1_handler1,2130362,8365072,False,,3636086,interval,163189,bed,489637.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""4""",,,"""hg18""",17855701,,17819400,,"""1""",1.0,all_pos,+,"""1""",2.0,,19806459,1417979102.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-12-07 19:05:12.735928,56496.0,8.0
2014-10-24 12:14:18.851168,rodeo_normal,1414152874.0,0.0,1.0,main_w1_handler0,2095168,8037123,False,,118532,interval,290037,bed,70313.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""12""",,,"""hg18""",17323252,,17323386,,"""0""",1.0,all_pos,+,"""1""",2.0,,17906444,1414152870.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-10-24 12:14:37.785655,54777.0,4.0
2014-10-24 12:06:39.042356,rodeo_normal,1414152421.0,0.0,1.0,main_w2_handler0,2095168,8037038,False,,118532,interval,290037,bed,70256.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""4""",,,"""hg18""",17323252,,17323386,,"""0""",1.0,all_pos,+,"""1""",2.0,,17906444,1414152413.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-10-24 12:07:04.207168,54777.0,8.0
2014-10-24 12:18:34.898388,rodeo_normal,1414153129.0,0.0,1.0,main_w1_handler0,2095168,8037160,False,,118532,interval,290037,bed,70336.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""14""",,,"""hg18""",17323252,,17323386,,"""0""",1.0,all_pos,+,"""1""",2.0,,17906444,1414153125.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-10-24 12:18:53.513224,54777.0,4.0
2014-10-24 12:11:08.562586,rodeo_normal,1414152682.0,0.0,1.0,main_w1_handler0,2096225,8037085,False,,71692,interval,220174,bed,70286.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""10""",,,"""hg18""",17323182,,17323368,,"""1""",0.0,data_column,6,"""1""",2.0,,17906435,1414152679.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-10-24 12:11:26.803356,54880.0,3.0
2014-10-24 12:22:00.381288,rodeo_normal,1414153338.0,0.0,1.0,main_w2_handler1,2096225,8037197,False,,3361324,interval,220174,bed,70363.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""14""",,,"""hg18""",17323100,,17323368,,"""1""",0.0,data_column,6,"""1""",2.0,,17906435,1414153332.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-10-24 12:22:20.368888,54880.0,6.0
2014-10-24 12:22:27.651601,rodeo_normal,1414153365.0,0.0,1.0,main_w2_handler1,2095525,8037202,False,,101300,interval,298285,bed,70366.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""14""",,,"""hg18""",17323280,,17323567,,"""0""",1.0,all_pos,+,"""1""",2.0,,17906145,1414153360.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-10-24 12:22:49.571970,54796.0,5.0
2014-10-24 12:20:36.944729,rodeo_normal,1414153257.0,0.0,1.0,main_w2_handler0,2095525,8037181,False,,6595410,interval,298285,bed,70352.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""1""",,,"""hg18""",17323248,,17323567,,"""0""",1.0,all_pos,+,"""1""",2.0,,17906145,1414153246.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-10-24 12:21:01.579349,54796.0,11.0
2014-10-24 12:30:29.459084,rodeo_normal,1414153844.0,0.0,1.0,main_w2_handler1,2095572,8037287,False,,105697,interval,318052,bed,70415.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""14""",,,"""hg18""",17323281,,17323684,,"""0""",1.0,all_pos,+,"""1""",2.0,,17906342,1414153840.0,ok,0.0,hgv_codingSnps,1.0.0,,2014-10-24 12:30:47.659426,54801.0,4.0
