chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,first_input,first_input_filetype,galaxy_slots,handler,history_id,id,imported,info,input_files_0|additional_input,input_files_0|additional_input_filetype,input_files_10|additional_input,input_files_10|additional_input_filetype,input_files_11|additional_input,input_files_11|additional_input_filetype,input_files_12|additional_input,input_files_12|additional_input_filetype,input_files_13|additional_input,input_files_13|additional_input_filetype,input_files_14|additional_input,input_files_14|additional_input_filetype,input_files_15|additional_input,input_files_15|additional_input_filetype,input_files_16|additional_input,input_files_16|additional_input_filetype,input_files_17|additional_input,input_files_17|additional_input_filetype,input_files_18|additional_input,input_files_18|additional_input_filetype,input_files_19|additional_input,input_files_19|additional_input_filetype,input_files_1|additional_input,input_files_1|additional_input_filetype,input_files_2|additional_input,input_files_2|additional_input_filetype,input_files_3|additional_input,input_files_3|additional_input_filetype,input_files_4|additional_input,input_files_4|additional_input_filetype,input_files_5|additional_input,input_files_5|additional_input_filetype,input_files_6|additional_input,input_files_6|additional_input_filetype,input_files_7|additional_input,input_files_7|additional_input_filetype,input_files_8|additional_input,input_files_8|additional_input_filetype,input_files_9|additional_input,input_files_9|additional_input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.annotation.__current_case__,parameters.annotation.ignore_nonoverlapping_reference,parameters.annotation.reference_annotation,parameters.annotation.reference_annotation.values,parameters.annotation.use_ref_annotation,parameters.chromInfo,parameters.dbkey,parameters.first_input,parameters.first_input.values,parameters.first_input|__identifier__,parameters.input_files,parameters.input_files_0|additional_input|__identifier__,parameters.seq_data.__current_case__,parameters.seq_data.seq_source.__current_case__,parameters.seq_data.seq_source.index,parameters.seq_data.seq_source.index.__class__,parameters.seq_data.seq_source.index.value,parameters.seq_data.seq_source.index_source,parameters.seq_data.seq_source.ref_file,parameters.seq_data.seq_source.ref_file.values,parameters.seq_data.use_seq_data,processor_count,ref_file,ref_file_filetype,reference_annotation,reference_annotation_filetype,runner_name,seq_data|ref_file,seq_data|ref_file_filetype,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-16 19:44:43.164385,rodeo_normal,1426553720.0,0,32459694,gtf,1.0,main_w2_handler1,2238877,8960195,False,,70278207.0,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3192787.roundup,slurm,,132112168.0,corral-repl,,"""df0e69b4cc1411e4950b005056a51846""",0,False,18874262.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18874275,,,"[{""__index__"": 0, ""additional_input"": 18874262}]",,1,0.0,,UnvalidatedValue,mm9,cached,,,Yes,32.0,,,70278207.0,gtf,,,,21009145.0,1426553650.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-03-17 00:55:29.268569,59197.0,70.0
,,2015-03-17 15:46:21.250132,rodeo_normal,1426628057.0,0,32459694,gtf,1.0,main_w2_handler0,2238877,8968508,False,,70278207.0,gtf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3210448.roundup,slurm,,132112168.0,corral-repl,,"""bc543144ccbc11e4ad04005056a52a46""",0,False,18874262.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18885822,,,"[{""__index__"": 0, ""additional_input"": 18874262}]",,1,0.0,,UnvalidatedValue,mm9,cached,,,Yes,32.0,,,70278207.0,gtf,,,,21009145.0,1426627981.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-03-17 21:34:25.298656,59197.0,76.0
,,2015-05-05 08:15:17.911041,slurm_normal,1430842868.0,0,63737729,gtf,1.0,main_w1_handler1,2293741,9395656,False,,63640770.0,gtf,,,,,,,,,,,,,,,,,,,,,63527099.0,gtf,,,,,,,,,,,,,,,,,3731950.roundup,slurm,,132112168.0,corral-repl,,"""6d4eaf12f2fe11e483b1005056a52a46""",0,False,15598513.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19578181,,,"[{""__index__"": 0, ""additional_input"": 19578185}, {""__index__"": 1, ""additional_input"": 19578190}]",,0,,,,,,,,No,32.0,,,84207474.0,gtf,,,,22798965.0,1430842743.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-05-05 16:21:25.248670,47982.0,125.0
,,2015-04-03 00:26:35.013731,slurm_normal,1428020817.0,0,37538,gtf,1.0,main_w2_handler1,2257220,9129250,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3413577.roundup,slurm,,132112168.0,corral-repl,,,0,False,19108712.0,,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19129307,,,[],,0,,,,,,,,No,32.0,,,6165347.0,gtf,,,,21371309.0,1428020813.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-04-03 00:27:02.057066,44771.0,4.0
,,2015-04-20 09:17:11.039738,slurm_normal,1429551568.0,0,63874004,gtf,1.0,main_w1_handler1,2275544,9272140,False,,63878440.0,gtf,,,,,,,,,,,,,,,,,,,,,63868774.0,gtf,,,,,,,,,,,,,,,,,3583329.roundup,slurm,,132112168.0,corral-repl,,"""c7913138e73d11e4bff1005056a51846""",0,False,15598513.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19375178,,,"[{""__index__"": 0, ""additional_input"": 19375182}, {""__index__"": 1, ""additional_input"": 19375186}]",,0,,,,,,,,No,32.0,,,84207474.0,gtf,,,,20747631.0,1429551537.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-04-20 17:39:34.264022,47982.0,31.0
,,2015-04-20 09:17:20.456339,slurm_normal,1429554609.0,0,63840888,gtf,1.0,main_w2_handler1,2275544,9272142,False,,63836844.0,gtf,,,,,,,,,,,,,,,,,,,,,63840888.0,gtf,,,,,,,,,,,,,,,,,3584022.roundup,slurm,,132112168.0,corral-repl,,"""c7913138e73d11e4bff1005056a51846""",0,False,15598513.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19375190,,,"[{""__index__"": 0, ""additional_input"": 19375194}, {""__index__"": 1, ""additional_input"": 19375198}]",,0,,,,,,,,No,32.0,,,84207474.0,gtf,,,,20747631.0,1429554575.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-04-20 18:30:18.508404,47982.0,34.0
,,2015-04-22 13:33:58.852906,slurm_normal,1429742345.0,0,63874004,gtf,1.0,main_w2_handler1,2278330,9299652,False,,63878440.0,gtf,,,,,,,,,,,,,,,,,,,,,63868774.0,gtf,,,,,,,,,,,,,,,,,3624948.roundup,slurm,,132112168.0,corral-repl,,"""fa8f9fd6e8f311e4afda005056a51846""",0,False,15598513.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19417442,,,"[{""__index__"": 0, ""additional_input"": 19417446}, {""__index__"": 1, ""additional_input"": 19417451}]",,0,,,,,,,,No,32.0,,,84207474.0,gtf,,,,20747631.0,1429742305.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-04-22 22:39:25.093298,47982.0,40.0
,,2015-04-23 08:58:14.816221,slurm_normal,1429816356.0,0,63874004,gtf,1.0,main_w2_handler1,2279488,9308809,False,,63878440.0,gtf,,,,,,,,,,,,,,,,,,,,,63868774.0,gtf,,,,,,,,,,,,,,,,,3641954.roundup,slurm,,132112168.0,corral-repl,,"""7eac7bf2e99611e48372005056a51846""",0,False,15598513.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19431033,,,"[{""__index__"": 0, ""additional_input"": 19431038}, {""__index__"": 1, ""additional_input"": 19431042}]",,0,,,,,,,,No,32.0,,,84207474.0,gtf,,,,22664340.0,1429816186.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-04-23 19:12:53.412000,47982.0,170.0
,,2015-04-24 12:36:16.568034,slurm_normal,1429907914.0,0,63797668,gtf,1.0,main_w2_handler1,2280975,9322979,False,,63689682.0,gtf,,,,,,,,,,,,,,,,,,,,,63554658.0,gtf,,,,,,,,,,,,,,,,,3663655.roundup,slurm,,132112168.0,corral-repl,,"""47501572ea7e11e4beec005056a52a46""",0,False,15598513.0,,Yes,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19452158,,,"[{""__index__"": 0, ""additional_input"": 19452162}, {""__index__"": 1, ""additional_input"": 19452172}]",,0,,,,,,,,No,32.0,,,84207474.0,gtf,,,,20747631.0,1429907879.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-04-24 20:38:43.722660,47982.0,35.0
,,2015-04-25 02:16:50.512442,slurm_normal,1429928297.0,0,58016395,gtf,1.0,main_w1_handler1,2151964,9327807,False,,57029335.0,gtf,,,,,,,,,,,,,,,,,,,,,52402855.0,gtf,52526686.0,gtf,,,,,,,,,,,,,,,3668793.roundup,slurm,,132112168.0,corral-repl,,,0,False,18059536.0,,Yes,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19457888,,,"[{""__index__"": 0, ""additional_input"": 19457904}, {""__index__"": 1, ""additional_input"": 19457916}, {""__index__"": 2, ""additional_input"": 19457962}]",,1,1.0,,,,history,19402986.0,,Yes,32.0,381956675.0,fasta,81498659.0,gff3,,,,22676356.0,1429928243.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.6,0.0.6,,2015-04-25 02:18:22.223592,56900.0,54.0
