chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fastq_input1,fastq_input1_filetype,fastq_input2,fastq_input2_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.description_length,parameters.fastq_input.__current_case__,parameters.fastq_input.fastq_input1,parameters.fastq_input.fastq_input1.values,parameters.fastq_input.fastq_input2,parameters.fastq_input.fastq_input2.values,parameters.fastq_input.fastq_input_selector,parameters.fastq_input.filter_chimeras.__current_case__,parameters.fastq_input.filter_chimeras.abundance_cutoff,parameters.fastq_input.filter_chimeras.abundance_ratio,parameters.fastq_input.filter_chimeras.dissimilarity_control,parameters.fastq_input.filter_chimeras.filter_chimeras_selector,parameters.fastq_input.filter_chimeras.min_chimeric_length,parameters.match_length,parameters.mismatches_allowed,parameters.prefix_length,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-04 19:41:42.957220,slurm_normal,1496605319.0,0,1537155,fasta,,,,1.0,main_w4_handler0,2991328,16010341,False,,10103463.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 29884890}]",,,single,1.0,,,,false,,"""true""","""""","""0""",32.0,,36584128.0,1496605315.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-06-04 19:42:01.183012,92765.0,4.0
,,2017-03-10 09:36:15.599874,slurm_normal,1489138582.0,0,5144173,fasta,,,,1.0,main_w4_handler1,3009978,15261067,False,,9407243.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 28532253}]",,,single,1.0,,,,false,,"""true""","""0.0""","""0""",32.0,,36546587.0,1489138578.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-03-10 09:36:24.663396,99424.0,4.0
,,2017-03-16 05:09:14.525643,slurm_normal,1489640963.0,0,7241388,fasta,,,,1.0,main_w4_handler1,2877853,15309569,False,,9451657.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 28779676}]",,,single,1.0,,,,false,,"""false""","""""","""0""",32.0,,36652431.0,1489640958.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-03-16 05:09:25.337008,93611.0,5.0
,,2017-03-16 05:09:14.103153,slurm_normal,1489640962.0,0,13590091,fasta,,,,1.0,main_w4_handler0,2877853,15309568,False,,9451656.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 28779675}]",,,single,1.0,,,,false,,"""false""","""""","""0""",32.0,,36652431.0,1489640958.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-03-16 05:09:25.110348,93611.0,4.0
,,2017-03-16 05:09:13.214387,slurm_normal,1489640960.0,0,19270153,fasta,,,,1.0,main_w4_handler0,2877853,15309566,False,,9451654.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 28779673}]",,,single,1.0,,,,false,,"""false""","""""","""0""",32.0,,36652431.0,1489640955.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-03-16 05:09:22.140608,93611.0,5.0
,,2017-03-16 05:09:13.668387,slurm_normal,1489640962.0,0,9467469,fasta,,,,1.0,main_w3_handler1,2877853,15309567,False,,9451655.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 28779674}]",,,single,1.0,,,,false,,"""false""","""""","""0""",32.0,,36652431.0,1489640958.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-03-16 05:09:24.939429,93611.0,4.0
,,2017-06-05 13:55:00.036535,slurm_normal,1496670921.0,0,5060,fasta,,,,1.0,main_w4_handler1,3140431,16016202,False,,10108659.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 29893099}]",,,single,1.0,,,,false,,"""true""","""""","""0""",32.0,,37935860.0,1496670917.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-06-05 13:55:22.614472,105601.0,4.0
,,2017-06-05 13:54:08.144220,slurm_normal,1496670870.0,0,17941,fasta,,,,1.0,main_w4_handler0,3140431,16016189,False,,10108654.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 29893107}]",,,single,0.0,1,1,1,true,30,"""true""","""""","""0""",32.0,,37935860.0,1496670866.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-06-05 13:54:34.436332,105601.0,4.0
,,2017-06-05 13:55:00.844997,slurm_normal,1496670924.0,0,1187,fasta,,,,1.0,main_w3_handler0,3140431,16016205,False,,10108662.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 29893102}]",,,single,1.0,,,,false,,"""true""","""""","""0""",32.0,,37935860.0,1496670920.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-06-05 13:55:26.730720,105601.0,4.0
,,2017-06-05 13:54:59.823938,slurm_normal,1496670921.0,0,4680,fasta,,,,1.0,main_w3_handler1,3140431,16016201,False,,10108658.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",1,,"[{'src': 'hda', 'id': 29893098}]",,,single,1.0,,,,false,,"""true""","""""","""0""",32.0,,37935860.0,1496670917.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cd_hit_dup/cd_hit_dup/0.0.1,0.0.1,,2017-06-05 13:55:28.044070,105601.0,4.0
