chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,gatk_param_type|input_exclude_interval_repeat_0|input_exclude_intervals,gatk_param_type|input_exclude_interval_repeat_0|input_exclude_intervals_filetype,gatk_param_type|input_interval_repeat_0|input_intervals,gatk_param_type|input_interval_repeat_0|input_intervals_filetype,gatk_param_type|pedigree_0|pedigree_file,gatk_param_type|pedigree_0|pedigree_file_filetype,handler,history_id,id,imported,info,input_concordance,input_concordance_filetype,input_discordance,input_discordance_filetype,input_variant,input_variant_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_param_type.__current_case__,parameters.analysis_param_type.analysis_param_type_selector,parameters.chromInfo,parameters.dbkey,parameters.exclude_filtered,parameters.exclude_sample_name_repeat,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.input_concordance.values,parameters.input_discordance.values,parameters.reference_source.__current_case__,parameters.reference_source.input_variant.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.sample_name_repeat,parameters.select_expressions_repeat,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-03-24 08:41:38.825457,slurm_normal,1490347415.0,0,,1.0,,,,,,,main_w4_handler1,3042301,15383933,False,,,,,,7618,vcf,9521063.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 28904981}]",,"[{'src': 'hda', 'id': 28892194}]",history,[],[],32.0,7088120.0,fasta,,36830251.0,1490347360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.3,0.0.3,,2017-03-24 09:51:01.916948,101624.0,55.0
,,2017-01-25 23:12:17.055718,slurm_normal,1485385993.0,0,,1.0,,,,,,,main_w3_handler1,2968773,14873190,False,,,,600188.0,vcf,650192,vcf,9032634.roundup,slurm,,132112168.0,corral-repl,,"""b552498ae35311e68125005056a51846""",0.0,basic,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28087517}]",1,"[{'src': 'hda', 'id': 28087459}]",,"[{'src': 'hda', 'id': 28087464}]",history,[],[],32.0,102291840.0,fasta,,,1485385965.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.3,0.0.3,,2017-01-25 23:13:15.794398,97492.0,28.0
,,2017-01-25 23:12:16.318024,slurm_normal,1485385959.0,0,,1.0,,,,,,,main_w3_handler1,2968773,14873189,False,,,,,,587617,vcf,9032628.roundup,slurm,,132112168.0,corral-repl,,"""b552498ae35311e68125005056a51846""",0.0,basic,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 28087460}]",,"[{'src': 'hda', 'id': 28087464}]",history,[],[],32.0,102291840.0,fasta,,,1485385941.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.3,0.0.3,,2017-01-25 23:12:41.737892,97492.0,18.0
,,2017-01-09 03:49:20.110817,slurm_normal,1483933794.0,0,,1.0,,,,,,,main_w3_handler1,2948125,14714813,False,,,,,,22713231,vcf,8883614.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 27849932}]",,"[{'src': 'hda', 'id': 27829347}]",history,[],"[{""__index__"": 0, ""select_expressions"": ""DP > 0""}]",32.0,102291840.0,fasta,,35233628.0,1483933765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.3,0.0.3,,2017-01-09 03:49:56.978827,97676.0,29.0
,,2017-01-26 13:40:48.426838,slurm_normal,1485438076.0,0,,1.0,,,,,,,main_w3_handler0,2969582,14877684,False,,,,,,416822,vcf,9037202.roundup,slurm,,132112168.0,corral-repl,,"""09eec30ae3cd11e6bb3c005056a52a46""",0.0,basic,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,,1,"[{'src': 'hda', 'id': 28093481}]",,"[{'src': 'hda', 'id': 28093484}]",history,[],[],32.0,102291840.0,fasta,,,1485438055.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.3,0.0.3,,2017-01-26 13:41:19.195304,97492.0,21.0
,,2017-01-26 13:40:49.576302,slurm_normal,1485438110.0,0,,1.0,,,,,,,main_w3_handler1,2969582,14877686,False,,,,426335.0,vcf,398534,vcf,9037208.roundup,slurm,,132111800.0,corral-repl,,"""09eec30ae3cd11e6bb3c005056a52a46""",0.0,basic,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28093488}]",1,"[{'src': 'hda', 'id': 28093482}]",,"[{'src': 'hda', 'id': 28093484}]",history,[],[],32.0,102291840.0,fasta,,,1485438086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.3,0.0.3,,2017-01-26 13:41:54.795615,97492.0,24.0
,,2017-01-26 14:49:28.087836,slurm_normal,1485442192.0,0,,1.0,,,,,,,main_w4_handler0,2742173,14878316,False,,,,576339.0,vcf,294504,vcf,9037827.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28094347}]",1,"[{'src': 'hda', 'id': 28093304}]",,"[{'src': 'hda', 'id': 28087456}]",history,[],[],32.0,101958278.0,fasta,,35503970.0,1485442171.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.3,0.0.3,,2017-01-26 14:49:53.885836,86265.0,21.0
,,2017-01-26 14:49:56.478782,slurm_normal,1485442217.0,0,,1.0,,,,,,,main_w4_handler1,2742173,14878320,False,,,,576339.0,vcf,455441,vcf,9037830.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28094347}]",1,"[{'src': 'hda', 'id': 28094293}]",,"[{'src': 'hda', 'id': 28087456}]",history,[],[],32.0,101958278.0,fasta,,35503970.0,1485442200.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.3,0.0.3,,2017-01-26 14:50:20.884908,86265.0,17.0
,,2017-01-26 15:33:55.938507,slurm_normal,1485444862.0,0,,1.0,,,,,,,main_w3_handler1,2742173,14878984,False,,,,115667.0,vcf,294504,vcf,9038507.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28095251}]",1,"[{'src': 'hda', 'id': 28093304}]",,"[{'src': 'hda', 'id': 28087456}]",history,[],[],32.0,101958278.0,fasta,,35503970.0,1485444840.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.3,0.0.3,,2017-01-26 15:34:23.732043,86265.0,22.0
,,2017-01-26 15:50:12.108257,slurm_normal,1485445841.0,0,,1.0,,,,,,,main_w3_handler1,2742173,14879222,False,,,,115667.0,vcf,455441,vcf,9038743.roundup,slurm,,132112168.0,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",[],0,,,,,,,basic,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28095251}]",1,"[{'src': 'hda', 'id': 28094293}]",,"[{'src': 'hda', 'id': 28087456}]",history,[],[],32.0,101958278.0,fasta,,35503970.0,1485445815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/variant_select/gatk_variant_select/0.0.3,0.0.3,,2017-01-26 15:50:44.952079,86265.0,26.0
