create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.length,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-16 12:46:11.837509,slurm_normal,1429188441.0,1.0,,1.0,main_w1_handler0,2255305,9245037,False,,24256670,fasta,3528279.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19244381,,"""7""",32.0,,22174005.0,1429188407.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2015-04-16 12:47:25.453966,55144.0,34.0
2015-07-28 00:37:11.949563,slurm_normal,1438043863.0,1.0,,1.0,main_w2_handler0,2377542,10012412,False,,256398,fasta,4294612.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20586970,,"""7""",32.0,,23186373.0,1438043856.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2015-07-28 00:37:46.763364,60835.0,7.0
2015-04-30 10:45:22.399513,slurm_normal,1430390814.0,1.0,,1.0,main_w2_handler1,2287291,9367780,False,,3222405,fasta,3703899.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19522378,,"""7""",32.0,,22403907.0,1430390734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2015-04-30 10:46:58.222246,57539.0,80.0
2015-04-30 10:44:10.831436,slurm_normal,1430390680.0,1.0,,1.0,main_w1_handler1,2287291,9367773,False,,3222405,fasta,3703891.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19522378,,"""7""",32.0,,22403907.0,1430390665.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2015-04-30 10:44:42.806340,57539.0,15.0
2015-07-28 00:41:51.751088,slurm_normal,1438044140.0,1.0,,1.0,main_w1_handler0,2377542,10012427,False,,195534,fasta,4294624.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20587043,,"""7""",32.0,,23186373.0,1438044132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2015-07-28 00:42:22.855644,60835.0,8.0
2015-09-02 18:52:12.101440,slurm_normal,1441219962.0,1.0,,1.0,main_w1_handler1,2426484,10246892,False,,585,fasta,4531848.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20989330,,"""7""",32.0,,24987740.0,1441219957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2015-09-02 18:52:48.944079,,5.0
2015-09-09 18:25:17.664457,slurm_normal,1441823152.0,1.0,,1.0,main_w1_handler0,2433627,10289047,False,,1105,fasta,4574389.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21061648,,"""7""",32.0,,25091318.0,1441823147.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2015-09-09 18:25:59.778636,,5.0
2017-05-08 22:27:52.632841,slurm_normal,1494282494.0,1.0,,1.0,main_w4_handler1,3103146,15784973,False,,2889,fasta,9891242.roundup,slurm,,132112168.0,corral-repl,,"""8de3297e343d11e795e2005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29525346}]","""7""",32.0,,,1494282489.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2017-05-08 22:28:16.950379,105500.0,5.0
2015-10-17 19:47:42.318984,slurm_normal,1445111276.0,1.0,,1.0,main_w1_handler2,2474595,10615268,False,,1609,fasta,4884514.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21583915,,"""7""",32.0,,25730795.0,1445111273.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2015-10-17 19:48:00.879576,,3.0
2015-10-17 19:48:53.772209,slurm_normal,1445111349.0,1.0,,1.0,main_w1_handler2,2474595,10615272,False,,274,fasta,4884518.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21583916,,"""7""",32.0,,25730795.0,1445111344.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2015-10-17 19:49:11.538316,,5.0
2015-10-17 19:46:05.198838,slurm_normal,1445111180.0,1.0,,1.0,main_w2_handler0,2474595,10615263,False,,349,fasta,4884495.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21583914,,"""7""",32.0,,25730795.0,1445111175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2015-10-17 19:46:24.224262,,5.0
2016-03-18 18:03:20.020664,slurm_normal,1458324307.0,1.0,,1.0,main_w1_handler2,2638845,12183820,False,,7086721,fasta,6398825.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23912476,,"""21""",32.0,,29063428.0,1458324299.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2016-03-18 18:05:11.830658,,8.0
2016-05-20 14:56:07.626570,slurm_normal,1463756218.0,1.0,,1.0,main_w2_handler1,2647068,12949577,False,,93697,txt,7143315.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52a336d5eb5880ed5'}]","""21""",32.0,,29274081.0,1463756214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2016-05-20 14:57:02.411126,81605.0,4.0
2016-05-20 14:54:34.614905,slurm_normal,1463756148.0,1.0,,1.0,main_w2_handler1,2647068,12949573,False,Job output deleted by user before job completed.,93697,txt,7143313.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52a336d5eb5880ed5'}]","""21""",32.0,,29274081.0,1463756144.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepwindowall74/5.0.0,5.0.0,,2016-05-20 14:55:53.054281,81605.0,4.0
